date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/08/01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/05,3.4,222,CALM,10.1,199,SSW,16.9,177,S,28.5,25.9,32.4,0.0,997.0,994.7,998.9,80,62,95,,,
21/08/06,3.9,155,SSE,13.7,146,SE,19.8,217,SW,28.3,25.2,33.2,0.0,998.2,995.8,999.7,84,58,100,,,
21/08/07,4.1,183,S,16.2,171,S,20.5,160,SSE,29.0,25.3,34.1,0.0,999.2,997.0,1001.1,83,57,100,,,
21/08/08,5.1,180,S,15.5,156,SSE,20.2,160,SSE,30.7,26.1,36.3,2.0,998.6,995.7,1001.6,71,48,95,,,
21/08/09,4.6,190,S,16.6,200,SSW,21.6,200,SSW,31.0,26.6,36.3,19.0,996.5,993.8,999.9,71,47,95,,,
21/08/10,3.9,187,S,12.6,204,SSW,18.4,233,SW,31.2,27.6,36.6,27.4,995.6,992.4,997.8,71,48,90,,,
21/08/11,3.6,176,CALM,10.4,159,SSE,16.2,172,S,29.7,27.6,32.1,13.6,998.6,996.0,1001.4,79,66,97,,,
21/08/12,4.3,198,SSW,12.2,165,SSE,16.6,208,SSW,29.8,26.3,34.1,14.4,999.8,997.3,1002.2,76,54,94,,,
21/08/13,4.8,218,SW,23.0,231,SW,33.8,225,SW,29.0,25.6,36.1,2.8,997.7,994.6,1000.7,81,49,100,,,
21/08/14,5.4,176,S,16.2,208,SSW,21.6,188,S,28.6,25.6,33.7,0.0,997.1,994.4,998.8,82,57,100,,,
21/08/15,6.2,187,S,18.4,218,SW,27.4,203,SSW,26.9,23.3,32.1,0.0,1000.1,997.0,1003.0,89,62,100,,,
21/08/16,4.1,90,E,18.0,225,SW,23.8,219,SW,26.4,23.3,30.4,0.0,1003.4,1001.0,1005.1,90,68,100,,,
21/08/17,3.6,26,CALM,12.2,113,ESE,15.5,197,SSW,28.8,23.9,34.8,0.0,1002.1,999.7,1005.6,80,46,100,,,
21/08/18,4.4,348,NNW,13.7,171,S,20.9,163,SSE,30.2,25.5,35.7,1.8,999.5,996.7,1002.9,73,46,100,,,
21/08/19,4.8,93,E,13.7,239,WSW,21.2,222,SW,30.5,25.6,36.5,0.0,999.4,996.5,1001.3,73,43,94,,,
21/08/20,4.1,1,N,15.5,7,N,20.2,6,N,29.8,25.6,35.3,0.0,1000.6,997.9,1002.8,72,44,95,,,
21/08/21,4.0,242,WSW,14.0,221,SW,21.6,211,SSW,30.8,26.2,36.1,0.0,1000.0,996.7,1003.0,73,45,98,,,
21/08/22,4.0,193,SSW,11.9,204,SSW,20.9,211,SSW,30.8,26.9,36.4,0.0,998.3,995.4,1001.6,72,49,95,,,
21/08/23,5.1,181,S,14.8,211,SSW,19.4,166,SSE,31.5,26.7,36.5,0.0,997.1,993.8,1000.5,65,45,92,,,
21/08/24,2.4,168,CALM,4.3,127,SE,8.3,14,NNE,27.6,27.2,28.3,0.0,998.1,997.8,998.2,81,74,89,,,
21/08/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/30,3.9,114,ESE,13.3,105,ESE,16.6,98,E,29.6,25.7,34.9,0.0,1000.1,997.0,1002.2,78,47,100,,,
21/08/31,3.7,8,CALM,15.8,205,SSW,23.8,208,SSW,28.1,24.2,32.8,0.0,1000.8,997.6,1003.3,86,60,100,,,

