date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,5.4,51,NE,17.3,58,ENE,29.9,82,E,24.2,19.7,30.8,0.0,1008.3,1005.6,1011.2,50,32,80,,,
21/12/02,5.3,45,NE,18.7,87,E,30.6,28,NNE,23.0,18.1,29.6,0.0,1010.3,1007.6,1012.6,52,34,81,,,
21/12/03,4.8,51,NE,16.6,73,ENE,28.1,90,E,22.3,17.2,29.2,0.0,1011.1,1008.1,1013.8,49,27,73,,,
21/12/04,4.5,51,NE,16.9,87,E,28.4,84,E,20.5,14.0,28.4,0.0,1011.0,1007.6,1013.8,53,26,83,,,
21/12/05,3.0,27,CALM,15.1,80,E,25.6,93,E,20.1,13.7,29.3,0.0,1010.1,1006.9,1014.1,55,18,87,,,
21/12/06,3.7,50,CALM,18.0,99,E,25.9,113,ESE,22.0,15.4,29.8,0.0,1009.6,1006.8,1012.6,53,28,84,,,
21/12/07,3.8,49,CALM,17.6,92,E,26.6,56,NE,21.6,14.9,30.2,0.0,1009.8,1007.1,1012.7,51,20,84,,,
21/12/08,3.4,46,CALM,14.8,108,ESE,24.5,45,NE,22.7,17.2,30.2,0.0,1010.0,1007.4,1013.1,55,27,80,,,
21/12/09,4.3,46,NE,14.0,51,NE,25.9,98,E,25.7,20.7,32.5,0.0,1009.9,1007.4,1012.7,56,37,74,,,
21/12/10,3.9,50,CALM,18.4,103,ESE,26.6,118,ESE,25.0,19.6,32.5,0.0,1008.9,1006.1,1011.7,59,34,82,,,
21/12/11,3.9,46,NE,17.3,82,E,27.7,79,E,24.1,17.8,32.5,0.0,1009.3,1006.3,1012.0,58,27,85,,,
21/12/12,3.9,38,CALM,14.4,62,ENE,25.9,68,ENE,24.6,18.3,31.5,0.0,1009.1,1006.0,1012.2,58,35,84,,,
21/12/13,5.5,52,NE,15.1,42,NE,33.1,51,NE,24.5,18.1,30.9,0.0,1008.7,1005.8,1011.9,52,32,77,,,
21/12/14,3.0,39,CALM,14.0,96,E,25.6,56,NE,23.1,17.1,31.0,0.0,1007.2,1004.5,1010.4,61,34,89,,,
21/12/15,1.9,32,CALM,9.4,60,ENE,18.4,59,ENE,24.0,17.2,32.8,0.0,1005.9,1002.9,1009.0,64,30,90,,,
21/12/16,1.7,33,CALM,7.6,337,NNW,13.3,281,W,24.5,18.0,33.6,0.0,1005.9,1003.0,1008.4,64,29,90,,,
21/12/17,6.0,49,NE,16.6,75,ENE,28.1,62,ENE,26.9,18.3,32.9,0.0,1006.7,1003.6,1008.9,52,35,89,,,
21/12/18,7.2,54,NE,17.6,79,E,28.4,56,NE,25.6,19.8,31.5,0.0,1008.1,1004.6,1010.9,45,30,61,,,
21/12/19,4.0,59,ENE,15.1,75,ENE,25.6,53,NE,22.2,15.9,29.6,0.0,1008.9,1006.1,1011.7,55,30,84,,,
21/12/20,2.7,0,CALM,12.6,19,NNE,24.1,357,N,21.9,15.5,29.8,0.0,1007.8,1004.8,1011.2,63,30,90,,,
21/12/21,1.7,51,CALM,13.0,113,ESE,16.9,115,ESE,22.7,15.5,31.3,0.0,1007.4,1005.0,1010.1,62,27,90,,,
21/12/22,1.8,27,CALM,10.8,96,E,19.1,34,NE,23.3,15.8,32.8,0.0,1006.4,1004.2,1009.7,61,27,90,,,
21/12/23,2.4,39,CALM,12.6,78,ENE,21.6,56,NE,24.7,17.2,33.2,0.0,1006.0,1003.7,1008.8,60,27,84,,,
21/12/24,2.1,50,CALM,10.4,113,ESE,17.6,188,S,26.4,18.4,33.9,6.8,1005.9,1003.3,1008.5,65,31,91,,,
21/12/25,3.5,58,CALM,18.4,107,ESE,29.2,132,SE,25.9,21.1,32.4,0.0,1007.6,1004.7,1010.2,67,39,91,,,
21/12/26,3.7,63,CALM,17.3,106,ESE,28.4,79,E,25.4,21.0,31.8,0.0,1009.4,1006.7,1011.9,65,40,87,,,
21/12/27,6.0,55,NE,15.8,82,E,26.3,115,ESE,26.1,20.7,32.6,0.0,1010.1,1007.0,1012.9,53,36,76,,,
21/12/28,5.5,62,ENE,19.1,108,ESE,27.4,51,NE,25.5,20.9,31.3,0.0,1009.7,1007.2,1013.7,51,34,73,,,
21/12/29,4.6,52,NE,15.5,104,ESE,26.3,62,ENE,25.1,21.3,30.9,0.0,1009.9,1007.2,1012.4,58,39,83,,,
21/12/30,6.2,50,NE,15.8,77,ENE,30.2,48,NE,25.7,20.3,31.7,0.0,1011.1,1008.0,1014.0,51,37,69,,,
21/12/31,5.7,50,NE,15.5,108,ESE,27.0,79,E,24.6,20.2,31.0,0.0,1011.1,1008.3,1013.7,52,33,66,,,

