date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/09/01,2.1,91,CALM,13.3,74,ENE,18.0,62,ENE,27.2,23.5,33.5,5.2,996.4,993.2,998.8,89,66,100,,,
21/09/02,2.5,105,CALM,22.7,74,ENE,29.5,121,ESE,27.4,23.7,34.2,5.6,995.3,992.1,997.9,87,60,100,,,
21/09/03,4.0,112,ESE,20.9,88,E,26.6,65,ENE,26.6,24.0,32.3,3.2,995.0,992.0,996.9,89,66,100,,,
21/09/04,3.5,161,CALM,22.7,210,SSW,34.6,231,SW,27.2,23.7,34.1,8.6,995.4,992.3,997.3,86,58,100,,,
21/09/05,4.0,152,SSE,22.7,11,N,30.2,8,N,27.6,24.0,34.4,4.0,996.7,993.6,998.9,85,56,100,,,
21/09/06,4.2,350,N,18.7,42,NE,22.0,6,N,27.6,25.0,31.7,1.2,997.3,994.9,999.8,87,65,100,,,
21/09/07,4.1,302,WNW,40.7,10,N,49.3,6,N,26.2,23.9,32.5,2.4,995.6,992.9,998.8,94,67,100,,,
21/09/08,3.8,105,CALM,20.2,332,NNW,26.6,329,NNW,26.7,24.0,30.9,3.4,993.4,991.0,996.2,93,77,100,,,
21/09/09,1.9,120,CALM,18.4,119,ESE,28.4,121,ESE,26.4,24.5,32.3,3.8,994.3,991.2,996.2,93,69,100,,,
21/09/10,3.0,114,CALM,11.9,63,ENE,17.6,118,ESE,26.8,24.9,32.0,2.6,995.6,992.6,997.5,91,70,100,,,
21/09/11,3.5,91,CALM,16.6,111,ESE,24.1,121,ESE,27.3,24.0,33.6,1.0,995.2,993.0,997.7,89,63,100,,,
21/09/12,3.9,6,N,17.3,279,W,24.5,253,WSW,28.4,23.6,34.3,14.4,993.6,990.9,995.6,83,57,100,,,
21/09/13,4.0,321,NW,16.9,7,N,22.0,3,N,28.4,24.3,34.9,0.2,993.9,991.3,995.7,82,56,100,,,
21/09/14,4.4,352,N,20.9,5,N,26.6,6,N,25.8,23.6,29.3,0.4,995.7,993.2,997.7,93,75,100,,,
21/09/15,2.6,112,CALM,24.1,27,NNE,27.4,45,NE,27.1,24.5,33.8,44.8,996.2,993.3,998.3,91,62,100,,,
21/09/16,4.1,148,SSE,15.1,169,S,25.9,172,S,27.6,24.7,33.2,3.8,996.5,993.6,998.5,89,65,100,,,
21/09/17,3.1,159,CALM,13.7,157,SSE,26.3,160,SSE,27.8,23.5,34.0,0.0,997.1,994.2,999.4,83,57,100,,,
21/09/18,2.7,14,CALM,31.7,114,ESE,45.7,104,ESE,27.2,22.3,34.7,32.2,997.3,994.5,999.5,86,58,100,,,
21/09/19,1.7,13,CALM,23.0,17,NNE,31.3,8,N,27.4,23.3,33.8,0.0,996.7,993.9,999.4,86,63,100,,,
21/09/20,4.9,21,NNE,29.9,113,ESE,42.5,124,SE,26.8,23.4,31.7,37.4,995.2,991.9,998.0,90,69,100,,,
21/09/21,5.7,43,NE,20.5,27,NNE,25.6,25,NNE,26.1,23.4,33.1,59.8,994.2,990.9,996.8,92,62,100,,,
21/09/22,2.4,108,CALM,13.3,37,NE,20.9,152,SSE,26.3,23.6,31.6,22.0,995.0,991.8,997.7,92,69,100,,,
21/09/23,1.2,147,CALM,12.2,166,SSE,19.1,180,S,27.4,23.3,33.9,101.6,997.8,995.1,1000.3,87,58,100,,,
21/09/24,1.6,162,CALM,13.3,256,WSW,17.6,256,WSW,26.5,23.9,32.6,13.4,996.7,994.6,999.5,92,66,100,,,
21/09/25,8.0,115,ESE,10.1,114,ESE,14.0,135,SE,22.9,22.9,23.0,229.2,995.7,995.6,995.9,100,100,100,,,
21/09/26,4.3,101,E,16.2,114,ESE,24.1,121,ESE,25.3,23.0,31.6,24.4,997.2,994.6,999.0,93,67,100,,,
21/09/27,3.3,73,CALM,22.3,103,ESE,33.8,82,E,26.8,23.7,34.4,37.6,998.6,996.1,1000.4,90,58,100,,,
21/09/28,2.8,39,CALM,17.6,116,ESE,27.7,127,SE,26.4,22.8,32.4,3.6,998.7,996.1,1001.1,91,67,100,,,
21/09/29,1.6,351,CALM,14.4,3,N,18.7,17,NNE,28.7,23.3,36.1,0.0,997.3,994.5,999.7,84,56,100,,,
21/09/30,2.3,154,CALM,10.8,256,WSW,15.8,231,SW,29.6,25.4,36.1,0.0,997.9,995.1,1000.6,86,58,100,,,

