date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/11/01,2.3,355,CALM,16.6,92,E,20.5,113,ESE,26.9,24.7,33.1,2.6,1010.9,1008.3,1013.4,99,92,100,,,
21/11/02,4.0,64,ENE,16.2,49,NE,24.5,51,NE,28.0,25.3,34.4,2.4,1010.5,1007.8,1012.7,96,81,100,,,
21/11/03,3.6,51,CALM,13.3,50,NE,18.0,37,NE,28.7,25.3,34.6,0.0,1009.8,1007.1,1012.6,91,71,100,,,
21/11/04,2.5,57,CALM,13.3,50,NE,18.0,53,NE,28.8,24.8,34.6,0.0,1009.3,1006.6,1011.9,88,68,100,,,
21/11/05,3.1,41,CALM,10.8,270,W,16.6,174,S,29.2,25.4,35.0,0.0,1007.2,1005.0,1010.8,87,69,100,,,
21/11/06,3.4,100,CALM,16.2,161,SSE,20.9,51,NE,27.6,25.2,34.6,13.0,1006.1,1003.5,1008.7,93,78,100,,,
21/11/07,2.9,7,CALM,24.5,164,SSE,31.3,163,SSE,27.7,24.0,34.9,18.0,1006.7,1004.1,1008.8,92,78,100,,,
21/11/08,9.2,44,NE,21.6,51,NE,32.0,53,NE,28.0,24.9,31.6,0.2,1008.7,1006.4,1011.2,91,79,100,,,
21/11/09,8.0,34,NE,24.5,53,NE,33.1,56,NE,27.2,23.9,32.8,0.0,1010.6,1008.1,1013.3,84,70,93,,,
21/11/10,8.5,31,NNE,20.5,47,NE,30.2,62,ENE,26.2,23.3,30.1,0.0,1010.7,1008.5,1013.3,81,68,93,,,
21/11/11,5.8,30,NNE,20.5,46,NE,31.3,51,NE,26.2,23.5,30.3,0.0,1010.1,1007.6,1012.3,83,64,100,,,
21/11/12,8.7,37,NE,24.1,49,NE,33.5,48,NE,26.8,24.8,30.2,0.0,1010.3,1008.4,1012.4,84,72,93,,,
21/11/13,10.3,41,NE,26.6,51,NE,39.6,56,NE,25.8,24.4,28.5,0.0,1010.4,1008.2,1012.8,84,76,92,,,
21/11/14,6.7,38,NE,22.7,51,NE,29.9,31,NNE,26.9,24.6,31.9,0.0,1009.8,1008.0,1011.6,85,68,98,,,
21/11/15,4.7,24,NNE,23.0,49,NE,29.9,48,NE,27.5,24.5,34.0,0.0,1008.2,1006.0,1010.9,87,60,100,,,
21/11/16,3.4,37,CALM,15.5,42,NE,24.1,51,NE,27.3,25.0,33.2,0.0,1009.0,1006.4,1010.7,92,72,100,,,
21/11/17,3.1,25,CALM,18.0,49,NE,28.4,56,NE,27.9,25.1,33.7,0.0,1009.1,1007.1,1011.5,92,69,100,,,
21/11/18,5.1,48,NE,24.5,47,NE,36.7,45,NE,27.6,24.4,32.8,0.0,1007.9,1005.3,1010.5,90,70,100,,,
21/11/19,2.3,129,CALM,15.1,109,ESE,20.5,101,E,28.9,25.2,36.0,3.0,1006.2,1003.3,1009.5,85,60,100,,,
21/11/20,0.9,94,CALM,9.7,235,SW,15.1,329,NNW,29.2,25.3,35.6,0.0,1006.7,1003.9,1009.1,86,64,100,,,
21/11/21,1.8,93,CALM,13.7,185,S,20.5,188,S,28.7,25.1,35.5,0.0,1007.7,1004.8,1010.0,90,69,100,,,
21/11/22,2.7,56,CALM,20.2,47,NE,29.5,45,NE,28.4,25.0,35.8,7.6,1008.1,1005.4,1010.7,92,65,100,,,
21/11/23,8.5,37,NE,25.6,47,NE,36.0,51,NE,25.0,23.1,29.4,3.0,1010.7,1009.0,1012.1,95,80,100,,,
21/11/24,8.1,42,NE,26.3,55,NE,34.9,56,NE,25.9,23.1,31.6,0.0,1011.1,1008.7,1013.3,82,67,91,,,
21/11/25,6.0,25,NNE,21.6,40,NE,32.0,39,NE,26.2,23.2,31.4,0.0,1011.0,1008.8,1013.8,80,61,92,,,
21/11/26,8.3,39,NE,22.7,50,NE,33.8,56,NE,25.5,22.2,30.2,0.0,1011.1,1008.2,1012.8,80,62,98,,,
21/11/27,8.2,37,NE,25.2,50,NE,34.9,51,NE,25.2,21.6,30.7,0.0,1011.7,1009.3,1014.0,75,57,92,,,
21/11/28,6.8,22,NNE,27.0,48,NE,34.9,59,ENE,26.0,22.3,31.2,0.0,1011.0,1008.2,1014.2,71,54,84,,,
21/11/29,6.7,30,NNE,25.6,48,NE,35.3,42,NE,26.7,22.7,31.6,0.0,1010.0,1007.5,1013.3,72,54,90,,,
21/11/30,14.8,47,NE,40.0,56,NE,57.2,65,ENE,26.2,23.4,29.6,0.0,1010.7,1008.0,1012.5,64,57,75,,,

