date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/11/01,4.8,358,N,17.6,17,NNE,27.7,14,NNE,28.9,25.6,32.9,0.4,1010.8,1008.7,1012.9,84,69,96,,,
21/11/02,3.6,323,CALM,20.2,125,SE,22.3,118,ESE,26.6,23.7,31.7,14.2,1010.7,1008.8,1012.8,91,75,98,,,
21/11/03,5.3,344,NNW,15.5,33,NNE,24.1,56,NE,27.9,23.6,33.2,0.0,1009.9,1007.7,1012.5,82,59,98,,,
21/11/04,4.0,348,NNW,16.2,63,ENE,26.3,65,ENE,28.7,24.8,33.9,0.0,1009.5,1007.0,1011.9,78,58,91,,,
21/11/05,2.2,342,CALM,13.0,54,NE,18.0,335,NNW,28.4,25.2,33.1,0.0,1007.8,1005.9,1010.4,82,60,93,,,
21/11/06,1.0,252,CALM,10.8,140,SE,14.4,203,SSW,27.6,24.8,31.5,0.0,1006.6,1004.6,1009.1,86,69,96,,,
21/11/07,1.9,11,CALM,10.4,67,ENE,17.6,25,NNE,28.8,25.1,32.8,0.0,1006.9,1004.6,1008.7,84,69,96,,,
21/11/08,4.9,347,NNW,26.3,85,E,37.8,82,E,28.1,25.4,33.7,4.4,1008.3,1005.8,1010.1,87,66,96,,,
21/11/09,5.4,338,NNW,36.4,113,ESE,52.9,110,ESE,26.8,24.1,29.5,8.2,1009.8,1007.6,1013.0,91,80,98,,,
21/11/10,7.5,357,N,18.4,354,N,26.6,8,N,28.6,26.2,32.5,0.0,1009.7,1007.7,1012.4,76,66,87,,,
21/11/11,8.5,354,N,20.2,348,NNW,28.8,352,N,27.9,23.8,32.1,19.0,1009.4,1006.8,1011.8,78,62,95,,,
21/11/12,8.8,354,N,18.0,9,N,27.7,20,NNE,28.5,25.9,32.0,0.2,1009.4,1007.5,1012.0,77,64,90,,,
21/11/13,9.5,351,N,20.2,352,N,30.6,340,NNW,26.6,24.2,28.6,21.0,1009.1,1007.5,1011.4,83,79,95,,,
21/11/14,6.0,358,N,16.2,83,E,26.6,25,NNE,25.1,24.3,25.8,57.8,1009.2,1007.3,1011.8,97,95,99,,,
21/11/15,2.2,323,CALM,23.0,88,E,28.8,87,E,24.9,24.1,26.1,48.2,1008.4,1006.4,1010.9,98,97,99,,,
21/11/16,2.6,318,CALM,11.9,349,N,17.6,346,NNW,25.6,24.3,27.3,4.2,1008.7,1006.8,1010.5,97,95,99,,,
21/11/17,6.0,350,N,16.9,34,NE,25.6,39,NE,28.1,25.2,32.8,0.0,1008.7,1006.7,1011.1,85,66,96,,,
21/11/18,5.8,355,N,33.1,138,SE,39.2,138,SE,27.3,22.8,32.4,50.2,1007.8,1005.3,1009.6,88,71,100,,,
21/11/19,3.3,358,CALM,12.6,3,N,18.4,62,ENE,27.5,24.0,31.9,0.0,1006.8,1004.4,1009.5,89,73,100,,,
21/11/20,2.2,338,CALM,8.3,102,ESE,10.8,98,E,28.0,24.9,33.1,0.0,1007.4,1005.0,1009.3,87,66,97,,,
21/11/21,3.4,283,CALM,9.4,121,ESE,10.8,127,SE,28.8,24.9,33.4,0.0,1008.1,1006.0,1010.3,85,67,95,,,
21/11/22,4.0,353,N,27.0,124,SE,33.1,129,SE,29.1,25.6,33.6,5.4,1008.1,1006.2,1010.8,83,63,96,,,
21/11/23,5.4,333,NNW,18.4,90,E,24.8,39,NE,26.1,23.7,30.8,38.0,1009.8,1007.8,1011.5,95,77,99,,,
21/11/24,9.3,351,N,19.4,345,NNW,28.1,14,NNE,27.1,23.9,29.8,0.2,1010.0,1008.1,1011.7,83,72,98,,,
21/11/25,6.8,350,N,19.1,345,NNW,28.1,340,NNW,27.7,25.2,32.1,0.0,1010.4,1008.5,1012.7,73,63,85,,,
21/11/26,8.9,359,N,18.0,349,N,27.7,3,N,28.6,25.6,33.0,0.0,1010.2,1007.7,1012.1,70,53,80,,,
21/11/27,10.2,352,N,22.7,5,N,32.8,14,NNE,27.4,23.9,30.9,0.0,1010.4,1008.7,1012.1,68,54,80,,,
21/11/28,10.4,353,N,24.5,358,N,34.2,346,NNW,27.8,24.5,31.9,0.0,1009.9,1007.6,1013.2,64,52,75,,,
21/11/29,11.1,354,N,25.6,344,NNW,42.5,312,NW,27.8,25.4,31.0,0.2,1008.8,1006.7,1011.1,68,56,81,,,
21/11/30,13.7,350,N,25.2,349,N,38.2,332,NNW,26.2,23.8,28.4,0.0,1009.0,1006.5,1010.7,73,68,83,,,

