date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/02/01,2.7,21,CALM,14.4,92,E,18.0,84,E,25.4,18.9,33.1,0.0,1010.2,1008.0,1013.2,73,41,100,,,
21/02/02,3.3,97,CALM,14.8,95,E,17.6,90,E,26.6,19.4,33.9,0.0,1009.7,1007.6,1012.9,71,40,100,,,
21/02/03,3.9,81,E,18.0,98,E,23.8,73,ENE,26.1,19.8,33.3,0.0,1010.0,1007.8,1012.2,73,37,100,,,
21/02/04,3.4,23,CALM,15.8,94,E,20.2,96,E,24.5,17.6,31.7,0.0,1010.7,1008.8,1013.6,77,41,100,,,
21/02/05,3.0,352,CALM,14.8,102,ESE,18.0,98,E,24.4,17.3,32.9,0.0,1009.6,1007.5,1013.4,67,29,100,,,
21/02/06,3.0,81,CALM,14.4,102,ESE,20.2,42,NE,25.5,17.4,33.5,0.0,1008.3,1005.9,1011.5,72,37,100,,,
21/02/07,4.5,141,SE,17.3,102,ESE,19.8,127,SE,26.9,19.2,33.7,0.0,1008.0,1005.4,1011.4,76,42,100,,,
21/02/08,5.3,172,S,18.0,124,SE,20.9,121,ESE,27.6,21.6,32.8,0.0,1007.3,1004.2,1010.5,79,52,100,,,
21/02/09,6.5,9,N,18.0,335,NNW,24.1,352,N,25.9,21.9,30.4,0.0,1007.7,1004.7,1010.0,78,59,100,,,
21/02/10,4.8,359,N,16.9,331,NNW,23.0,31,NNE,24.2,18.6,30.7,0.0,1008.5,1006.2,1011.3,77,49,100,,,
21/02/11,3.6,47,CALM,13.3,91,E,18.4,11,N,24.6,18.2,32.0,0.0,1008.8,1006.3,1011.8,74,43,100,,,
21/02/12,4.3,107,ESE,16.2,93,E,18.4,68,ENE,26.0,18.8,33.2,0.0,1009.0,1006.6,1011.8,69,35,100,,,
21/02/13,5.4,135,SE,18.7,115,ESE,24.5,96,E,26.9,19.8,33.8,0.0,1009.1,1006.7,1011.6,75,44,100,,,
21/02/14,5.2,145,SE,15.5,102,ESE,18.7,138,SE,26.7,20.0,32.9,0.0,1008.7,1006.4,1012.1,76,46,100,,,
21/02/15,6.4,150,SSE,16.6,159,SSE,22.0,132,SE,27.2,21.5,33.4,0.0,1007.3,1004.9,1011.1,76,42,100,,,
21/02/16,5.7,151,SSE,17.3,112,ESE,22.7,73,ENE,27.5,21.7,33.5,0.0,1007.4,1004.9,1009.6,78,47,100,,,
21/02/17,4.7,124,SE,15.1,131,SE,18.7,141,SE,26.9,22.2,31.8,0.0,1009.6,1006.9,1011.9,81,56,100,,,
21/02/18,6.0,43,NE,18.0,92,E,22.7,104,ESE,26.0,20.9,31.9,0.0,1012.6,1010.1,1015.3,66,42,98,,,
21/02/19,5.3,24,NNE,16.2,87,E,21.6,8,N,24.7,19.9,30.3,0.0,1012.7,1010.1,1016.6,66,47,91,,,
21/02/20,4.0,44,NE,14.8,96,E,23.8,338,NNW,23.7,17.5,30.9,0.0,1011.0,1008.5,1014.7,73,43,100,,,
21/02/21,2.6,131,CALM,16.2,93,E,20.2,110,ESE,25.4,17.9,32.5,0.0,1009.5,1007.2,1013.1,70,38,100,,,
21/02/22,3.2,156,CALM,14.4,117,ESE,17.6,93,E,26.6,18.7,33.7,0.0,1008.2,1005.6,1011.9,73,39,100,,,
21/02/23,6.9,159,SSE,14.0,137,SE,19.1,110,ESE,27.3,22.0,31.7,0.0,1009.8,1008.7,1010.5,74,44,100,,,
21/02/24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-

