date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/01/01,4.2,169,S,16.6,147,SSE,26.6,188,S,21.1,14.2,29.3,0.0,1003.2,999.9,1005.8,56,31,100,,,
21/01/02,3.7,178,CALM,15.5,197,SSW,22.0,158,SSE,21.4,14.3,30.4,0.0,1002.2,999.4,1005.5,58,31,100,,,
21/01/03,3.2,167,CALM,14.0,151,SSE,20.9,141,SE,22.9,14.8,32.2,0.0,1000.9,997.7,1003.7,62,31,100,,,
21/01/04,2.6,177,CALM,14.0,193,SSW,21.2,191,S,23.9,16.9,33.2,0.0,1001.3,998.4,1004.3,65,31,100,,,
21/01/05,3.2,91,CALM,12.6,159,SSE,20.2,138,SE,26.1,17.5,34.4,0.0,1000.4,998.0,1004.0,67,33,100,,,
21/01/06,2.9,121,CALM,14.0,210,SSW,23.0,135,SE,26.2,19.7,35.0,0.0,998.8,995.7,1002.3,68,33,100,,,
21/01/07,2.1,133,CALM,8.6,243,WSW,14.8,104,ESE,26.6,19.7,36.6,0.0,997.9,995.1,1001.5,65,30,100,,,
21/01/08,4.0,104,ESE,13.7,135,SE,22.3,96,E,24.8,18.4,32.4,0.0,999.2,996.5,1001.1,68,40,100,,,
21/01/09,3.4,168,CALM,14.0,208,SSW,22.7,118,ESE,23.9,16.7,32.3,0.0,1000.3,997.0,1003.0,59,34,100,,,
21/01/10,3.0,161,CALM,13.3,192,SSW,23.4,208,SSW,23.6,16.6,33.4,0.0,1000.3,996.8,1003.0,64,31,100,,,
21/01/11,4.2,170,S,14.8,183,S,22.3,160,SSE,24.0,16.6,32.4,0.0,1002.2,998.4,1005.0,60,33,100,,,
21/01/12,5.6,167,SSE,18.7,129,SE,28.8,152,SSE,20.1,13.5,27.5,0.0,1003.6,1000.5,1007.6,59,32,96,,,
21/01/13,3.1,206,CALM,15.1,204,SSW,22.0,203,SSW,20.1,13.5,29.4,0.0,1002.1,999.3,1006.0,66,33,100,,,
21/01/14,2.4,134,CALM,11.5,131,SE,18.0,121,ESE,22.2,13.6,32.7,0.0,1000.3,997.6,1004.0,65,30,100,,,
21/01/15,3.0,78,CALM,12.2,118,ESE,19.8,200,SSW,23.1,15.5,32.8,0.0,998.8,995.5,1001.4,60,0,100,,,
21/01/16,3.4,355,CALM,12.6,7,N,17.6,17,NNE,24.1,16.4,34.5,0.0,998.9,995.4,1001.9,67,27,100,,,
21/01/17,1.9,151,CALM,12.2,165,SSE,21.6,155,SSE,24.1,17.3,33.1,0.0,1001.5,998.1,1003.8,64,32,100,,,
21/01/18,3.7,162,CALM,19.4,179,S,28.1,107,ESE,22.0,13.6,30.5,0.0,1002.4,999.4,1005.9,57,30,100,,,
21/01/19,3.0,179,CALM,16.6,207,SSW,21.6,197,SSW,20.6,12.8,30.8,0.0,1001.9,998.3,1005.2,63,26,100,,,
21/01/20,3.0,12,CALM,13.0,106,ESE,16.9,118,ESE,21.5,12.9,32.3,0.0,1001.0,997.6,1005.0,60,23,100,,,
21/01/21,2.9,340,CALM,10.1,14,NNE,15.8,14,NNE,22.4,14.0,33.4,0.0,999.8,996.4,1003.2,63,24,100,,,
21/01/22,3.2,341,CALM,12.2,8,N,18.7,354,N,23.1,14.8,34.4,0.0,999.3,996.3,1002.7,61,22,100,,,
21/01/23,3.6,16,CALM,14.4,199,SSW,22.3,118,ESE,24.9,15.7,33.6,0.0,999.2,995.9,1002.0,64,29,100,,,
21/01/24,4.3,351,N,12.6,20,NNE,16.6,28,NNE,25.3,18.1,35.7,0.0,999.6,996.6,1002.6,64,27,100,,,
21/01/25,3.9,344,NNW,11.5,9,N,16.6,245,WSW,25.8,18.1,36.8,0.0,999.4,996.7,1002.6,64,23,100,,,
21/01/26,3.2,3,CALM,13.0,209,SSW,18.0,208,SSW,26.4,19.0,35.9,0.0,998.4,995.3,1001.7,64,28,100,,,
21/01/27,2.6,17,CALM,13.0,110,ESE,16.2,96,E,26.8,19.7,34.4,0.0,999.5,996.5,1001.5,69,36,100,,,
21/01/28,3.0,110,CALM,13.0,192,SSW,21.6,208,SSW,27.7,20.6,36.5,0.0,999.8,996.8,1002.9,64,32,100,,,
21/01/29,3.1,134,CALM,14.8,184,S,21.2,194,SSW,26.0,20.1,34.2,0.0,1001.0,997.8,1003.3,62,32,100,,,
21/01/30,2.5,130,CALM,14.0,196,SSW,21.6,96,E,25.9,18.9,34.7,0.0,1000.9,997.8,1003.7,65,32,100,,,
21/01/31,3.0,25,CALM,11.9,190,S,19.1,205,SSW,25.7,18.6,34.8,0.0,1001.7,998.5,1004.4,63,28,100,,,

