date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/10/01,1.6,138,CALM,19.1,233,SW,23.4,211,SSW,27.6,24.0,35.8,30.4,1002.4,998.4,1004.6,87,53,98,,,
21/10/02,1.6,133,CALM,12.2,206,SSW,24.5,158,SSE,27.3,24.3,35.0,21.8,1002.6,999.4,1005.0,88,56,98,,,
21/10/03,0.9,178,CALM,12.6,253,WSW,22.3,146,SE,27.3,23.9,35.4,25.2,1001.6,998.4,1003.8,88,52,98,,,
21/10/04,0.4,107,CALM,9.7,61,ENE,16.2,37,NE,28.0,23.9,35.3,1.4,1000.8,997.4,1003.6,84,54,98,,,
21/10/05,1.6,171,CALM,12.6,282,WNW,24.8,73,ENE,27.7,24.3,35.6,23.8,999.9,996.8,1002.4,87,52,98,,,
21/10/06,0.8,97,CALM,10.4,277,W,13.3,276,W,26.7,24.6,32.1,6.0,998.5,995.7,1001.1,93,68,98,,,
21/10/07,0.8,153,CALM,9.7,251,WSW,13.0,264,W,28.0,25.1,33.1,0.2,998.0,995.4,1000.3,87,64,98,,,
21/10/08,1.4,168,CALM,12.2,252,WSW,16.9,250,WSW,28.7,25.4,35.4,0.0,998.5,996.1,1000.1,83,51,97,,,
21/10/09,3.2,182,CALM,16.6,221,SW,25.2,228,SW,26.9,24.5,33.1,0.0,999.1,996.9,1001.0,88,65,97,,,
21/10/10,4.6,199,SSW,14.0,233,SW,20.5,248,WSW,29.1,25.5,34.7,0.0,997.8,995.1,1000.4,79,53,96,,,
21/10/11,2.2,164,CALM,16.9,259,W,25.2,239,WSW,27.8,25.2,32.0,2.6,997.7,995.3,999.9,88,68,98,,,
21/10/12,1.6,178,CALM,11.2,239,WSW,16.6,228,SW,27.5,25.0,33.4,10.8,998.1,995.1,1000.1,91,63,98,,,
21/10/13,3.8,211,CALM,17.6,252,WSW,23.0,262,W,28.0,24.8,32.8,19.6,997.0,994.6,999.8,84,64,98,,,
21/10/14,2.8,205,CALM,17.6,232,SW,29.2,242,WSW,26.9,23.6,32.5,63.0,997.3,994.0,999.7,90,63,98,,,
21/10/15,1.5,109,CALM,15.8,232,SW,23.4,222,SW,26.5,24.8,31.9,0.2,999.3,996.9,1001.5,93,70,98,,,
21/10/16,1.5,103,CALM,13.7,252,WSW,21.6,146,SE,27.1,24.0,34.7,17.8,1001.9,998.4,1004.4,87,51,98,,,
21/10/17,0.6,56,CALM,7.6,4,N,18.4,76,ENE,23.5,21.9,27.4,19.4,1003.9,1002.2,1005.8,95,78,98,,,
21/10/18,0.6,76,CALM,6.5,42,NE,14.4,45,NE,25.5,22.5,30.1,0.0,1004.7,1001.6,1006.8,87,64,98,,,
21/10/19,0.6,137,CALM,10.4,227,SW,17.3,250,WSW,28.0,24.7,34.1,0.8,1006.2,1003.5,1008.0,86,59,98,,,
21/10/20,1.1,75,CALM,10.8,236,SW,14.4,256,WSW,28.0,25.2,33.8,0.2,1005.8,1003.0,1009.1,88,61,98,,,
21/10/21,1.7,111,CALM,12.6,256,WSW,20.9,323,NW,27.2,23.7,35.1,11.4,1004.8,1001.6,1007.5,88,55,98,,,
21/10/22,0.5,85,CALM,10.4,42,NE,22.3,0,N,27.7,24.3,35.9,0.0,1005.5,1002.6,1007.9,88,55,98,,,
21/10/23,1.4,81,CALM,8.6,70,ENE,20.2,0,N,26.0,23.5,29.6,0.0,1006.5,1004.0,1008.7,88,72,98,,,
21/10/24,1.2,70,CALM,8.3,26,NNE,16.6,62,ENE,27.2,22.5,33.8,0.0,1005.5,1003.3,1007.4,80,54,97,,,
21/10/25,1.5,81,CALM,9.4,40,NE,17.6,39,NE,27.0,22.5,34.3,0.0,1004.1,1002.0,1006.8,80,52,97,,,
21/10/26,1.4,85,CALM,10.1,10,N,18.7,6,N,27.3,22.2,35.1,0.0,1003.8,1001.5,1006.4,78,45,97,,,
21/10/27,1.5,59,CALM,11.9,0,N,20.9,343,NNW,27.9,22.5,34.9,1.6,1003.2,1001.2,1006.0,77,47,97,,,
21/10/28,1.0,66,CALM,10.8,327,NNW,16.2,301,WNW,24.5,23.7,26.2,3.6,1004.4,1002.0,1005.8,94,85,98,,,
21/10/29,0.6,119,CALM,6.1,226,SW,10.8,200,SSW,28.0,23.9,36.0,0.2,1005.4,1002.8,1007.5,84,49,98,,,
21/10/30,1.4,67,CALM,6.1,306,NW,13.0,23,NNE,32.1,24.6,37.3,0.0,1005.2,1002.9,1007.0,69,47,98,,,
21/10/31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-

