date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/02/01,1.0,81,CALM,20.2,45,NE,26.6,48,NE,28.6,24.0,34.6,0.0,1010.4,1007.8,1013.1,55,36,74,,,
21/02/02,0.7,88,CALM,18.4,264,W,24.1,259,W,28.4,23.8,34.2,0.0,1010.2,1007.7,1013.3,59,36,75,,,
21/02/03,0.6,84,CALM,16.9,47,NE,25.2,62,ENE,28.0,23.5,35.4,0.0,1010.4,1008.1,1012.4,69,30,93,,,
21/02/04,2.8,68,CALM,23.0,57,ENE,31.7,59,ENE,27.9,23.1,34.4,0.0,1010.7,1008.0,1014.1,53,29,93,,,
21/02/05,0.8,61,CALM,17.6,58,ENE,26.3,59,ENE,28.5,23.2,34.5,0.0,1009.6,1007.3,1013.2,48,33,69,,,
21/02/06,1.2,78,CALM,23.0,67,ENE,32.4,101,E,28.6,23.9,35.0,0.0,1008.6,1005.7,1011.5,52,32,70,,,
21/02/07,0.8,189,CALM,18.0,259,W,25.2,250,WSW,28.2,24.4,32.1,0.0,1008.6,1006.3,1011.6,72,45,90,,,
21/02/08,1.3,218,CALM,19.4,267,W,25.9,256,WSW,28.3,25.2,32.1,0.2,1007.9,1005.4,1010.6,77,58,92,,,
21/02/09,1.4,20,CALM,20.5,271,W,27.0,273,W,27.2,22.7,32.5,3.6,1007.9,1005.5,1010.1,78,51,98,,,
21/02/10,1.1,68,CALM,22.0,49,NE,30.6,45,NE,27.2,22.9,32.6,0.0,1008.5,1006.2,1011.1,61,43,87,,,
21/02/11,0.7,65,CALM,17.6,56,NE,25.9,53,NE,28.2,23.1,33.8,0.0,1009.0,1006.6,1011.4,49,36,70,,,
21/02/12,0.2,226,CALM,15.5,277,W,19.8,287,WNW,27.8,23.1,32.8,0.0,1009.6,1007.2,1011.9,63,39,87,,,
21/02/13,3.5,200,CALM,18.7,249,WSW,23.0,276,W,27.7,23.7,32.0,0.0,1009.9,1007.8,1011.9,73,55,87,,,
21/02/14,4.3,202,SSW,19.1,264,W,25.2,273,W,28.0,24.6,32.5,0.0,1009.4,1007.3,1012.6,70,52,87,,,
21/02/15,5.9,175,S,21.6,276,W,27.7,281,W,28.3,25.1,32.3,0.0,1008.1,1006.1,1011.5,71,55,88,,,
21/02/16,3.8,157,CALM,16.2,268,W,26.3,253,WSW,28.5,25.2,33.1,0.0,1008.2,1006.2,1010.2,72,53,90,,,
21/02/17,5.2,91,E,18.7,256,WSW,27.7,276,W,27.8,23.7,32.2,0.0,1010.2,1007.5,1012.6,76,60,92,,,
21/02/18,8.1,63,ENE,24.5,70,ENE,37.1,73,ENE,27.6,21.8,33.4,0.0,1012.6,1009.8,1015.0,52,36,81,,,
21/02/19,8.5,62,ENE,28.1,63,ENE,38.9,34,NE,27.0,22.1,32.7,0.0,1012.5,1009.5,1016.0,50,34,69,,,
21/02/20,5.1,80,E,25.9,59,ENE,37.4,56,NE,27.0,22.0,33.3,0.0,1011.0,1007.9,1014.3,50,32,73,,,
21/02/21,3.3,102,CALM,20.5,267,W,28.1,264,W,27.8,22.4,34.9,0.0,1009.9,1007.4,1013.1,61,32,85,,,
21/02/22,6.9,180,S,20.5,261,W,27.7,270,W,27.7,23.4,31.7,0.0,1009.0,1007.0,1012.3,72,54,87,,,
21/02/23,8.0,232,SW,22.0,271,W,29.5,267,W,29.5,24.1,31.7,0.0,1010.0,1007.9,1011.0,64,54,87,,,
21/02/24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-

