date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/09/01,2.5,129,CALM,12.6,231,SW,17.3,225,SW,27.4,24.3,33.1,11.2,1005.6,1002.4,1007.7,83,58,100,,,
21/09/02,1.3,143,CALM,5.0,155,SSE,7.6,180,S,25.2,24.7,26.6,4.4,1005.1,1004.2,1006.5,100,100,100,,,
21/09/03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/21,0.0,214,CALM,1.8,221,CALM,14.8,259,W,26.1,26.0,26.3,0.0,0.0,0.0,0.0,0,0,0,,,
21/09/22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/09/23,3.6,161,CALM,11.5,135,SE,16.2,129,SE,28.5,0.0,32.9,6.0,1006.9,1004.1,1009.5,80,0,100,,,
21/09/24,4.6,287,WNW,14.8,316,NW,20.9,304,NW,27.8,25.2,32.4,1.6,1006.4,1004.2,1009.0,83,61,100,,,
21/09/25,3.8,206,CALM,17.6,229,SW,26.3,228,SW,25.4,23.8,27.1,22.8,1005.1,1002.7,1007.0,92,85,100,,,
21/09/26,4.7,134,SE,13.7,183,S,21.6,121,ESE,26.9,24.4,31.6,1.2,1006.5,1004.0,1008.5,82,63,100,,,
21/09/27,2.4,53,CALM,22.0,197,SSW,32.0,194,SSW,27.4,23.9,34.4,48.2,1007.8,1004.7,1009.7,69,51,100,,,
21/09/28,2.6,4,CALM,16.9,220,SW,24.8,231,SW,27.8,25.0,34.1,1.6,1007.9,1004.7,1010.1,85,58,100,,,
21/09/29,3.5,77,CALM,13.0,313,NW,20.9,28,NNE,30.4,25.1,36.3,4.0,1006.6,1003.6,1009.1,76,47,100,,,
21/09/30,3.3,138,CALM,14.8,207,SSW,22.3,194,SSW,28.8,25.5,35.2,2.8,1007.5,1004.8,1010.0,81,53,100,,,

