date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/08/01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/02,4.5,264,W,10.8,247,WSW,21.6,332,NNW,28.6,25.7,32.1,4.2,1007.0,1005.3,1008.9,86,72,99,,,
21/08/03,4.5,265,W,14.4,248,WSW,27.4,301,WNW,27.0,24.8,29.7,8.4,1007.8,1006.3,1009.2,92,81,100,,,
21/08/04,3.9,252,CALM,15.5,192,SSW,26.3,203,SSW,27.8,25.6,32.7,4.4,1008.1,1006.3,1009.7,91,71,100,,,
21/08/05,4.0,254,WSW,14.0,233,SW,27.0,205,SSW,26.8,24.2,29.1,14.0,1007.8,1006.3,1010.2,96,85,100,,,
21/08/06,2.1,40,CALM,15.1,217,SW,24.8,197,SSW,26.0,24.2,28.5,15.8,1008.5,1006.2,1010.4,98,89,100,,,
21/08/07,2.3,273,CALM,8.6,261,W,18.4,278,W,28.2,25.9,32.3,0.8,1009.0,1007.5,1011.0,90,73,100,,,
21/08/08,3.0,317,CALM,9.7,61,ENE,20.2,273,W,28.0,25.8,32.2,0.8,1008.4,1006.7,1010.4,91,73,100,,,
21/08/09,2.2,267,CALM,8.3,251,WSW,14.8,253,WSW,29.0,26.5,32.9,0.0,1006.9,1004.5,1009.1,86,69,99,,,
21/08/10,3.6,87,CALM,16.9,187,S,24.8,197,SSW,26.2,23.7,29.0,40.4,1006.3,1003.9,1008.6,98,89,100,,,
21/08/11,4.2,80,E,12.6,59,ENE,19.8,76,ENE,25.3,23.5,27.4,33.0,1009.1,1006.9,1010.6,98,95,100,,,
21/08/12,3.5,88,CALM,13.0,245,WSW,26.3,242,WSW,26.1,23.9,30.2,36.2,1010.0,1008.1,1012.7,94,76,100,,,
21/08/13,2.8,109,CALM,11.9,346,NNW,22.0,304,NW,25.9,23.5,31.1,93.6,1008.5,1005.5,1011.0,94,72,100,,,
21/08/14,3.8,78,CALM,15.5,213,SSW,24.8,194,SSW,24.7,23.2,31.0,37.2,1008.0,1006.1,1009.4,97,74,100,,,
21/08/15,2.7,49,CALM,9.7,323,NW,19.4,307,NW,24.7,23.2,28.2,13.0,1010.6,1008.7,1012.9,96,81,100,,,
21/08/16,2.8,7,CALM,8.3,100,E,14.8,318,NW,27.4,23.6,32.5,0.0,1011.6,1009.5,1013.4,87,66,100,,,
21/08/17,4.1,66,ENE,11.5,48,NE,18.0,250,WSW,26.9,23.7,33.3,0.8,1009.8,1007.8,1012.1,88,63,100,,,
21/08/18,3.6,71,CALM,10.1,62,ENE,17.3,84,E,27.1,24.2,33.4,0.4,1007.8,1005.3,1010.3,90,66,100,,,
21/08/19,3.3,71,CALM,9.4,51,NE,17.3,45,NE,27.8,25.0,33.5,0.0,1007.8,1005.3,1009.8,87,64,98,,,
21/08/20,4.2,91,E,19.1,210,SSW,32.0,211,SSW,27.0,22.8,32.9,14.0,1008.8,1005.5,1010.9,88,70,100,,,
21/08/21,3.8,66,CALM,14.4,51,NE,18.7,45,NE,27.0,23.9,32.4,0.2,1008.7,1006.6,1010.6,86,68,100,,,
21/08/22,4.7,126,SE,12.2,228,SW,19.4,211,SSW,27.5,24.1,33.1,26.2,1008.0,1005.8,1010.2,88,66,100,,,
21/08/23,3.6,130,CALM,10.8,199,SSW,20.9,214,SW,27.7,24.8,32.1,10.0,1006.9,1005.2,1009.3,89,71,100,,,
21/08/24,1.4,101,CALM,6.8,55,NE,9.4,62,ENE,25.5,25.4,25.9,10.0,1006.5,1006.0,1006.8,100,100,100,,,
21/08/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/30,2.6,25,CALM,8.6,69,ENE,14.0,73,ENE,26.9,23.8,31.5,2.2,1007.8,1005.5,1010.3,89,68,100,,,
21/08/31,3.8,76,CALM,9.4,76,ENE,20.5,290,WNW,26.2,23.8,32.7,0.6,1008.5,1006.5,1010.1,91,65,100,,,

