date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/08/01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/02,11.2,0,N,21.2,-,,32.0,-,,29.1,27.8,31.3,0.0,1006.9,1005.2,1008.4,78,70,85,,,
21/08/03,9.0,-,,20.2,-,,29.2,-,,28.9,27.7,31.3,0.0,1007.7,1005.6,1008.9,79,69,85,,,
21/08/04,0.3,-,,14.4,-,,22.3,-,,29.0,27.9,31.2,0.0,1007.7,1005.7,1009.6,81,72,87,,,
21/08/05,0.2,0,CALM,1.1,-,,2.2,-,,29.0,27.3,31.5,0.0,1007.6,1005.7,1009.2,80,71,87,,,
21/08/06,0.2,-,,13.3,-,,22.7,-,,29.2,27.8,31.6,0.0,1008.2,1005.8,1010.0,79,70,85,,,
21/08/07,0.1,-,,13.0,-,,23.0,-,,29.4,27.9,31.4,0.0,1008.9,1007.2,1011.2,79,71,85,,,
21/08/08,0.1,-,,0.7,-,,1.8,-,,29.4,27.8,32.0,0.0,1008.3,1006.2,1010.6,79,70,88,,,
21/08/09,0.1,-,,8.3,-,,17.3,-,,29.9,27.9,32.6,0.0,1006.3,1004.2,1009.2,78,66,88,,,
21/08/10,0.2,-,,13.3,-,,19.8,-,,29.4,28.2,32.2,0.0,1005.7,1003.2,1007.4,81,67,89,,,
21/08/11,0.1,0,CALM,1.4,-,,1.8,-,,28.5,27.1,31.3,2.6,1008.4,1006.0,1010.4,84,73,92,,,
21/08/12,0.2,-,,1.1,-,,1.8,-,,29.1,27.3,31.7,0.2,1008.8,1006.1,1011.4,79,70,90,,,
21/08/13,0.2,-,,1.1,-,,1.8,-,,29.1,27.6,31.7,0.0,1006.0,1003.8,1008.7,77,67,84,,,
21/08/14,0.2,0,CALM,1.4,-,,1.8,-,,28.6,25.0,31.5,1.6,1005.7,1003.2,1008.7,78,67,90,,,
21/08/15,0.0,-,,1.1,-,,1.8,-,,26.2,23.8,28.0,45.8,1010.3,1008.6,1012.5,90,81,98,,,
21/08/16,0.0,-,,0.0,-,,0.7,-,,27.3,24.6,31.0,1.8,1011.9,1010.2,1013.4,84,67,96,,,
21/08/17,0.0,-,,0.7,-,,1.1,-,,28.6,25.1,32.1,0.0,1010.1,1007.8,1012.6,82,68,96,,,
21/08/18,0.0,0,CALM,0.7,-,,1.4,-,,27.5,25.2,32.2,0.0,1008.1,1005.5,1010.9,83,65,95,,,
21/08/19,0.0,-,,7.6,-,,15.8,-,,28.5,25.5,32.6,0.0,1008.0,1005.4,1010.0,82,60,94,,,
21/08/20,0.0,0,CALM,1.1,-,,1.8,-,,28.9,25.2,32.6,3.6,1008.8,1005.7,1010.7,80,65,95,,,
21/08/21,0.0,0,CALM,1.4,-,,1.8,-,,28.0,24.3,31.0,6.2,1008.8,1006.4,1011.8,84,69,96,,,
21/08/22,0.0,-,,1.1,-,,1.4,-,,28.8,25.8,31.9,0.0,1007.8,1005.8,1010.2,80,71,93,,,
21/08/23,0.0,-,,1.1,-,,1.8,-,,28.5,25.1,31.5,0.0,1006.9,1004.8,1009.1,80,67,95,,,
21/08/24,0.0,-,,0.0,-,,0.7,-,,29.2,27.3,30.0,0.0,1006.5,1006.0,1007.0,81,73,94,,,
21/08/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/30,0.0,-,,0.7,-,,1.8,-,,28.3,26.0,31.7,1.6,1007.9,1005.6,1009.6,84,68,94,,,
21/08/31,0.0,0,CALM,1.4,-,,1.8,-,,26.6,23.4,30.8,4.6,1008.8,1006.2,1010.5,88,71,96,,,

