date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,9.7,30,NNE,21.2,36,NE,30.2,338,NNW,25.0,22.0,29.1,0.0,1006.2,1004.1,1008.4,66,54,77,,,
21/12/02,9.7,20,NNE,19.1,20,NNE,26.3,349,N,25.1,21.3,29.3,0.0,1008.3,1006.0,1009.9,67,54,75,,,
21/12/03,9.1,22,NNE,21.2,20,NNE,32.4,23,NNE,24.0,19.4,29.6,0.0,1009.7,1006.5,1011.5,61,46,74,,,
21/12/04,9.2,22,NNE,24.5,31,NNE,34.9,39,NE,22.7,18.4,27.8,0.0,1009.5,1006.6,1011.9,63,41,80,,,
21/12/05,8.0,25,NNE,20.9,39,NE,31.3,31,NNE,23.7,18.5,28.8,0.0,1008.6,1005.8,1012.3,63,43,78,,,
21/12/06,8.6,20,NNE,19.1,9,N,26.3,8,N,24.8,21.0,30.9,0.0,1007.9,1005.2,1010.2,62,46,78,,,
21/12/07,7.4,24,NNE,19.8,13,NNE,29.5,8,N,25.1,21.0,30.8,0.0,1008.1,1005.8,1010.1,62,43,84,,,
21/12/08,8.5,21,NNE,20.9,1,N,29.9,14,NNE,25.5,21.2,30.8,0.0,1008.3,1005.8,1010.7,61,44,75,,,
21/12/09,7.5,33,NNE,18.4,21,NNE,26.3,37,NE,27.1,22.4,31.7,0.0,1008.5,1006.4,1010.5,68,49,84,,,
21/12/10,7.5,26,NNE,18.4,5,N,28.1,8,N,27.2,23.1,32.3,0.0,1007.7,1004.9,1009.8,67,47,84,,,
21/12/11,6.2,25,NNE,20.5,20,NNE,31.3,39,NE,26.1,21.3,31.8,0.0,1008.1,1005.5,1010.0,72,46,92,,,
21/12/12,7.3,22,NNE,17.3,9,N,27.0,37,NE,26.4,21.6,31.9,0.0,1007.6,1005.1,1010.6,67,44,83,,,
21/12/13,8.7,27,NNE,22.3,18,NNE,32.0,25,NNE,25.8,21.5,31.0,0.0,1007.0,1004.8,1009.4,67,50,79,,,
21/12/14,7.5,26,NNE,19.4,15,NNE,26.6,343,NNW,26.2,21.8,31.4,0.0,1006.0,1003.3,1008.2,67,47,85,,,
21/12/15,6.6,1,N,17.6,10,N,25.2,31,NNE,26.9,23.3,31.7,0.0,1005.2,1002.5,1007.6,63,45,78,,,
21/12/16,6.1,357,N,20.2,16,NNE,26.3,6,N,27.8,24.0,33.4,0.0,1005.2,1002.7,1007.2,65,43,84,,,
21/12/17,6.9,29,NNE,20.5,12,NNE,35.6,8,N,28.7,24.4,33.9,0.0,1005.1,1002.5,1007.3,65,44,83,,,
21/12/18,8.2,29,NNE,22.0,39,NE,31.0,3,N,26.1,22.0,32.1,0.0,1006.1,1003.0,1008.4,68,48,88,,,
21/12/19,9.9,19,NNE,20.5,26,NNE,33.1,34,NE,24.3,20.2,29.6,0.0,1007.7,1005.1,1009.0,61,44,78,,,
21/12/20,6.4,20,NNE,19.1,10,N,27.7,11,N,24.3,20.0,30.2,0.0,1007.3,1004.7,1010.2,64,38,84,,,
21/12/21,4.0,4,N,14.8,24,NNE,20.9,31,NNE,26.0,21.7,32.0,0.0,1007.2,1005.4,1009.3,65,38,88,,,
21/12/22,3.7,28,CALM,15.1,17,NNE,20.2,8,N,26.8,23.2,31.9,0.0,1006.2,1004.5,1009.0,66,42,85,,,
21/12/23,3.0,74,CALM,13.7,15,NNE,17.6,17,NNE,27.0,23.2,32.2,0.0,1006.1,1004.2,1007.8,77,48,100,,,
21/12/24,2.1,353,CALM,11.9,20,NNE,15.8,8,N,25.7,22.6,30.5,0.2,1006.3,1004.1,1007.7,90,66,100,,,
21/12/25,3.5,63,CALM,13.7,115,ESE,20.9,110,ESE,26.5,22.9,31.9,0.0,1007.5,1005.3,1009.1,83,56,99,,,
21/12/26,4.0,34,NE,14.0,30,NNE,18.7,11,N,25.1,22.5,31.1,0.0,1008.7,1006.9,1010.4,90,59,100,,,
21/12/27,5.5,36,NE,16.6,6,N,29.5,53,NE,26.9,22.5,32.6,0.0,1008.5,1006.2,1011.2,77,49,99,,,
21/12/28,6.8,36,NE,17.6,77,ENE,28.4,39,NE,27.4,22.5,32.1,0.0,1007.9,1005.6,1010.7,66,48,87,,,
21/12/29,6.3,34,NE,15.8,81,E,22.7,39,NE,28.1,24.4,32.3,0.0,1008.1,1005.8,1010.1,65,48,75,,,
21/12/30,7.3,24,NNE,15.1,13,NNE,22.3,113,ESE,27.1,22.7,32.5,0.0,1009.2,1006.6,1011.4,67,45,81,,,
21/12/31,7.0,27,NNE,19.1,12,NNE,28.8,329,NNW,25.8,21.7,31.4,0.0,1009.2,1006.9,1010.9,71,47,91,,,

