date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/09/01,3.8,117,CALM,13.7,208,SSW,20.2,188,S,27.8,24.7,33.1,40.6,1007.5,1004.4,1009.6,79,63,92,10977,797,20000
21/09/02,5.1,268,W,17.3,179,S,26.6,177,S,28.6,25.2,32.4,3.2,1006.5,1003.6,1009.0,83,67,92,19142,3335,20000
21/09/03,5.0,264,W,19.4,206,SSW,27.0,205,SSW,28.7,26.0,31.8,0.2,1006.7,1003.5,1008.9,75,64,92,19927,5959,20000
21/09/04,4.6,227,SW,18.0,202,SSW,25.6,208,SSW,28.0,24.9,33.3,31.6,1007.0,1004.6,1008.9,73,60,92,17285,484,20000
21/09/05,3.3,202,CALM,11.9,303,WNW,18.4,321,NW,27.2,24.6,30.4,15.8,1008.3,1005.4,1010.3,88,75,92,18922,646,20000
21/09/06,5.2,312,NW,23.0,297,WNW,34.9,264,W,29.5,24.9,34.7,10.6,1008.1,1005.3,1010.8,78,53,92,19343,1204,20000
21/09/07,4.9,316,NW,19.8,308,NW,28.1,293,WNW,27.3,24.9,31.2,58.4,1006.6,1004.2,1009.5,88,75,92,16633,325,20000
21/09/08,2.9,66,CALM,16.2,295,WNW,27.0,233,SW,26.2,24.2,32.3,2.4,1004.8,1001.9,1007.0,84,65,92,14712,3307,20000
21/09/09,4.2,143,SE,15.5,195,SSW,23.0,236,SW,26.5,24.3,30.0,45.0,1005.4,1002.8,1007.0,88,75,92,18249,584,20000
21/09/10,5.4,170,S,17.3,202,SSW,25.2,146,SE,27.3,24.7,31.7,0.8,1006.8,1004.3,1008.5,87,68,92,19845,6686,20000
21/09/11,6.0,306,NW,21.2,279,W,31.3,307,NW,28.0,25.7,32.3,0.0,1006.7,1004.9,1009.2,76,61,92,19985,15976,20000
21/09/12,8.5,303,WNW,23.0,295,WNW,30.6,264,W,29.2,25.7,34.0,0.0,1005.1,1002.2,1007.3,69,53,84,19972,16837,20000
21/09/13,9.7,306,NW,23.0,283,WNW,32.8,284,WNW,29.7,26.6,35.1,0.0,1005.3,1002.4,1006.9,70,53,80,19879,5184,20000
21/09/14,5.5,312,NW,17.6,301,WNW,30.2,307,NW,28.1,25.8,32.4,0.2,1006.8,1004.4,1008.5,79,58,92,19905,2862,20000
21/09/15,4.1,165,SSE,18.4,199,SSW,23.0,191,S,26.3,23.9,29.8,23.2,1007.5,1005.1,1009.7,89,76,92,18793,428,20000
21/09/16,4.9,169,S,16.9,195,SSW,25.6,183,S,27.2,24.0,31.3,36.4,1007.9,1005.4,1009.8,87,70,92,18759,561,20000
21/09/17,4.9,161,SSE,14.4,222,SW,20.5,203,SSW,28.2,25.0,31.5,0.0,1008.1,1005.6,1010.1,79,60,92,19512,4383,20000
21/09/18,5.1,202,SSW,15.8,213,SSW,22.7,191,S,29.3,26.0,33.7,0.0,1008.2,1005.5,1010.7,79,55,92,19795,8761,20000
21/09/19,3.5,299,CALM,18.7,178,S,28.4,262,W,27.0,24.1,31.7,58.6,1007.9,1005.6,1010.5,79,66,92,17047,661,20000
21/09/20,4.1,251,WSW,14.8,198,SSW,20.9,233,SW,26.7,23.8,31.7,55.2,1006.4,1003.3,1008.8,84,72,92,14608,655,20000
21/09/21,5.1,158,SSE,20.5,227,SW,27.4,217,SW,27.5,24.4,31.8,39.2,1005.2,1002.4,1007.5,85,70,92,18145,697,20000
21/09/22,4.4,137,SE,16.9,222,SW,25.2,338,NNW,27.3,24.8,32.1,14.0,1005.9,1003.0,1007.8,82,63,92,15287,1934,20000
21/09/23,4.6,233,SW,17.3,209,SSW,23.8,188,S,28.6,26.1,32.5,0.8,1007.4,1004.7,1009.5,85,67,92,19376,4549,20000
21/09/24,5.2,307,NW,17.6,294,WNW,24.5,307,NW,28.3,25.6,33.1,4.0,1006.5,1004.3,1009.0,83,61,92,18998,3278,20000
21/09/25,4.2,277,W,16.2,296,WNW,31.3,312,NW,26.5,24.0,29.9,12.6,1005.5,1003.2,1007.4,88,78,92,16478,1816,20000
21/09/26,4.2,145,SE,16.9,198,SSW,25.2,188,S,26.8,24.8,30.3,0.0,1006.8,1004.4,1008.5,88,76,92,18772,6139,20000
21/09/27,4.4,90,E,16.6,207,SSW,23.4,200,SSW,28.6,25.9,34.3,0.0,1007.8,1005.5,1009.6,81,57,92,18755,9724,20000
21/09/28,3.3,324,CALM,17.3,292,WNW,26.3,301,WNW,28.7,25.8,33.3,0.0,1007.9,1004.9,1010.1,82,64,92,14123,2085,20000
21/09/29,4.0,134,SE,16.2,328,NNW,22.7,301,WNW,30.8,26.6,35.9,0.0,1006.7,1003.8,1009.3,78,51,92,15375,5293,20000
21/09/30,4.1,174,S,16.6,286,WNW,26.3,287,WNW,29.6,26.5,34.5,0.4,1007.7,1005.5,1010.1,83,60,92,19380,7053,20000

