date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,4.7,13,NNE,18.4,128,SE,29.2,118,ESE,24.7,22.9,28.2,254.2,1009.3,1006.9,1011.5,99,86,100,,,
21/12/02,4.3,248,WSW,17.3,160,SSE,21.2,166,SSE,23.9,22.9,25.9,43.6,1012.1,1009.8,1013.9,100,100,100,,,
21/12/03,6.2,345,NNW,20.2,35,NE,32.0,45,NE,26.6,23.9,30.9,1.0,1013.2,1011.0,1015.0,91,69,100,,,
21/12/04,6.5,354,N,18.4,33,NNE,29.2,45,NE,26.3,22.7,30.5,0.2,1012.8,1010.1,1015.3,82,64,94,,,
21/12/05,5.8,344,NNW,19.4,33,NNE,31.0,25,NNE,25.4,21.7,29.9,0.0,1012.4,1010.7,1015.1,81,61,99,,,
21/12/06,3.6,336,CALM,13.7,97,E,18.7,98,E,26.4,23.1,30.7,0.0,1011.7,1009.6,1013.9,82,58,100,,,
21/12/07,4.0,358,N,14.0,41,NE,19.8,48,NE,27.4,24.2,31.2,0.0,1012.1,1010.3,1014.1,81,58,98,,,
21/12/08,5.1,20,NNE,15.8,31,NNE,24.1,51,NE,26.6,23.1,30.6,0.4,1012.0,1009.9,1013.8,86,67,99,,,
21/12/09,4.4,1,N,13.3,29,NNE,21.2,90,E,27.4,24.2,31.6,0.0,1012.5,1011.0,1014.7,82,58,97,,,
21/12/10,3.3,319,CALM,15.8,38,NE,22.7,48,NE,25.5,23.1,29.9,4.4,1012.3,1010.5,1013.7,93,76,100,,,
21/12/11,3.5,345,CALM,15.8,88,E,21.6,51,NE,25.9,22.1,30.4,0.0,1012.3,1010.4,1014.0,87,67,100,,,
21/12/12,5.1,6,N,16.6,43,NE,25.6,25,NNE,27.0,22.6,31.1,0.0,1011.6,1009.7,1014.5,80,60,100,,,
21/12/13,5.2,355,N,16.9,31,NNE,24.5,14,NNE,27.0,23.5,31.6,0.2,1010.8,1008.6,1012.9,84,63,98,,,
21/12/14,4.4,335,NNW,15.1,40,NE,22.0,17,NNE,26.3,23.5,30.7,0.2,1010.2,1008.0,1012.5,89,64,99,,,
21/12/15,5.2,348,NNW,15.1,11,N,24.8,11,N,26.9,23.1,31.7,0.0,1009.8,1007.4,1012.2,85,63,99,,,
21/12/16,5.1,349,N,15.8,23,NNE,25.9,323,NW,27.2,23.4,31.0,0.0,1009.8,1007.9,1011.9,83,59,98,,,
21/12/17,3.0,320,CALM,13.0,162,SSE,15.1,143,SE,26.0,24.2,29.5,1.0,1009.5,1007.8,1011.7,93,72,100,,,
21/12/18,3.9,328,CALM,20.9,55,NE,31.0,42,NE,26.0,24.5,31.6,3.4,1009.8,1007.7,1012.0,94,68,100,,,
21/12/19,4.5,325,NW,14.0,1,N,24.5,25,NNE,26.4,24.2,31.1,8.0,1011.4,1009.1,1012.9,91,68,100,,,
21/12/20,4.3,338,NNW,15.1,45,NE,24.5,70,ENE,25.9,23.9,29.7,0.0,1011.7,1009.9,1013.6,85,67,99,,,
21/12/21,4.2,325,NW,13.3,27,NNE,20.5,8,N,26.0,23.6,29.7,0.0,1011.8,1009.9,1013.6,86,61,98,,,
21/12/22,3.8,323,CALM,11.9,36,NE,18.0,17,NNE,25.5,22.7,30.7,6.0,1010.9,1009.1,1013.7,89,61,100,,,
21/12/23,5.3,355,N,15.5,45,NE,23.0,45,NE,27.4,23.0,32.2,0.0,1010.5,1008.6,1012.7,83,58,100,,,
21/12/24,4.6,336,NNW,15.5,67,ENE,24.5,59,ENE,27.0,22.8,32.2,0.0,1010.3,1008.2,1012.1,85,59,100,,,
21/12/25,5.5,312,NW,19.4,112,ESE,27.4,115,ESE,27.1,23.2,31.7,1.6,1011.4,1008.9,1012.9,87,64,100,,,
21/12/26,5.1,8,N,19.4,103,ESE,29.2,113,ESE,26.8,23.0,31.0,0.0,1012.8,1010.4,1014.4,87,67,100,,,
21/12/27,3.8,340,CALM,13.0,20,NNE,19.1,23,NNE,27.2,23.3,32.0,0.0,1012.9,1011.0,1015.4,84,58,99,,,
21/12/28,4.1,354,N,14.4,111,ESE,20.9,20,NNE,27.3,24.2,32.0,2.8,1011.7,1009.8,1014.2,87,64,100,,,
21/12/29,7.8,58,ENE,33.8,116,ESE,47.5,129,SE,26.6,22.8,30.6,84.2,1011.9,1009.6,1013.4,92,73,100,,,
21/12/30,6.1,17,NNE,18.4,34,NE,29.9,37,NE,26.7,24.3,30.5,33.8,1012.7,1010.8,1014.6,90,71,100,,,
21/12/31,6.3,29,NNE,21.6,88,E,32.4,76,ENE,27.4,25.0,30.5,0.0,1012.9,1011.0,1014.6,82,68,94,,,

