date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/10/01,3.4,243,CALM,15.5,111,ESE,24.1,281,W,27.0,24.1,34.9,3.6,1008.8,1005.9,1010.8,90,59,100,,,
21/10/02,4.1,318,NW,15.5,107,ESE,22.7,3,N,28.5,24.6,34.7,0.0,1008.8,1006.6,1011.0,83,59,98,,,
21/10/03,5.2,117,ESE,21.2,329,NNW,28.1,340,NNW,28.0,22.6,35.7,83.8,1008.0,1005.1,1010.8,84,53,100,,,
21/10/04,3.1,278,CALM,25.6,270,W,34.2,248,WSW,26.6,23.4,33.8,55.4,1007.3,1004.6,1009.4,93,64,100,,,
21/10/05,7.6,283,WNW,19.4,278,W,27.0,281,W,27.0,24.6,29.6,0.0,1007.1,1004.5,1009.7,84,75,100,,,
21/10/06,7.7,290,WNW,24.8,320,NW,33.1,256,WSW,26.9,23.3,31.5,1.4,1005.8,1003.7,1007.9,83,65,98,,,
21/10/07,8.8,285,WNW,24.8,271,W,37.1,281,W,26.0,24.0,31.0,9.6,1006.2,1003.5,1008.3,88,69,97,,,
21/10/08,7.2,277,W,31.3,279,W,41.4,287,WNW,26.6,24.5,31.3,4.0,1006.7,1004.4,1008.4,89,67,100,,,
21/10/09,9.0,288,WNW,27.4,274,W,40.0,338,NNW,29.2,25.2,33.5,0.2,1007.0,1004.7,1009.2,75,53,100,,,
21/10/10,7.2,280,W,26.6,282,WNW,38.2,281,W,29.0,25.3,33.7,0.0,1006.0,1003.9,1007.6,77,56,95,,,
21/10/11,7.2,274,W,25.9,279,W,37.4,273,W,29.1,24.5,34.0,0.0,1005.4,1003.3,1007.5,70,45,96,,,
21/10/12,7.5,283,WNW,18.0,276,W,25.6,267,W,29.9,25.7,33.1,0.0,1006.8,1005.7,1007.6,76,62,95,,,
21/10/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/10/14,4.4,274,W,14.0,297,WNW,20.5,321,NW,27.1,24.8,32.2,0.0,1005.5,1002.8,1007.2,83,58,97,,,
21/10/15,4.8,270,W,13.7,106,ESE,19.1,295,WNW,29.5,23.6,35.9,0.0,1005.5,1002.5,1007.2,72,47,98,,,
21/10/16,4.7,305,NW,16.2,122,ESE,22.0,318,NW,27.9,24.0,35.3,0.6,1007.6,1004.6,1009.9,83,53,99,,,
21/10/17,3.4,270,CALM,19.1,292,WNW,29.2,301,WNW,26.0,23.6,32.9,31.0,1009.1,1006.6,1011.0,92,63,100,,,
21/10/18,4.3,31,NNE,15.8,120,ESE,20.2,124,SE,28.5,24.6,34.6,2.6,1010.1,1006.3,1012.5,86,61,100,,,
21/10/19,5.0,80,E,16.6,121,ESE,22.0,98,E,28.7,24.3,33.8,0.0,1011.7,1008.2,1013.8,84,64,100,,,
21/10/20,3.6,311,CALM,14.0,119,ESE,18.4,65,ENE,28.1,24.1,33.7,19.4,1012.0,1008.8,1015.0,85,61,100,,,
21/10/21,1.6,309,CALM,9.7,291,WNW,12.6,250,WSW,26.5,24.6,30.2,0.2,1011.2,1009.1,1013.4,94,77,100,,,
21/10/22,4.5,279,W,16.2,326,NW,22.3,335,NNW,26.8,23.6,32.9,0.4,1011.3,1009.1,1013.6,89,65,100,,,
21/10/23,4.3,297,WNW,20.5,318,NW,27.0,323,NW,27.5,24.1,33.8,13.2,1010.9,1007.9,1012.9,87,59,100,,,
21/10/24,4.3,280,W,16.2,114,ESE,20.9,76,ENE,27.9,24.3,34.0,14.0,1010.0,1007.4,1012.0,87,62,100,,,
21/10/25,4.2,302,WNW,17.6,106,ESE,21.6,104,ESE,26.9,23.9,33.5,14.4,1007.0,1004.7,1011.1,92,63,100,,,
21/10/26,3.7,73,CALM,16.6,122,ESE,20.9,118,ESE,27.7,24.3,33.3,26.8,1006.5,1003.8,1008.7,89,67,100,,,
21/10/27,4.0,253,WSW,15.5,118,ESE,18.7,110,ESE,28.1,24.8,33.8,0.0,1006.4,1004.1,1009.0,88,63,100,,,
21/10/28,3.1,279,CALM,14.4,113,ESE,19.1,115,ESE,28.3,25.3,33.8,0.2,1006.8,1004.2,1009.0,86,65,99,,,
21/10/29,6.8,136,SE,18.7,117,ESE,22.3,146,SE,28.7,25.1,33.6,3.6,1007.9,1005.3,1009.6,85,67,100,,,
21/10/30,4.3,300,WNW,17.6,113,ESE,25.9,113,ESE,27.3,24.4,33.5,14.8,1008.7,1006.4,1010.7,90,60,100,,,
21/10/31,3.4,309,CALM,10.4,304,NW,17.3,338,NNW,25.6,23.9,29.8,0.8,1008.7,1006.9,1011.5,94,75,100,,,

