date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,2.6,357,CALM,12.2,125,SE,19.8,96,E,25.8,23.2,31.3,22.2,1005.9,1003.1,1007.8,96,71,100,,,
21/12/02,3.0,282,CALM,13.3,136,SE,20.2,127,SE,25.6,23.3,29.6,1.4,1008.8,1006.3,1011.1,92,74,100,,,
21/12/03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/08,1.5,329,CALM,11.9,45,NE,21.2,11,N,23.6,21.6,29.5,0.0,1009.0,1007.0,1010.1,95,71,100,,,
21/12/09,4.0,358,N,16.2,7,N,25.6,11,N,26.2,22.2,31.2,1.6,1009.3,1007.5,1011.3,87,65,100,,,
21/12/10,7.2,47,NE,18.7,15,NNE,34.9,59,ENE,28.3,24.0,31.4,1.8,1009.2,1007.3,1010.8,81,66,100,,,
21/12/11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/13,1.5,327,CALM,3.6,332,CALM,6.1,335,NNW,23.0,22.8,23.2,8.8,1006.4,1005.8,1007.2,100,100,100,,,
21/12/14,5.4,13,NNE,18.0,4,N,32.8,8,N,26.7,23.1,29.9,0.0,1007.1,1004.9,1009.0,85,72,100,,,
21/12/15,5.5,350,N,16.9,8,N,27.0,28,NNE,27.0,23.8,32.1,0.4,1006.6,1004.2,1008.8,87,65,100,,,
21/12/16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/12/26,2.5,342,CALM,14.4,32,NNE,26.3,48,NE,25.3,21.9,33.0,0.0,1009.5,1006.9,1011.2,89,58,100,,,
21/12/27,3.3,358,CALM,16.9,101,E,22.3,96,E,26.5,22.1,33.3,0.0,1009.9,1007.8,1012.4,85,56,100,,,
21/12/28,4.1,28,NNE,16.6,50,NE,27.0,354,N,26.8,23.1,32.8,0.0,1008.7,1006.5,1011.2,86,62,100,,,
21/12/29,5.8,57,ENE,20.9,77,ENE,33.5,73,ENE,26.5,23.4,32.2,27.2,1007.2,1004.5,1010.1,90,65,100,,,
21/12/30,6.9,55,NE,21.2,53,NE,32.0,65,ENE,26.4,23.8,30.2,2.6,1007.0,1004.7,1008.9,87,71,100,,,
21/12/31,6.3,54,NE,22.0,90,E,38.9,357,N,26.3,22.7,31.6,21.4,1007.2,1005.0,1008.9,86,64,100,,,

