date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,4.4,94,E,15.8,73,ENE,32.8,73,ENE,26.7,23.0,31.5,97.8,-,-,-,91,73,100,15172,370,20000
21/12/02,3.3,116,CALM,15.5,52,NE,28.1,37,NE,26.1,23.4,31.9,3.6,-,-,-,89,64,100,14459,2570,20000
21/12/03,6.1,70,ENE,15.5,62,ENE,27.7,51,NE,27.5,23.4,30.8,0.0,-,-,-,79,71,95,17976,10584,20000
21/12/04,7.4,51,NE,16.9,62,ENE,25.9,45,NE,26.0,23.6,28.8,27.4,0.0,0.0,0.0,87,75,99,16253,363,20000
21/12/05,7.4,36,NE,16.6,46,NE,25.9,39,NE,26.1,24.3,28.8,1.4,-,-,-,76,66,92,19572,2642,20000
21/12/06,7.2,61,ENE,14.8,37,NE,22.3,28,NNE,27.4,25.4,30.2,0.0,-,-,-,74,59,84,19854,3253,20000
21/12/07,6.8,78,ENE,19.8,67,ENE,27.7,90,E,27.7,25.3,31.2,0.0,-,-,-,77,61,90,19576,3488,20000
21/12/08,8.0,70,ENE,17.3,65,ENE,26.6,62,ENE,27.8,25.5,31.1,0.0,-,-,-,76,65,91,19579,6927,20000
21/12/09,8.8,51,NE,16.9,41,NE,28.1,53,NE,27.9,24.7,31.1,1.8,-,-,-,78,64,96,18785,2731,20000
21/12/10,6.4,72,ENE,19.1,56,NE,28.1,87,E,27.4,24.6,30.3,2.8,-,-,-,82,71,97,16635,567,20000
21/12/11,7.2,70,ENE,16.6,62,ENE,27.4,37,NE,28.0,25.2,31.4,0.2,-,-,-,75,63,94,18894,7230,20000
21/12/12,8.8,48,NE,15.8,36,NE,23.8,20,NNE,28.0,26.3,30.3,0.0,-,-,-,73,64,82,19781,10967,20000
21/12/13,7.5,43,NE,22.0,59,ENE,30.6,59,ENE,27.7,24.4,30.9,8.0,-,-,-,78,67,98,19506,396,20000
21/12/14,8.3,29,NNE,19.1,37,NE,28.8,65,ENE,27.9,26.8,30.3,0.0,0.0,0.0,0.0,77,67,83,19673,2858,20000
21/12/15,5.8,1,N,15.8,354,N,27.7,68,ENE,28.0,26.1,30.5,0.0,-,-,-,80,69,90,16590,2919,20000
21/12/16,5.2,302,WNW,14.8,269,W,22.3,28,NNE,26.0,24.1,28.2,54.4,-,-,-,91,77,100,10859,388,20000
21/12/17,7.9,33,NNE,15.5,44,NE,27.0,39,NE,26.8,24.2,27.9,36.6,-,-,-,89,83,100,14697,311,20000
21/12/18,8.8,66,ENE,17.3,39,NE,30.2,65,ENE,27.8,25.9,30.1,0.6,-,-,-,81,76,91,17173,3239,20000
21/12/19,1.6,147,CALM,10.8,59,ENE,22.0,34,NE,26.0,23.6,30.4,0.8,-,-,-,86,69,95,16058,4717,20000
21/12/20,4.7,19,NNE,12.6,37,NE,20.5,23,NNE,26.8,24.1,30.0,1.6,-,-,-,84,67,97,17564,2289,20000
21/12/21,3.8,293,CALM,13.0,263,W,18.0,256,WSW,24.9,23.4,26.4,8.4,-,-,-,93,86,98,15615,584,20000
21/12/22,3.7,340,CALM,11.9,38,NE,16.6,17,NNE,26.8,24.0,30.3,0.0,-,-,-,83,61,96,19042,11002,20000
21/12/23,4.9,334,NNW,14.4,46,NE,22.0,37,NE,27.1,24.4,29.9,0.0,-,-,-,84,69,97,17145,4411,20000
21/12/24,5.2,59,ENE,13.7,39,NE,19.4,23,NNE,27.2,24.4,30.2,0.0,-,-,-,84,72,96,18035,4920,20000
21/12/25,4.6,96,E,15.1,62,ENE,23.8,93,E,28.2,24.8,32.1,0.0,-,-,-,80,66,95,18060,9029,20000
21/12/26,6.0,80,E,16.2,72,ENE,24.5,48,NE,28.1,25.5,31.5,0.0,-,-,-,78,66,92,15662,1201,20000
21/12/27,6.6,65,ENE,14.8,65,ENE,19.4,59,ENE,28.1,26.3,31.7,0.0,-,-,-,78,65,85,19348,10620,20000
21/12/28,7.4,74,ENE,20.5,37,NE,27.4,14,NNE,28.1,25.7,30.9,0.8,-,-,-,79,69,93,19313,2706,20000
21/12/29,11.1,77,ENE,25.2,60,ENE,37.8,51,NE,27.7,24.3,31.2,17.0,-,-,-,84,67,99,14214,731,20000
21/12/30,13.1,69,ENE,26.3,63,ENE,36.7,42,NE,27.7,24.1,29.8,19.0,-,-,-,80,69,98,13935,381,19923
21/12/31,10.3,71,ENE,25.9,55,NE,42.1,25,NNE,27.4,23.5,31.4,11.2,-,-,-,81,65,99,14753,1228,20000

