date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/02/01,4.7,54,NE,18.4,118,ESE,29.2,53,NE,27.8,22.3,35.2,0.0,1011.5,1009.0,1013.5,73,42,96,,,
21/02/02,4.2,43,NE,14.0,240,WSW,20.2,124,SE,27.5,22.7,34.8,0.0,1011.2,1009.0,1014.2,76,47,96,,,
21/02/03,3.7,66,CALM,15.5,45,NE,22.7,39,NE,27.6,22.9,34.2,0.0,1011.0,1008.6,1012.7,76,48,96,,,
21/02/04,4.3,66,ENE,18.4,100,E,27.0,84,E,27.5,23.2,33.6,0.0,1011.2,1008.5,1013.5,74,48,95,,,
21/02/05,4.1,61,ENE,15.1,51,NE,25.9,65,ENE,28.3,23.7,34.3,0.0,1010.2,1007.7,1013.2,72,45,94,,,
21/02/06,3.9,66,ENE,15.5,60,ENE,25.9,82,E,28.7,22.9,35.4,0.0,1009.2,1006.4,1011.7,69,44,93,,,
21/02/07,4.0,70,ENE,14.8,56,NE,24.5,59,ENE,28.5,22.9,36.0,0.0,1009.2,1006.5,1011.3,70,40,94,,,
21/02/08,3.5,61,CALM,14.0,174,S,23.4,295,WNW,28.6,23.3,35.6,0.0,1009.0,1006.2,1011.3,73,46,94,,,
21/02/09,4.9,355,N,15.8,269,W,21.2,273,W,28.8,23.5,34.1,0.0,1008.3,1005.7,1010.8,75,53,95,,,
21/02/10,5.6,46,NE,16.6,264,W,29.9,65,ENE,28.9,23.7,35.2,0.0,1008.3,1005.8,1010.3,71,50,95,,,
21/02/11,5.8,60,ENE,14.4,77,ENE,21.6,31,NNE,29.0,24.1,35.1,0.0,1009.4,1006.5,1011.1,71,47,91,,,
21/02/12,5.6,70,ENE,15.1,107,ESE,23.8,28,NNE,29.0,22.6,36.3,0.0,1010.2,1007.4,1012.3,67,41,89,,,
21/02/13,4.3,45,NE,14.8,260,W,19.8,101,E,29.2,22.8,36.5,0.0,1010.9,1008.7,1012.6,65,39,88,,,
21/02/14,4.4,51,NE,14.8,62,ENE,20.5,68,ENE,28.7,22.3,36.6,0.0,1010.5,1008.0,1013.0,66,36,92,,,
21/02/15,4.4,43,NE,16.9,244,WSW,22.3,250,WSW,28.5,22.3,37.1,0.0,1009.1,1006.2,1012.2,66,33,92,,,
21/02/16,3.8,42,CALM,14.0,278,W,16.9,76,ENE,27.9,22.7,34.8,0.0,1009.2,1007.0,1011.3,72,43,92,,,
21/02/17,5.5,61,ENE,19.8,87,E,29.2,82,E,29.1,24.2,34.5,0.0,1010.1,1007.7,1011.9,65,46,89,,,
21/02/18,6.9,66,ENE,22.0,101,E,36.0,113,ESE,28.8,24.8,33.4,0.0,1011.7,1009.5,1013.6,62,47,78,,,
21/02/19,7.1,63,ENE,21.2,67,ENE,34.2,65,ENE,28.4,23.5,33.8,0.0,1011.5,1008.8,1013.8,63,44,89,,,
21/02/20,4.7,71,ENE,18.4,114,ESE,28.4,110,ESE,28.2,24.0,33.7,0.0,1010.7,1008.1,1013.3,69,47,87,,,
21/02/21,5.3,80,E,22.0,103,ESE,33.1,84,E,27.2,20.5,34.3,0.0,1010.5,1007.9,1013.3,66,43,94,,,
21/02/22,4.4,73,ENE,14.4,118,ESE,24.5,53,NE,27.0,18.8,35.6,0.0,1010.0,1007.4,1013.1,63,37,91,,,
21/02/23,4.2,58,ENE,13.3,107,ESE,21.2,68,ENE,29.0,18.9,35.8,0.0,1011.0,1008.8,1012.2,52,36,86,,,
21/02/24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-

