date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/01/01,20.5,74,ENE,35.6,59,ENE,45.0,53,NE,18.4,13.3,23.5,0.0,972.0,969.9,974.7,64,48,82,,,
21/01/02,15.0,72,ENE,34.6,81,E,41.8,79,E,20.0,13.8,25.1,0.0,970.7,968.6,973.9,59,45,79,,,
21/01/03,15.6,74,ENE,33.8,79,E,38.5,87,E,22.1,16.5,27.5,0.0,969.8,967.5,972.0,59,41,83,,,
21/01/04,14.9,75,ENE,30.2,66,ENE,40.0,73,ENE,22.2,17.6,28.3,0.0,970.0,967.9,972.9,68,49,83,,,
21/01/05,11.4,77,ENE,22.7,67,ENE,29.2,62,ENE,24.5,19.3,30.9,0.0,969.3,967.5,972.1,64,44,84,,,
21/01/06,12.1,77,ENE,27.7,78,ENE,33.8,73,ENE,24.3,18.4,30.6,0.0,967.8,965.5,971.2,65,43,89,,,
21/01/07,12.8,71,ENE,24.1,74,ENE,29.9,73,ENE,24.7,20.0,31.0,0.0,967.1,964.7,969.7,67,46,85,,,
21/01/08,16.2,72,ENE,31.3,78,ENE,38.2,73,ENE,21.0,14.6,26.6,0.0,968.9,966.3,971.2,71,56,86,,,
21/01/09,16.8,80,E,36.7,70,ENE,46.1,73,ENE,20.0,14.6,25.9,0.0,969.6,967.0,973.0,62,47,81,,,
21/01/10,15.9,74,ENE,29.2,75,ENE,34.2,59,ENE,20.7,15.1,26.5,0.0,969.5,966.8,972.0,63,44,85,,,
21/01/11,22.3,70,ENE,35.6,69,ENE,44.6,84,E,18.3,10.8,24.9,0.0,972.5,969.2,975.5,63,48,83,,,
21/01/12,18.6,75,ENE,39.2,75,ENE,48.6,62,ENE,16.3,10.8,21.9,0.0,972.5,969.8,976.9,50,40,67,,,
21/01/13,11.0,78,ENE,29.2,87,E,36.4,93,E,17.6,11.6,25.3,0.0,970.1,968.2,973.8,55,33,80,,,
21/01/14,7.2,87,E,20.9,70,ENE,26.3,73,ENE,20.5,12.1,29.7,0.0,968.3,966.5,971.1,58,32,86,,,
21/01/15,5.6,92,E,21.6,64,ENE,27.0,62,ENE,22.2,14.7,31.6,0.0,966.7,964.0,969.1,63,34,91,,,
21/01/16,5.8,82,E,19.1,121,ESE,23.8,121,ESE,26.1,16.2,32.0,0.0,966.9,964.3,969.4,56,34,85,,,
21/01/17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/01/18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/01/19,9.1,80,E,27.4,65,ENE,32.4,62,ENE,19.0,12.7,24.9,0.0,969.6,967.9,973.4,62,43,87,,,
21/01/20,5.9,83,E,18.4,72,ENE,24.1,233,SW,20.4,13.2,29.5,0.0,968.7,966.2,971.9,61,33,87,,,
21/01/21,6.4,81,E,18.7,67,ENE,23.8,73,ENE,21.4,14.1,29.6,0.0,967.6,965.4,970.3,55,31,83,,,
21/01/22,5.8,93,E,17.3,63,ENE,22.0,73,ENE,22.8,14.5,32.4,0.0,967.0,965.0,969.6,58,30,86,,,
21/01/23,5.8,89,E,20.2,63,ENE,24.1,62,ENE,23.9,16.6,31.2,0.0,965.3,962.3,969.3,64,39,87,,,
21/01/24,5.0,113,ESE,20.2,269,W,24.8,87,E,24.7,18.3,33.1,0.0,965.4,963.2,968.1,69,39,95,,,
21/01/25,4.7,109,ESE,20.5,92,E,24.5,87,E,24.9,18.5,33.1,0.0,965.3,963.4,968.0,69,41,95,,,
21/01/26,10.8,71,ENE,23.0,35,NE,33.1,51,NE,25.9,19.3,32.2,0.0,964.9,962.6,967.4,57,37,88,,,
21/01/27,9.2,84,E,24.8,55,NE,31.3,56,NE,25.5,17.7,32.1,0.0,966.0,963.3,967.8,57,39,87,,,
21/01/28,15.9,70,ENE,27.0,76,ENE,32.8,82,E,25.6,18.0,32.6,0.0,967.2,964.6,969.5,57,36,86,,,
21/01/29,16.4,70,ENE,34.2,67,ENE,44.6,65,ENE,23.1,18.1,29.1,0.0,968.2,965.9,971.0,62,46,80,,,
21/01/30,12.7,74,ENE,24.5,63,ENE,29.5,79,E,23.4,17.3,29.4,0.0,967.9,965.8,970.7,59,40,81,,,
21/01/31,9.7,77,ENE,23.4,72,ENE,27.4,68,ENE,24.1,17.3,31.0,0.0,968.2,966.0,970.8,58,40,81,,,

