date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,4.1,47,NE,18.7,45,NE,27.7,42,NE,22.2,15.8,29.1,0.0,993.7,990.5,996.7,66,45,86,,,
21/12/02,4.2,38,NE,15.5,48,NE,22.3,107,ESE,21.6,14.8,28.8,0.0,995.4,992.1,997.6,63,36,91,,,
21/12/03,4.5,41,NE,14.0,46,NE,25.2,39,NE,20.5,13.8,28.0,0.0,996.1,992.8,998.6,55,27,89,,,
21/12/04,5.3,35,NE,21.2,34,NE,29.9,101,E,20.4,12.9,28.1,0.0,995.6,992.1,998.8,52,0,82,,,
21/12/05,4.0,27,NNE,15.1,38,NE,23.4,73,ENE,21.1,13.5,28.6,0.0,994.5,991.5,998.4,55,30,82,,,
21/12/06,3.5,32,CALM,13.7,6,N,21.2,73,ENE,21.4,14.1,28.6,0.0,994.4,991.9,996.9,56,31,88,,,
21/12/07,4.1,28,NNE,14.4,43,NE,22.7,37,NE,21.4,14.5,28.5,0.0,994.4,991.7,997.2,53,25,86,,,
21/12/08,4.7,28,NNE,15.8,30,NNE,20.5,343,NNW,23.2,15.8,29.6,0.0,994.4,992.0,997.3,63,40,85,,,
21/12/09,4.9,39,NE,18.0,29,NNE,30.2,23,NNE,24.2,18.4,30.2,0.0,994.8,992.5,996.9,69,6,89,,,
21/12/10,4.1,37,NE,17.3,35,NE,25.9,135,SE,24.3,17.8,32.2,0.0,993.6,990.3,996.5,70,46,92,,,
21/12/11,4.3,39,NE,15.5,40,NE,21.2,37,NE,24.0,17.7,31.0,0.0,994.0,991.1,996.5,65,42,89,,,
21/12/12,4.6,44,NE,15.5,44,NE,23.4,146,SE,24.2,17.8,31.4,0.0,994.1,991.0,996.8,67,44,89,,,
21/12/13,3.5,33,CALM,13.3,45,NE,20.5,23,NNE,22.4,16.2,30.0,0.0,993.7,991.0,996.8,69,43,92,,,
21/12/14,5.0,11,N,16.9,27,NNE,24.5,6,N,23.0,16.6,29.1,0.0,991.7,988.9,994.9,64,45,89,,,
21/12/15,3.8,358,CALM,13.3,18,NNE,20.2,14,NNE,24.0,17.2,30.9,0.0,990.1,987.4,993.1,66,44,93,,,
21/12/16,3.5,356,CALM,13.0,15,NNE,19.1,31,NNE,25.3,19.0,33.0,0.0,990.3,987.5,992.6,60,38,82,,,
21/12/17,3.9,47,CALM,16.9,28,NNE,25.9,25,NNE,25.0,19.2,31.8,0.0,992.0,988.7,994.0,67,48,82,,,
21/12/18,5.8,31,NNE,15.1,32,NNE,24.8,20,NNE,22.9,15.4,30.5,0.0,993.6,990.1,995.9,63,44,83,,,
21/12/19,4.2,6,N,16.2,24,NNE,23.4,20,NNE,21.1,15.1,27.3,0.0,993.7,991.1,996.7,62,43,82,,,
21/12/20,2.7,341,CALM,13.0,26,NNE,20.2,37,NE,21.6,16.0,28.5,0.0,991.9,989.0,995.2,64,41,88,,,
21/12/21,2.7,12,CALM,10.1,10,N,14.0,11,N,23.9,16.2,29.9,0.0,991.6,989.4,994.3,62,43,88,,,
21/12/22,2.5,46,CALM,13.3,14,NNE,17.3,23,NNE,23.9,17.2,30.8,0.0,990.9,988.8,994.2,67,43,96,,,
21/12/23,2.2,59,CALM,9.4,134,SE,15.1,62,ENE,24.2,17.4,31.6,0.0,990.6,988.3,993.4,66,42,95,,,
21/12/24,2.3,58,CALM,11.9,44,NE,16.2,23,NNE,25.7,18.6,32.2,0.0,990.7,988.0,992.8,68,46,90,,,
21/12/25,3.0,45,CALM,13.7,126,SE,20.9,146,SE,24.8,20.4,31.4,0.0,992.7,990.1,995.0,75,52,90,,,
21/12/26,4.1,34,NE,13.0,83,E,22.7,45,NE,25.2,19.6,32.1,0.0,994.1,991.4,996.4,70,48,91,,,
21/12/27,4.1,48,NE,16.9,125,SE,24.5,124,SE,24.0,16.5,31.6,0.0,995.2,992.0,997.7,67,46,92,,,
21/12/28,4.0,48,NE,15.1,42,NE,22.7,76,ENE,23.9,16.9,30.1,0.0,994.8,991.8,998.4,64,45,88,,,
21/12/29,3.6,55,CALM,14.4,36,NE,23.8,31,NNE,24.7,18.9,32.2,0.0,994.9,992.0,997.3,67,46,88,,,
21/12/30,4.8,52,NE,15.5,49,NE,25.2,132,SE,24.0,18.0,31.1,0.0,996.3,993.0,999.1,65,46,86,,,
21/12/31,5.3,56,NE,18.7,40,NE,26.3,20,NNE,23.6,18.1,30.5,0.0,995.9,992.9,998.0,64,44,82,,,

