date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/09/01,5.2,217,SW,18.4,256,WSW,27.0,267,W,26.3,23.5,33.1,155.6,1007.1,1004.7,1009.1,92,60,100,,,
21/09/02,6.0,156,SSE,26.3,203,SSW,36.4,191,S,24.5,23.3,27.8,61.6,1007.5,1005.8,1009.9,99,88,100,,,
21/09/03,3.0,49,CALM,18.0,262,W,26.6,290,WNW,25.7,23.2,30.2,14.0,1006.8,1004.0,1009.5,92,58,100,,,
21/09/04,4.9,211,SSW,17.6,195,SSW,23.8,186,S,27.6,24.0,30.8,0.0,1006.7,1004.6,1008.4,89,72,100,,,
21/09/05,6.7,176,S,18.7,243,WSW,25.2,270,W,28.5,25.1,33.5,0.0,1007.5,1004.9,1009.2,83,57,100,,,
21/09/06,6.0,193,SSW,19.1,260,W,26.3,278,W,28.9,25.6,33.2,0.6,1007.8,1005.6,1009.5,83,60,100,,,
21/09/07,3.0,94,CALM,15.5,340,NNW,32.4,326,NW,26.0,24.1,31.2,35.4,1007.5,1005.6,1009.8,96,70,100,,,
21/09/08,6.7,191,S,20.2,239,WSW,28.4,259,W,25.7,23.8,30.4,91.6,1006.2,1003.6,1008.2,98,76,100,,,
21/09/09,9.4,195,SSW,21.6,214,SW,32.0,203,SSW,25.8,23.5,29.9,34.8,1006.6,1004.0,1008.8,95,75,100,,,
21/09/10,6.3,188,S,21.2,270,W,29.2,295,WNW,25.3,23.6,29.6,68.0,1007.1,1004.9,1009.1,99,85,100,,,
21/09/11,4.7,187,S,28.4,282,WNW,44.3,267,W,26.4,24.0,31.3,10.6,1006.6,1004.8,1008.1,95,74,100,,,
21/09/12,9.1,204,SSW,21.6,243,WSW,30.6,242,WSW,29.0,26.1,32.4,0.0,1005.8,1003.9,1007.5,84,68,100,,,
21/09/13,9.0,207,SSW,21.2,231,SW,31.0,262,W,29.0,26.8,32.7,0.0,1006.5,1004.6,1007.9,85,66,98,,,
21/09/14,4.2,71,ENE,20.9,211,SSW,29.5,222,SW,25.5,23.5,29.5,38.8,1007.8,1005.4,1009.6,97,79,100,,,
21/09/15,4.6,171,S,14.4,172,S,19.1,203,SSW,26.4,24.0,30.4,4.4,1007.3,1004.8,1009.4,92,72,100,,,
21/09/16,4.9,60,ENE,18.0,263,W,29.2,259,W,27.2,24.2,31.9,0.0,1007.0,1005.1,1008.9,89,65,100,,,
21/09/17,5.8,38,NE,19.8,237,WSW,25.2,264,W,27.6,23.2,33.0,0.0,1006.9,1005.0,1008.7,83,57,99,,,
21/09/18,4.5,57,ENE,18.7,270,W,23.0,276,W,28.1,23.6,33.0,0.0,1007.8,1005.7,1010.2,85,55,100,,,
21/09/19,4.7,33,NNE,15.1,263,W,20.5,312,NW,27.5,23.6,32.5,38.6,1007.6,1005.1,1009.6,89,67,100,,,
21/09/20,4.3,143,SE,20.9,272,W,30.6,287,WNW,25.9,23.6,31.6,84.2,1006.6,1005.0,1008.9,94,67,100,,,
21/09/21,7.9,200,SSW,21.2,194,SSW,34.9,180,S,25.4,23.7,27.6,50.0,1005.9,1003.9,1008.3,98,88,100,,,
21/09/22,7.0,200,SSW,24.5,253,WSW,38.9,245,WSW,25.5,23.7,27.4,48.0,1006.3,1004.5,1008.3,98,90,100,,,
21/09/23,5.5,58,ENE,19.8,273,W,30.2,231,SW,27.1,24.1,32.4,7.4,1007.1,1004.7,1009.1,90,66,100,,,
21/09/24,4.4,181,S,22.0,259,W,29.5,245,WSW,26.8,24.0,32.2,25.2,1006.9,1004.8,1009.4,92,69,100,,,
21/09/25,6.5,184,S,22.7,216,SW,28.8,208,SSW,25.3,24.0,27.4,16.0,1005.8,1004.1,1008.5,98,89,100,,,
21/09/26,3.7,127,CALM,12.2,171,S,17.3,203,SSW,24.9,23.2,26.9,20.6,1005.5,1003.6,1007.5,99,91,100,,,
21/09/27,4.4,77,ENE,21.2,194,SSW,29.9,203,SSW,26.1,23.4,30.9,18.4,1006.3,1003.9,1008.3,94,70,100,,,
21/09/28,4.0,67,ENE,15.1,266,W,20.2,250,WSW,27.2,23.8,32.6,21.0,1006.3,1003.5,1008.5,89,63,100,,,
21/09/29,4.3,77,ENE,15.8,260,W,21.2,37,NE,28.6,24.4,34.8,0.2,1005.4,1002.4,1007.6,87,56,100,,,
21/09/30,4.0,227,SW,12.6,272,W,16.6,248,WSW,28.5,25.0,33.9,0.0,1006.1,1002.9,1008.2,89,68,100,,,

