date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,5.5,86,E,19.1,84,E,28.8,82,E,27.4,24.6,32.0,0.2,1006.4,1004.0,1008.2,82,64,95,,,
21/12/02,5.3,64,ENE,15.5,89,E,22.7,101,E,27.1,24.8,32.2,3.2,1009.2,1006.7,1011.3,80,63,93,,,
21/12/03,6.4,36,NE,14.4,52,NE,27.0,20,NNE,28.4,24.8,32.9,0.0,1010.6,1007.8,1012.7,72,55,86,,,
21/12/04,6.7,44,NE,16.9,89,E,27.7,98,E,27.6,24.8,33.1,0.8,1010.0,1007.2,1013.3,70,53,91,,,
21/12/05,8.0,29,NNE,18.7,43,NE,31.3,48,NE,27.0,23.6,31.8,0.0,1009.5,1007.4,1012.1,65,49,78,,,
21/12/06,5.1,39,NE,16.2,82,E,21.6,37,NE,26.8,23.6,31.1,0.0,1009.2,1006.7,1011.5,71,52,85,,,
21/12/07,6.2,48,NE,14.4,89,E,23.0,37,NE,28.4,24.5,33.4,0.0,1009.2,1006.6,1011.5,69,50,86,,,
21/12/08,6.4,38,NE,18.0,82,E,26.6,121,ESE,28.6,24.8,33.6,0.0,1009.1,1006.7,1011.1,70,50,85,,,
21/12/09,6.2,44,NE,16.2,90,E,25.6,79,E,28.6,25.0,33.9,0.0,1009.6,1007.4,1011.7,68,47,87,,,
21/12/10,5.3,65,ENE,19.4,104,ESE,32.4,90,E,27.1,24.0,33.5,1.4,1009.9,1007.9,1011.6,78,54,90,,,
21/12/11,4.5,43,NE,15.1,83,E,18.7,118,ESE,28.2,23.4,33.8,0.8,1009.6,1006.8,1011.6,69,49,88,,,
21/12/12,5.5,47,NE,16.6,84,E,23.8,98,E,28.6,23.5,33.7,0.0,1009.0,1006.5,1011.7,65,45,86,,,
21/12/13,5.8,35,NE,15.1,82,E,23.4,82,E,28.5,25.7,33.4,0.0,1008.3,1005.9,1010.8,69,49,83,,,
21/12/14,7.1,37,NE,14.8,45,NE,22.7,70,ENE,29.1,25.6,33.7,0.0,1007.6,1004.9,1009.8,68,52,80,,,
21/12/15,4.9,15,NNE,14.0,62,ENE,22.7,65,ENE,29.1,25.0,34.1,0.0,1007.6,1004.7,1009.7,69,50,85,,,
21/12/16,3.7,340,CALM,15.1,49,NE,23.0,96,E,28.7,25.0,34.0,0.0,1008.0,1005.8,1009.9,69,43,88,,,
21/12/17,2.2,11,CALM,12.2,62,ENE,19.4,76,ENE,27.7,24.7,31.7,0.4,1007.7,1005.6,1009.7,75,52,92,,,
21/12/18,3.6,20,CALM,23.4,62,ENE,33.1,90,E,27.8,24.1,33.0,12.8,1007.6,1004.4,1009.8,78,56,96,,,
21/12/19,5.7,54,NE,14.0,87,E,26.6,56,NE,27.7,25.0,32.1,0.2,1009.1,1006.9,1010.8,76,59,93,,,
21/12/20,5.4,20,NNE,14.4,35,NE,24.5,23,NNE,26.3,22.7,32.4,12.4,1009.4,1007.0,1011.0,80,56,96,,,
21/12/21,2.9,6,CALM,12.2,79,E,18.7,312,NW,26.4,23.0,30.8,0.8,1009.8,1008.0,1011.6,79,57,96,,,
21/12/22,3.2,341,CALM,13.0,55,NE,20.2,82,E,27.1,23.9,33.0,0.0,1008.8,1006.9,1011.7,77,53,88,,,
21/12/23,3.0,336,CALM,12.2,83,E,16.9,323,NW,27.7,23.7,33.6,0.0,1008.5,1006.2,1011.0,74,53,92,,,
21/12/24,4.2,358,N,15.1,85,E,19.1,104,ESE,28.2,23.6,33.5,0.0,1008.3,1005.8,1010.3,73,51,92,,,
21/12/25,3.8,27,CALM,15.1,162,SSE,21.6,169,S,28.1,23.8,33.2,0.0,1009.2,1006.7,1011.0,74,53,92,,,
21/12/26,4.4,77,ENE,16.6,86,E,23.0,87,E,27.8,22.9,34.1,27.8,1010.2,1007.4,1012.1,77,53,97,,,
21/12/27,5.4,62,ENE,18.7,80,E,26.3,76,ENE,28.7,23.9,33.7,0.0,1010.3,1008.1,1013.2,72,52,94,,,
21/12/28,4.6,56,NE,14.8,91,E,20.5,113,ESE,28.9,25.4,34.2,0.2,1009.2,1006.7,1011.9,72,51,88,,,
21/12/29,5.4,57,ENE,18.0,98,E,28.1,141,SE,28.0,25.5,34.2,5.0,1009.2,1006.7,1011.1,77,53,91,,,
21/12/30,7.4,59,ENE,19.8,86,E,30.6,84,E,28.4,25.5,32.0,0.4,1009.8,1007.3,1011.9,70,59,84,,,
21/12/31,6.1,49,NE,16.9,79,E,24.1,53,NE,28.5,26.0,32.6,0.0,1010.1,1008.0,1012.1,69,55,79,,,

