date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/01/01,7.6,36,NE,26.3,31,NNE,38.2,51,NE,17.9,12.8,25.5,0.0,1000.2,997.7,1003.0,60,40,79,,,
21/01/02,5.0,28,NNE,17.6,63,ENE,23.4,82,E,19.6,13.0,26.7,0.0,998.1,996.1,1001.6,61,40,82,,,
21/01/03,5.8,35,NE,14.4,99,E,23.4,23,NNE,21.7,14.5,29.7,0.0,997.3,994.7,999.5,63,41,81,,,
21/01/04,5.6,36,NE,15.8,44,NE,23.4,31,NNE,22.5,0.0,29.2,0.0,997.1,994.7,1000.3,62,0,80,,,
21/01/05,4.6,36,NE,12.6,56,NE,19.4,349,N,23.7,17.0,31.1,0.0,996.2,994.4,999.0,64,42,82,,,
21/01/06,4.5,47,NE,16.2,91,E,24.5,76,ENE,23.5,17.7,30.7,0.0,994.7,992.6,997.9,67,44,87,,,
21/01/07,6.1,55,NE,14.0,111,ESE,23.8,68,ENE,23.5,17.7,31.0,0.0,994.8,991.9,997.2,65,45,87,,,
21/01/08,8.1,56,NE,22.3,65,ENE,32.8,98,E,19.8,13.2,28.1,0.0,997.4,994.2,999.8,60,41,75,,,
21/01/09,5.4,48,NE,18.4,105,ESE,29.5,101,E,18.2,12.4,24.8,0.0,997.7,995.0,1001.0,61,41,81,,,
21/01/10,6.3,48,NE,16.9,56,NE,27.0,87,E,19.0,12.5,26.6,0.0,997.7,994.6,1000.3,62,41,81,,,
21/01/11,9.4,48,NE,21.2,65,ENE,33.1,62,ENE,16.7,11.4,24.3,0.0,1001.7,998.2,1004.5,53,40,78,,,
21/01/12,5.9,33,NNE,16.9,55,NE,28.4,48,NE,15.8,10.3,22.0,0.0,1000.7,998.2,1005.7,51,33,71,,,
21/01/13,2.3,19,CALM,11.9,78,ENE,19.1,110,ESE,18.0,10.4,25.6,0.0,997.2,995.2,1001.4,57,31,83,,,
21/01/14,2.2,58,CALM,12.2,305,NW,18.7,250,WSW,20.9,13.3,29.6,0.0,995.0,993.1,998.2,61,32,88,,,
21/01/15,2.6,92,CALM,11.2,76,ENE,16.6,76,ENE,23.0,15.2,31.6,0.0,993.2,990.6,996.4,63,32,89,,,
21/01/16,4.1,87,E,15.5,95,E,23.4,62,ENE,23.9,17.1,31.7,0.0,994.1,991.3,998.0,63,37,89,,,
21/01/17,8.1,50,NE,19.8,52,NE,34.6,8,N,21.4,13.5,29.9,0.0,999.6,996.1,1002.6,58,39,79,,,
21/01/18,6.4,41,NE,19.8,100,E,29.9,84,E,18.1,12.5,25.8,0.0,999.4,996.9,1004.0,58,38,79,,,
21/01/19,2.8,50,CALM,11.9,8,N,21.6,87,E,19.2,12.9,27.0,0.0,997.0,994.7,1000.7,61,36,89,,,
21/01/20,2.0,46,CALM,12.2,321,NW,18.0,62,ENE,21.1,13.7,29.8,0.0,995.5,992.9,999.0,63,33,91,,,
21/01/21,1.9,83,CALM,12.2,68,ENE,19.1,84,E,22.8,14.7,31.0,0.0,993.9,991.7,997.2,63,34,91,,,
21/01/22,2.4,65,CALM,13.0,69,ENE,18.4,98,E,23.0,16.8,32.2,0.0,993.5,991.4,996.5,63,27,92,,,
21/01/23,3.2,101,CALM,13.3,65,ENE,20.2,39,NE,24.0,17.5,32.4,0.0,993.6,991.2,996.5,58,29,87,,,
21/01/24,2.1,131,CALM,10.8,182,S,14.4,186,S,24.9,18.7,33.4,0.0,993.7,991.8,997.2,63,35,87,,,
21/01/25,2.7,25,CALM,10.1,340,NNW,16.6,96,E,25.7,19.0,33.8,0.0,993.8,991.8,996.5,61,35,85,,,
21/01/26,4.9,66,ENE,17.3,67,ENE,28.1,90,E,25.1,18.4,33.2,0.0,994.1,991.5,997.0,58,34,84,,,
21/01/27,3.2,45,CALM,16.2,64,ENE,22.0,53,NE,25.1,18.5,32.6,0.0,994.7,991.8,996.9,62,36,87,,,
21/01/28,7.4,53,NE,18.7,68,ENE,32.4,59,ENE,24.5,18.3,32.0,0.0,997.0,993.8,999.2,59,39,87,,,
21/01/29,5.9,47,NE,19.8,65,ENE,27.4,17,NNE,22.9,16.7,30.0,0.0,997.7,994.9,1000.8,60,38,84,,,
21/01/30,4.7,37,NE,14.8,71,ENE,27.4,76,ENE,23.4,16.9,30.7,0.0,997.0,994.5,1000.2,59,35,83,,,
21/01/31,3.6,62,CALM,18.4,107,ESE,22.7,118,ESE,24.4,18.2,31.3,0.0,997.1,994.8,999.9,63,39,86,,,

