date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/08/01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/02,5.4,234,SW,22.3,243,WSW,33.1,236,SW,30.1,27.6,33.3,0.0,987.8,985.9,989.3,71,61,83,,,
21/08/03,6.2,229,SW,19.1,253,WSW,32.0,262,W,29.7,26.2,34.9,0.0,988.9,986.2,990.3,75,57,88,,,
21/08/04,4.5,229,SW,18.7,249,WSW,27.0,250,WSW,29.8,26.5,34.5,0.0,988.9,986.8,990.9,76,57,88,,,
21/08/05,5.0,229,SW,19.4,213,SSW,29.9,253,WSW,30.3,26.0,35.0,0.0,989.0,986.4,990.5,74,57,90,,,
21/08/06,3.9,224,SW,19.8,248,WSW,29.2,270,W,30.3,27.0,35.4,0.0,990.0,987.7,991.9,76,58,89,,,
21/08/07,3.2,228,CALM,17.3,249,WSW,26.6,245,WSW,31.0,27.3,36.0,0.0,990.5,988.5,992.7,73,53,89,,,
21/08/08,2.4,221,CALM,15.1,237,WSW,24.5,186,S,31.1,27.1,35.5,0.0,990.2,988.0,992.6,75,57,91,,,
21/08/09,4.1,209,SSW,19.1,257,WSW,27.4,270,W,31.6,27.8,36.4,0.0,988.8,986.4,991.3,74,54,89,,,
21/08/10,3.9,210,SSW,17.3,243,WSW,25.9,239,WSW,30.4,26.5,34.9,0.0,988.9,985.7,991.7,78,62,88,,,
21/08/11,3.2,206,CALM,14.8,229,SW,25.9,242,WSW,27.7,25.0,33.2,3.0,992.3,989.2,994.8,88,67,98,,,
21/08/12,3.0,205,CALM,15.1,234,SW,25.6,228,SW,28.5,24.8,33.8,18.2,993.0,991.0,995.6,85,64,100,,,
21/08/13,3.4,197,CALM,16.2,246,WSW,26.6,245,WSW,27.1,24.2,33.7,9.2,990.6,987.7,993.5,90,65,100,,,
21/08/14,3.8,206,CALM,13.3,229,SW,22.3,228,SW,27.7,25.1,32.8,0.2,990.7,987.7,992.9,86,66,98,,,
21/08/15,3.7,198,CALM,22.0,237,WSW,33.8,239,WSW,27.4,24.1,32.9,2.2,994.1,990.7,996.8,86,64,98,,,
21/08/16,1.4,223,CALM,14.4,250,WSW,19.8,253,WSW,28.9,25.4,34.2,0.2,996.0,993.3,997.9,81,57,98,,,
21/08/17,0.9,266,CALM,14.4,10,N,22.3,34,NE,30.2,25.9,35.7,0.0,993.9,991.7,996.8,78,55,98,,,
21/08/18,2.6,227,CALM,15.8,240,WSW,23.0,273,W,30.9,26.3,36.2,0.0,991.6,988.6,995.1,72,51,92,,,
21/08/19,3.5,201,CALM,13.7,237,WSW,21.2,233,SW,29.0,25.0,35.5,2.4,992.3,988.7,994.7,79,55,96,,,
21/08/20,0.9,240,CALM,8.6,72,ENE,14.8,298,WNW,29.0,25.5,34.5,0.2,993.0,990.4,994.8,84,62,98,,,
21/08/21,2.3,222,CALM,18.4,217,SW,28.4,225,SW,28.2,24.4,34.7,4.4,992.6,990.4,995.6,86,60,99,,,
21/08/22,2.4,211,CALM,14.8,254,WSW,21.2,250,WSW,30.2,26.2,35.0,0.2,990.8,988.4,993.3,78,59,94,,,
21/08/23,2.4,190,CALM,19.4,135,SE,24.8,135,SE,26.3,23.6,33.4,34.2,990.5,987.8,992.7,93,66,100,,,
21/08/24,0.0,106,CALM,0.0,175,CALM,0.0,253,CALM,26.1,25.6,26.6,0.0,991.3,990.9,991.5,90,86,91,,,
21/08/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/30,2.3,74,CALM,14.4,46,NE,21.6,42,NE,27.9,25.5,32.9,0.0,992.7,990.3,994.7,86,63,97,,,
21/08/31,2.4,67,CALM,14.0,84,E,22.0,87,E,27.3,24.9,33.7,0.4,993.3,990.7,995.1,90,66,99,,,

