date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/10/01,3.1,180,CALM,13.3,184,S,16.9,174,S,27.2,23.9,32.4,0.0,994.0,990.8,996.2,88,68,99,,,
21/10/02,2.8,153,CALM,10.4,104,ESE,14.0,87,E,27.8,24.3,33.4,0.0,994.1,990.8,996.9,85,59,98,,,
21/10/03,2.2,334,CALM,9.7,96,E,13.0,101,E,27.6,23.5,33.0,0.0,993.5,991.0,996.2,85,60,99,,,
21/10/04,3.5,348,CALM,16.2,72,ENE,28.1,82,E,27.0,23.7,33.4,0.2,992.6,990.1,995.6,85,58,98,,,
21/10/05,4.5,7,N,18.4,10,N,29.5,338,NNW,27.4,24.2,33.8,6.6,991.3,988.6,994.2,85,56,98,,,
21/10/06,3.1,10,CALM,14.8,347,NNW,23.4,-,,26.1,22.5,28.2,11.4,990.1,987.7,993.2,92,81,99,,,
21/10/07,2.0,261,CALM,6.8,274,W,13.3,287,WNW,24.8,22.8,25.8,2.8,988.9,987.2,991.4,97,93,100,,,
21/10/08,3.2,237,CALM,20.5,288,WNW,32.8,276,W,26.5,23.0,31.1,12.6,989.2,987.2,990.9,92,73,100,,,
21/10/09,4.6,208,SSW,15.1,238,WSW,24.1,245,WSW,27.7,24.0,33.2,0.2,989.6,987.2,991.8,87,63,100,,,
21/10/10,4.6,175,S,15.5,193,SSW,21.2,203,SSW,27.7,24.6,32.7,0.0,989.3,986.6,991.7,84,62,98,,,
21/10/11,2.8,211,CALM,12.2,249,WSW,15.8,135,SE,27.6,24.2,31.8,0.0,989.6,987.0,991.9,88,67,99,,,
21/10/12,3.8,8,CALM,12.6,24,NNE,22.0,11,N,26.8,22.4,32.6,4.0,989.7,986.8,991.8,83,64,97,,,
21/10/13,3.1,83,CALM,11.5,298,WNW,17.6,17,NNE,25.6,23.5,28.8,0.0,988.4,986.4,991.5,84,64,96,,,
21/10/14,3.5,136,CALM,14.8,237,WSW,20.9,326,NW,25.4,24.2,28.7,13.4,989.5,986.6,991.8,94,79,100,,,
21/10/15,3.2,125,CALM,15.5,185,S,24.8,211,SSW,25.0,23.2,29.0,81.0,992.0,989.0,994.1,97,80,100,,,
21/10/16,5.1,355,N,14.8,6,N,25.9,346,NNW,24.8,20.9,30.4,13.0,993.9,990.9,995.9,93,72,100,,,
21/10/17,4.8,347,NNW,15.8,2,N,27.0,287,WNW,21.0,20.0,22.2,18.4,994.8,991.5,996.7,98,92,100,,,
21/10/18,3.3,348,CALM,10.8,360,N,17.3,20,NNE,24.8,22.2,28.9,4.6,997.1,994.4,999.3,92,78,100,,,
21/10/19,2.5,23,CALM,10.8,103,ESE,15.8,79,E,26.9,22.8,32.6,0.0,998.4,996.2,1000.9,87,63,100,,,
21/10/20,3.1,178,CALM,14.4,103,ESE,21.6,104,ESE,27.1,23.7,33.1,4.8,997.6,994.9,1000.7,88,62,100,,,
21/10/21,2.9,309,CALM,15.5,97,E,24.1,115,ESE,27.5,23.2,33.6,3.2,996.9,993.8,999.4,85,60,100,,,
21/10/22,6.1,15,NNE,14.8,33,NNE,24.8,14,NNE,25.9,21.9,31.6,0.0,998.5,995.5,1000.4,81,66,98,,,
21/10/23,7.2,21,NNE,16.2,27,NNE,25.2,42,NE,24.7,21.1,30.2,0.0,999.6,997.8,1001.7,78,61,90,,,
21/10/24,7.2,18,NNE,16.9,18,NNE,26.6,28,NNE,23.8,20.4,28.3,0.0,998.7,997.0,1000.5,80,68,89,,,
21/10/25,7.1,11,N,16.6,4,N,26.3,28,NNE,24.2,19.8,30.0,0.0,997.0,995.1,999.7,78,60,93,,,
21/10/26,6.9,5,N,15.1,1,N,25.6,42,NE,25.0,20.8,31.0,0.0,996.0,993.5,998.3,78,60,89,,,
21/10/27,7.5,10,N,19.1,356,N,29.9,25,NNE,24.8,21.8,29.8,0.0,995.2,993.3,997.7,81,66,95,,,
21/10/28,2.9,73,CALM,17.3,97,E,20.5,93,E,25.4,22.9,31.4,1.2,996.8,994.1,998.9,91,62,100,,,
21/10/29,2.7,10,CALM,10.4,191,S,16.6,340,NNW,27.0,23.2,33.5,4.8,997.9,995.3,1000.4,85,58,100,,,
21/10/30,2.8,331,CALM,11.5,182,S,18.4,118,ESE,26.5,23.2,33.3,0.4,997.8,994.9,1000.3,88,60,100,,,
21/10/31,2.6,4,CALM,15.1,148,SSE,23.4,146,SE,26.2,23.3,32.5,0.0,998.0,995.4,1000.2,89,59,99,,,

