date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/11/01,4.7,27,NNE,15.1,24,NNE,22.3,343,NNW,27.4,22.8,33.1,0.2,998.2,995.4,1000.9,80,57,96,19968,10998,20000
21/11/02,6.4,40,NE,15.8,48,NE,20.9,45,NE,27.4,22.6,33.2,0.0,998.0,995.3,1000.5,78,56,94,19926,10537,20000
21/11/03,6.2,38,NE,15.8,57,ENE,21.2,37,NE,27.4,22.6,33.4,0.0,997.3,994.7,1000.1,73,47,94,19922,5693,20000
21/11/04,3.2,6,CALM,10.8,21,NNE,15.8,293,WNW,27.7,23.4,32.7,0.0,996.7,994.5,999.3,78,56,95,19406,9699,20000
21/11/05,3.5,20,CALM,15.8,7,N,20.2,14,NNE,28.5,24.1,33.9,0.0,994.4,992.3,998.0,74,52,94,19486,7509,20000
21/11/06,3.3,160,CALM,18.0,358,N,25.9,11,N,28.8,24.3,34.5,0.0,993.2,990.7,995.7,77,51,97,18463,5847,20000
21/11/07,7.1,47,NE,16.6,24,NNE,25.2,17,NNE,28.1,23.2,34.6,0.0,994.3,991.6,997.1,75,55,97,18945,1229,20000
21/11/08,13.5,43,NE,27.0,37,NE,41.4,56,NE,24.8,19.8,31.7,0.0,997.5,994.4,999.8,73,59,86,19981,14139,20000
21/11/09,12.7,31,NNE,23.4,28,NNE,34.2,354,N,23.2,19.1,29.4,0.0,999.0,996.7,1001.4,74,58,87,19966,14488,20000
21/11/10,12.1,26,NNE,25.2,23,NNE,32.8,20,NNE,22.6,17.9,29.0,0.0,998.8,996.5,1001.7,74,57,89,19977,5708,20000
21/11/11,8.8,23,NNE,18.4,15,NNE,23.0,14,NNE,24.3,18.8,29.7,0.0,998.1,995.4,1000.3,73,57,89,19860,11788,20000
21/11/12,11.9,34,NE,21.6,42,NE,31.7,31,NNE,24.4,20.8,28.5,0.0,998.2,996.3,999.8,77,64,87,19963,2405,20000
21/11/13,11.7,37,NE,25.6,40,NE,32.0,20,NNE,23.4,20.2,28.1,0.0,998.7,996.2,1000.3,74,62,83,19855,15448,20000
21/11/14,9.4,27,NNE,21.6,26,NNE,28.4,17,NNE,24.0,19.9,29.5,0.0,997.9,995.8,1000.1,76,58,93,19908,15547,20000
21/11/15,7.5,34,NE,19.1,27,NNE,30.2,11,N,26.0,20.6,32.3,0.0,996.2,993.8,998.7,75,55,92,19874,11480,20000
21/11/16,7.0,41,NE,18.0,18,NNE,23.8,23,NNE,26.5,21.7,31.7,0.0,996.7,994.3,998.3,76,57,94,19732,10953,20000
21/11/17,9.3,36,NE,20.9,30,NNE,31.0,14,NNE,26.6,22.1,31.2,0.0,997.0,995.0,998.9,77,61,93,19935,10292,20000
21/11/18,10.4,35,NE,22.7,30,NNE,34.2,23,NNE,26.0,21.3,31.7,0.0,995.6,992.9,998.2,76,59,90,19980,11868,20000
21/11/19,2.5,24,CALM,11.9,24,NNE,16.9,20,NNE,27.3,22.1,32.9,0.0,993.7,991.2,997.6,75,54,93,19142,6935,20000
21/11/20,3.2,55,CALM,13.7,20,NNE,18.7,329,NNW,28.0,22.8,34.0,0.0,994.2,991.4,996.5,73,49,95,19427,7777,20000
21/11/21,4.5,37,NE,11.5,33,NNE,15.1,14,NNE,27.8,22.0,34.1,0.0,995.5,992.9,997.4,73,51,95,19378,8274,20000
21/11/22,10.0,46,NE,21.6,30,NNE,27.7,28,NNE,27.3,22.0,33.9,0.0,996.7,993.6,998.8,70,49,93,19931,11618,20000
21/11/23,14.5,40,NE,24.5,33,NNE,33.8,20,NNE,23.8,19.0,29.8,0.0,999.0,996.5,1000.6,70,54,81,19999,19476,20000
21/11/24,13.3,32,NNE,25.9,34,NE,34.6,53,NE,22.9,18.4,29.5,0.0,999.5,996.8,1001.5,71,54,84,19976,3969,20000
21/11/25,11.6,30,NNE,24.5,25,NNE,31.7,17,NNE,23.0,18.2,29.9,0.0,999.1,996.3,1001.5,73,53,90,19810,1677,20000
21/11/26,12.0,36,NE,24.5,45,NE,34.2,357,N,22.6,18.2,29.1,0.0,999.3,996.3,1001.3,73,57,90,19749,3379,20000
21/11/27,15.8,35,NE,26.3,19,NNE,35.3,11,N,23.3,18.8,29.3,0.0,999.2,996.8,1001.3,70,54,83,18711,10209,20000
21/11/28,16.4,30,NNE,28.8,36,NE,43.9,53,NE,23.5,19.3,29.1,0.0,998.4,996.2,1000.8,72,57,82,18767,6508,20000
21/11/29,15.0,34,NE,28.1,47,NE,37.8,31,NNE,23.4,19.9,27.5,0.0,998.1,996.3,1000.6,71,61,81,18343,12858,20000
21/11/30,16.1,38,NE,29.2,51,NE,40.0,39,NE,23.4,19.5,28.3,0.0,999.0,996.4,1000.9,66,54,77,18370,13891,20000

