date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/01/01,2.3,164,CALM,18.4,94,E,22.7,76,ENE,16.6,9.0,25.7,0.0,988.1,984.9,991.5,67,36,95,,,
21/01/02,0.8,245,CALM,11.5,140,SE,16.6,248,WSW,16.2,9.0,25.6,0.0,986.3,983.7,990.4,71,35,97,,,
21/01/03,1.2,249,CALM,11.5,190,S,16.2,335,NNW,18.4,9.2,29.5,0.0,985.3,982.0,987.9,70,32,98,,,
21/01/04,1.7,157,CALM,13.0,170,S,17.6,174,S,20.6,12.1,29.4,0.0,985.2,982.6,989.0,73,41,97,,,
21/01/05,1.7,242,CALM,10.4,185,S,13.0,172,S,22.8,14.7,31.8,0.0,983.9,981.4,987.2,72,40,97,,,
21/01/06,1.5,170,CALM,13.3,157,SSE,18.4,90,E,22.6,16.5,31.4,0.0,982.4,979.8,986.1,74,42,97,,,
21/01/07,2.3,116,CALM,12.2,104,ESE,16.9,107,ESE,23.6,16.7,32.0,0.0,982.1,978.7,984.8,70,41,97,,,
21/01/08,5.5,116,ESE,18.4,161,SSE,24.5,82,E,22.3,13.9,29.0,0.0,984.3,981.1,987.1,61,43,86,,,
21/01/09,4.1,147,SSE,16.6,91,E,24.5,51,NE,19.0,12.5,26.4,0.0,984.9,981.8,988.3,66,39,93,,,
21/01/10,3.2,135,CALM,16.9,21,NNE,29.9,51,NE,19.1,12.6,27.0,0.0,985.0,981.4,988.1,67,39,93,,,
21/01/11,8.7,115,ESE,23.8,88,E,33.5,93,E,19.3,13.0,25.8,0.0,988.7,984.8,991.7,52,42,89,,,
21/01/12,4.5,327,NNW,15.5,305,NW,20.5,307,NW,15.0,10.8,19.1,0.0,988.7,986.4,993.7,64,41,91,,,
21/01/13,2.3,316,CALM,10.8,308,NW,18.4,11,N,16.8,10.3,26.2,0.0,984.5,981.8,988.6,68,32,96,,,
21/01/14,1.9,325,CALM,12.2,59,ENE,16.2,17,NNE,19.4,10.4,28.8,0.0,982.4,979.7,986.2,68,34,96,,,
21/01/15,0.8,280,CALM,11.5,188,S,14.4,197,SSW,20.0,12.1,30.3,0.0,980.8,977.5,984.2,69,29,97,,,
21/01/16,0.7,279,CALM,10.4,169,S,13.0,14,NNE,21.8,13.6,31.6,0.0,981.3,977.7,985.6,69,32,95,,,
21/01/17,3.0,145,CALM,16.9,132,SE,22.3,84,E,20.1,12.0,27.0,0.0,987.5,984.2,990.5,68,46,94,,,
21/01/18,3.1,171,CALM,15.5,186,S,20.2,191,S,18.0,11.8,27.0,0.0,986.7,983.7,991.6,66,34,95,,,
21/01/19,1.7,198,CALM,13.3,119,ESE,16.9,129,SE,17.6,10.5,27.7,0.0,984.7,981.6,988.7,67,31,96,,,
21/01/20,1.5,284,CALM,11.5,33,NNE,15.5,39,NE,18.3,10.4,28.7,0.0,983.1,980.1,986.4,68,29,96,,,
21/01/21,1.5,254,CALM,10.8,155,SSE,16.9,76,ENE,19.7,10.9,30.7,0.0,981.8,978.8,985.0,68,30,96,,,
21/01/22,1.2,290,CALM,9.7,57,ENE,15.5,25,NNE,20.6,12.0,31.8,0.0,981.2,978.1,984.5,66,27,96,,,
21/01/23,1.8,183,CALM,16.9,152,SSE,19.4,146,SE,21.4,12.6,32.8,0.0,982.4,979.0,985.9,65,24,95,,,
21/01/24,2.1,274,CALM,13.3,165,SSE,17.3,174,S,22.9,14.3,33.8,0.0,982.6,979.7,985.8,68,31,96,,,
21/01/25,2.5,342,CALM,12.2,7,N,18.0,17,NNE,22.9,15.0,33.7,0.0,982.7,980.2,985.6,67,30,96,,,
21/01/26,2.9,168,CALM,13.7,166,SSE,18.0,115,ESE,23.2,15.1,32.8,0.0,982.9,980.0,986.2,68,36,96,,,
21/01/27,2.1,178,CALM,13.7,184,S,19.1,180,S,23.6,15.7,33.0,0.0,983.7,980.3,986.2,69,33,96,,,
21/01/28,4.2,97,E,21.6,102,ESE,29.9,87,E,24.9,16.4,32.9,0.0,985.6,982.3,988.2,61,37,96,,,
21/01/29,4.0,150,SSE,18.4,112,ESE,23.8,87,E,22.2,15.8,30.0,0.0,986.4,983.5,990.1,66,37,92,,,
21/01/30,2.0,180,CALM,13.3,97,E,19.8,96,E,21.1,14.6,28.6,0.0,986.4,983.6,989.6,69,40,94,,,
21/01/31,2.5,137,CALM,16.9,106,ESE,24.5,104,ESE,22.3,14.6,30.5,0.0,986.3,983.6,989.5,68,38,95,,,

