date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/11/01,3.8,75,CALM,14.8,108,ESE,19.8,76,ENE,27.1,23.6,32.3,0.0,991.8,989.1,994.2,71,45,93,,,
21/11/02,5.1,74,ENE,21.6,94,E,29.9,90,E,27.2,21.9,32.6,0.0,991.7,988.8,994.2,69,44,100,,,
21/11/03,2.4,84,CALM,14.4,81,E,20.5,79,E,26.4,21.4,33.1,0.0,990.9,988.1,994.0,73,39,100,,,
21/11/04,2.6,319,CALM,11.5,4,N,16.9,11,N,26.3,21.1,33.6,0.0,990.0,987.4,993.3,73,38,100,,,
21/11/05,3.3,275,CALM,11.2,286,WNW,18.0,349,N,26.8,21.5,34.1,0.0,987.7,985.5,991.4,72,36,99,,,
21/11/06,2.8,238,CALM,15.5,247,WSW,19.4,248,WSW,26.6,21.5,34.0,0.0,986.4,984.2,988.9,71,34,99,,,
21/11/07,2.5,69,CALM,12.2,89,E,16.6,110,ESE,27.8,22.9,34.8,0.0,987.9,985.5,991.2,68,36,97,,,
21/11/08,8.4,78,ENE,22.7,82,E,30.2,96,E,26.0,20.4,32.3,0.0,991.3,988.4,993.8,57,43,81,,,
21/11/09,4.9,81,E,14.8,81,E,20.2,90,E,24.4,19.3,30.2,0.0,992.9,990.6,995.3,60,38,83,,,
21/11/10,4.0,62,ENE,18.0,97,E,27.4,110,ESE,23.4,18.5,29.5,0.0,992.8,990.7,995.8,63,36,96,,,
21/11/11,3.6,58,CALM,13.7,22,NNE,21.6,59,ENE,24.3,19.4,30.5,0.0,991.9,988.5,994.6,64,36,93,,,
21/11/12,5.3,61,ENE,15.8,90,E,23.0,323,NW,24.6,19.3,30.8,0.0,992.6,989.9,994.8,60,38,83,,,
21/11/13,4.9,71,ENE,14.8,81,E,19.8,65,ENE,24.8,19.7,30.3,0.0,992.4,989.8,994.9,57,37,82,,,
21/11/14,3.3,59,CALM,14.8,91,E,21.6,28,NNE,24.2,19.5,29.9,0.0,991.8,989.8,994.2,65,38,97,,,
21/11/15,3.5,63,CALM,16.6,77,ENE,22.0,90,E,25.8,21.2,31.3,0.0,990.0,987.7,992.2,64,41,96,,,
21/11/16,3.1,71,CALM,15.1,87,E,20.2,84,E,25.6,21.0,31.6,0.0,990.6,988.3,992.4,71,43,97,,,
21/11/17,3.0,61,CALM,11.2,26,NNE,17.6,28,NNE,26.4,21.5,32.2,0.0,991.0,988.9,993.2,68,42,95,,,
21/11/18,3.5,71,CALM,14.0,329,NNW,18.7,318,NW,26.3,21.0,32.7,0.0,989.1,986.7,992.2,66,38,96,,,
21/11/19,2.7,276,CALM,13.7,270,W,16.9,239,WSW,25.9,21.1,32.7,0.0,986.9,984.3,991.2,72,41,99,,,
21/11/20,2.6,162,CALM,15.1,283,WNW,20.9,284,WNW,27.3,21.9,34.8,0.0,987.1,984.4,989.5,69,36,98,,,
21/11/21,2.2,68,CALM,10.8,291,WNW,14.8,318,NW,27.2,21.3,35.2,0.0,988.7,986.0,990.8,67,32,97,,,
21/11/22,5.8,75,ENE,17.6,80,E,25.9,76,ENE,26.4,19.8,33.7,0.0,990.5,987.7,992.7,59,35,89,,,
21/11/23,6.3,72,ENE,19.1,82,E,24.1,90,E,24.0,17.0,30.3,0.0,993.0,990.0,995.3,57,38,84,,,
21/11/24,4.9,69,ENE,15.5,73,ENE,23.4,87,E,23.3,18.4,28.8,0.0,993.7,991.0,996.2,57,39,78,,,
21/11/25,4.5,59,ENE,13.7,93,E,20.5,25,NNE,23.9,17.5,29.9,0.0,993.1,990.4,995.6,58,37,88,,,
21/11/26,4.3,79,E,14.8,297,WNW,23.4,14,NNE,23.2,16.6,29.8,0.0,993.5,990.2,995.3,61,38,94,,,
21/11/27,3.9,53,CALM,15.1,5,N,22.7,11,N,22.5,16.2,29.1,0.0,994.1,991.5,996.3,57,34,93,,,
21/11/28,4.8,19,NNE,17.6,21,NNE,29.2,17,NNE,22.6,16.9,29.7,0.0,993.2,990.6,996.1,56,31,86,,,
21/11/29,3.8,42,CALM,16.9,81,E,24.5,352,N,23.5,16.9,30.7,0.0,992.3,989.3,995.2,56,31,84,,,
21/11/30,5.2,63,ENE,18.4,86,E,26.6,70,ENE,22.7,15.2,29.8,0.0,993.8,991.0,995.9,53,31,88,,,

