date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/10/01,2.9,234,CALM,18.7,312,NW,29.9,312,NW,26.4,24.3,32.0,0.6,989.4,986.2,991.5,90,71,99,,,
21/10/02,3.2,195,CALM,13.0,129,SE,22.3,93,E,27.4,23.0,33.2,2.2,989.2,985.7,991.8,84,55,100,,,
21/10/03,3.1,170,CALM,12.6,149,SSE,18.4,163,SSE,27.0,22.4,31.9,0.0,989.4,986.6,991.7,81,53,99,,,
21/10/04,3.1,54,CALM,14.4,93,E,26.6,59,ENE,27.4,23.3,32.6,0.2,989.1,986.5,991.6,76,51,98,,,
21/10/05,3.8,354,CALM,17.6,17,NNE,25.9,51,NE,27.0,23.3,32.8,1.8,988.0,985.6,990.6,82,56,100,,,
21/10/06,4.0,298,WNW,16.9,33,NNE,25.6,28,NNE,25.7,22.6,32.0,1.8,986.2,983.7,989.3,88,61,100,,,
21/10/07,3.9,285,WNW,15.5,296,WNW,19.1,17,NNE,26.5,23.7,30.5,0.2,984.3,982.7,986.8,82,60,95,,,
21/10/08,3.8,287,CALM,14.8,311,NW,23.0,352,N,27.7,23.9,32.4,0.0,984.3,982.5,985.8,79,53,98,,,
21/10/09,4.2,246,WSW,15.8,292,WNW,21.2,312,NW,28.9,25.1,33.7,0.0,983.9,981.8,986.3,77,53,95,,,
21/10/10,5.8,183,S,18.4,312,NW,28.1,17,NNE,27.0,23.0,33.5,87.8,983.5,980.1,986.0,86,60,100,,,
21/10/11,2.3,129,CALM,10.8,169,S,16.6,127,SE,24.9,23.4,26.5,3.0,985.5,983.0,987.1,96,88,100,,,
21/10/12,4.2,130,SE,13.7,142,SE,22.0,135,SE,26.3,21.8,31.6,0.2,985.5,983.0,987.7,81,61,100,,,
21/10/13,3.7,280,CALM,17.6,288,WNW,22.0,301,WNW,25.2,22.2,30.1,45.6,983.6,981.7,987.1,84,57,100,,,
21/10/14,3.1,106,CALM,9.7,303,WNW,15.8,101,E,22.9,21.9,25.9,16.4,985.1,982.5,987.1,97,81,100,,,
21/10/15,3.6,107,CALM,15.1,117,ESE,24.8,37,NE,24.3,22.1,27.8,36.6,987.7,984.8,990.1,95,79,100,,,
21/10/16,5.7,61,ENE,18.0,47,NE,30.2,25,NNE,24.9,22.0,28.6,0.6,990.8,988.1,992.8,78,66,100,,,
21/10/17,3.9,38,CALM,14.8,29,NNE,20.9,39,NE,22.5,20.9,24.7,1.2,991.7,989.1,993.3,81,71,97,,,
21/10/18,3.8,121,CALM,13.0,24,NNE,22.0,65,ENE,25.0,21.3,29.7,0.0,993.3,990.7,995.4,78,60,96,,,
21/10/19,2.1,154,CALM,10.1,153,SSE,14.0,138,SE,25.8,21.8,30.3,0.0,994.6,992.4,996.8,84,65,98,,,
21/10/20,2.7,163,CALM,12.2,164,SSE,15.8,152,SSE,27.4,23.0,32.0,0.0,992.9,990.7,996.4,82,61,99,,,
21/10/21,3.9,155,SSE,13.3,145,SE,19.8,98,E,27.7,24.3,33.1,0.0,992.2,989.3,995.4,81,61,98,,,
21/10/22,5.4,107,ESE,15.5,118,ESE,23.8,146,SE,23.9,19.2,29.2,0.0,995.3,992.4,997.6,80,62,91,,,
21/10/23,5.2,136,SE,13.7,141,SE,19.1,59,ENE,22.8,19.2,28.6,0.0,996.2,994.4,998.3,78,59,92,,,
21/10/24,5.1,114,ESE,14.4,18,NNE,22.0,17,NNE,23.6,18.8,29.1,0.0,995.3,993.3,997.3,76,56,92,,,
21/10/25,4.7,132,SE,12.6,25,NNE,19.4,28,NNE,23.6,18.8,29.2,0.0,993.6,991.7,996.6,75,53,95,,,
21/10/26,3.8,101,CALM,11.9,52,NE,20.2,141,SE,24.3,19.5,29.8,0.0,992.8,990.3,995.1,75,52,97,,,
21/10/27,4.9,22,NNE,15.1,13,NNE,23.0,28,NNE,25.5,20.4,30.2,0.0,992.1,990.2,994.5,72,53,95,,,
21/10/28,4.1,113,ESE,16.2,43,NE,23.0,70,ENE,25.4,21.9,29.5,0.2,993.0,990.2,995.0,82,63,98,,,
21/10/29,4.4,121,ESE,14.4,107,ESE,19.8,158,SSE,27.0,22.6,31.8,0.0,994.1,991.3,996.5,76,53,96,,,
21/10/30,4.1,128,SE,14.0,129,SE,24.1,118,ESE,26.6,22.0,31.9,0.0,993.8,990.9,996.4,78,57,96,,,
21/10/31,4.6,134,SE,13.0,160,SSE,21.2,98,E,26.8,22.5,31.2,0.0,993.9,990.8,996.2,77,60,92,,,

