date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/02/01,3.6,136,CALM,20.9,130,SE,32.4,152,SSE,25.2,22.9,30.9,6.4,1010.3,1008.3,1012.0,92,71,100,,,
21/02/02,4.9,144,SE,18.7,136,SE,26.6,180,S,26.4,22.0,32.8,0.0,1010.2,1008.3,1012.5,84,59,100,,,
21/02/03,5.6,143,SE,20.2,138,SE,29.2,127,SE,25.7,20.8,32.2,0.0,1009.7,1007.2,1011.6,82,54,100,,,
21/02/04,4.2,147,SSE,20.5,142,SE,30.6,149,SSE,25.2,21.3,31.2,0.0,1009.6,1007.1,1012.5,82,55,100,,,
21/02/05,5.3,146,SE,21.2,129,SE,29.9,135,SE,26.6,22.1,33.2,0.0,1008.5,1006.2,1011.2,82,58,100,,,
21/02/06,5.4,147,SSE,19.8,172,S,31.0,138,SE,26.6,21.8,33.4,0.0,1007.8,1004.7,1009.9,82,55,100,,,
21/02/07,4.6,140,SE,20.9,129,SE,27.4,129,SE,26.7,22.0,33.8,0.0,1007.7,1005.1,1009.7,82,53,100,,,
21/02/08,5.0,146,SE,20.9,134,SE,30.6,138,SE,26.7,21.9,33.1,0.0,1007.4,1004.8,1009.7,84,59,100,,,
21/02/09,3.2,126,CALM,18.7,63,ENE,28.4,62,ENE,26.6,22.2,33.6,0.0,1006.3,1003.6,1008.4,85,57,100,,,
21/02/10,3.8,128,CALM,15.8,72,ENE,27.0,70,ENE,26.5,22.2,32.8,0.0,1006.7,1004.3,1008.6,84,59,100,,,
21/02/11,3.9,139,SE,18.4,71,ENE,27.7,62,ENE,27.1,22.5,33.1,0.0,1007.6,1004.9,1009.7,82,59,100,,,
21/02/12,4.1,139,SE,16.9,73,ENE,27.7,59,ENE,26.9,22.4,32.9,0.0,1008.6,1006.2,1010.1,84,57,100,,,
21/02/13,4.1,130,SE,19.1,56,NE,27.4,56,NE,26.8,22.2,33.1,0.0,1009.3,1007.1,1011.2,81,51,100,,,
21/02/14,3.4,140,CALM,17.3,186,S,24.8,138,SE,26.9,21.4,33.8,0.0,1009.0,1006.4,1011.3,78,41,100,,,
21/02/15,3.5,133,CALM,16.9,65,ENE,26.3,59,ENE,26.2,21.0,33.5,0.0,1007.7,1004.9,1010.6,80,49,100,,,
21/02/16,4.4,148,SSE,17.3,141,SE,27.7,107,ESE,25.9,20.8,33.5,0.0,1007.7,1004.8,1009.6,80,49,100,,,
21/02/17,5.1,153,SSE,20.9,189,S,29.9,208,SSW,25.6,20.3,32.9,0.0,1009.2,1006.4,1010.8,78,45,99,,,
21/02/18,4.9,145,SE,19.8,144,SE,33.5,138,SE,25.6,20.6,32.9,0.0,1010.7,1008.1,1013.0,77,47,99,,,
21/02/19,6.9,148,SSE,26.3,123,ESE,42.5,127,SE,25.8,21.3,31.8,0.0,1010.3,1008.2,1012.5,79,53,99,,,
21/02/20,5.9,151,SSE,25.9,132,SE,36.4,121,ESE,25.8,21.2,32.5,0.0,1009.3,1006.7,1011.4,81,54,100,,,
21/02/21,4.6,144,SE,19.8,182,S,30.6,155,SSE,25.8,20.8,32.8,0.0,1008.8,1006.0,1011.1,81,55,100,,,
21/02/22,3.4,150,CALM,21.6,60,ENE,29.9,51,NE,25.5,19.4,33.5,0.0,1008.3,1006.1,1011.1,73,31,100,,,
21/02/23,5.4,151,SSE,14.4,153,SSE,22.0,146,SE,28.1,19.9,32.9,0.0,1009.2,1007.2,1010.1,69,48,99,,,
21/02/24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/02/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-

