date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/08/01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/02,6.4,249,WSW,26.3,222,SW,40.7,233,SW,26.8,23.4,34.4,0.4,1005.5,1003.0,1007.1,85,58,98,,,
21/08/03,6.3,259,W,24.5,246,WSW,41.4,270,W,27.0,24.0,35.1,2.8,1006.1,1003.7,1008.0,87,53,98,,,
21/08/04,7.6,257,WSW,23.4,252,WSW,31.0,267,W,28.3,23.8,34.9,0.0,1006.0,1003.6,1007.9,80,54,97,,,
21/08/05,6.2,254,WSW,19.8,267,W,28.8,248,WSW,28.3,22.7,35.8,0.0,1005.6,1003.2,1007.4,78,48,98,,,
21/08/06,4.9,262,W,16.2,211,SSW,22.3,214,SW,28.7,23.2,36.1,0.0,1005.7,1002.8,1007.7,76,46,98,,,
21/08/07,4.7,268,W,11.5,264,W,16.2,256,WSW,28.9,23.9,35.3,0.0,1006.2,1003.5,1007.9,78,52,97,,,
21/08/08,6.5,251,WSW,17.3,251,WSW,28.8,248,WSW,27.9,24.0,36.4,5.6,1006.0,1003.1,1008.1,85,51,98,,,
21/08/09,8.2,241,WSW,15.8,258,WSW,24.1,264,W,29.5,25.0,36.2,0.0,1004.3,1001.6,1006.3,76,51,96,,,
21/08/10,7.5,253,WSW,22.0,244,WSW,30.6,259,W,28.9,24.2,34.7,0.2,1003.9,1000.5,1005.9,77,55,98,,,
21/08/11,5.9,248,WSW,21.2,243,WSW,30.2,290,WNW,28.3,24.5,35.3,3.4,1005.7,1001.7,1008.0,83,51,98,,,
21/08/12,4.4,229,SW,21.2,255,WSW,31.0,231,SW,26.7,23.5,35.7,4.4,1006.6,1003.9,1008.4,89,53,98,,,
21/08/13,4.4,223,SW,13.7,11,N,22.0,248,WSW,26.4,23.2,34.9,33.8,1005.1,1002.4,1007.0,89,57,98,,,
21/08/14,4.1,238,WSW,23.4,240,WSW,34.9,267,W,26.0,23.3,34.0,16.0,1004.5,1001.8,1006.3,90,60,98,,,
21/08/15,4.0,231,SW,14.0,88,E,21.2,84,E,25.6,23.3,31.5,14.2,1006.6,1004.6,1008.8,93,71,98,,,
21/08/16,3.1,293,CALM,13.0,349,N,19.4,8,N,25.6,23.1,29.7,0.4,1008.3,1006.3,1010.4,93,78,98,,,
21/08/17,4.1,251,WSW,7.2,222,SW,9.7,211,SSW,23.6,23.3,24.2,0.0,1008.6,1008.3,1008.8,98,98,98,,,
21/08/18,9.1,238,WSW,14.8,229,SW,23.4,205,SSW,23.9,23.5,24.6,1.8,1005.1,1003.6,1006.8,96,93,98,,,
21/08/19,5.6,239,WSW,14.4,229,SW,21.6,228,SW,26.4,23.6,29.6,0.2,1005.1,1002.4,1007.5,88,76,98,,,
21/08/20,6.0,240,WSW,18.0,233,SW,29.2,236,SW,25.9,23.0,34.0,3.8,1005.7,1002.5,1007.8,88,57,98,,,
21/08/21,5.5,240,WSW,15.1,236,SW,20.5,276,W,27.0,22.5,34.5,6.2,1005.4,1002.1,1007.7,85,55,98,,,
21/08/22,7.8,248,WSW,20.5,240,WSW,30.2,253,WSW,27.3,23.2,32.6,0.2,1005.5,1002.5,1007.9,78,54,98,,,
21/08/23,8.5,245,WSW,16.9,238,WSW,24.5,231,SW,28.2,24.0,34.6,0.0,1004.7,1001.6,1007.3,75,53,94,,,
21/08/24,8.4,254,WSW,13.0,240,WSW,18.7,217,SW,25.4,24.9,25.9,0.0,1004.7,1004.0,1005.5,84,81,86,,,
21/08/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/30,6.6,248,WSW,21.6,233,SW,29.9,233,SW,26.7,22.7,36.2,18.8,1003.8,1000.1,1006.8,84,49,98,,,
21/08/31,6.4,231,SW,18.7,252,WSW,26.3,200,SSW,27.8,23.4,33.6,0.2,1004.1,1000.8,1006.4,84,58,98,,,

