date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/11/01,0.2,-,,6.8,-,,10.4,-,,25.5,23.8,29.8,1.0,1007.1,1004.6,1009.4,96,78,100,,,
21/11/02,0.4,-,,9.0,-,,20.2,-,,26.1,23.7,32.7,1.0,1007.0,1005.1,1009.2,91,61,100,,,
21/11/03,0.4,-,,6.1,-,,12.6,-,,25.9,23.7,29.7,0.2,1006.4,1004.1,1009.0,92,72,100,,,
21/11/04,0.1,-,,6.1,-,,9.4,-,,25.7,23.7,30.6,2.0,1005.8,1003.4,1007.9,93,71,100,,,
21/11/05,0.3,-,,8.3,-,,11.2,-,,26.5,23.7,32.8,0.4,1004.0,1001.8,1007.2,89,61,100,,,
21/11/06,1.0,-,,13.0,-,,23.4,-,,26.6,23.0,34.0,6.0,1002.8,999.5,1005.1,87,55,100,,,
21/11/07,0.2,-,,10.1,-,,13.0,-,,27.3,23.1,33.9,1.4,1002.7,999.6,1004.5,87,58,100,,,
21/11/08,0.4,-,,18.0,-,,27.0,-,,26.4,24.0,32.4,6.0,1003.9,1001.2,1005.5,91,63,100,,,
21/11/09,0.1,-,,5.0,-,,8.6,-,,25.7,23.7,30.6,4.4,1005.4,1003.1,1007.5,95,70,100,,,
21/11/10,0.2,-,,10.1,-,,16.2,-,,23.8,23.3,25.0,37.6,1006.1,1004.1,1009.0,100,96,100,,,
21/11/11,0.1,-,,6.1,-,,10.8,-,,24.4,23.3,27.7,38.6,1005.7,1004.0,1007.3,97,82,100,,,
21/11/12,0.1,-,,4.7,-,,7.9,-,,24.6,23.3,26.2,26.8,1005.4,1003.3,1007.6,98,91,100,,,
21/11/13,0.1,-,,5.4,-,,9.0,-,,25.0,23.9,27.0,1.8,1005.1,1003.0,1007.0,97,85,100,,,
21/11/14,0.5,-,,6.8,-,,9.7,-,,25.4,23.3,28.3,0.2,1005.0,1002.7,1007.2,94,76,100,,,
21/11/15,1.2,-,,13.7,-,,22.0,-,,25.6,23.1,31.0,18.4,1004.4,1001.6,1006.7,91,65,100,,,
21/11/16,0.5,-,,7.2,-,,11.5,-,,26.7,23.3,31.7,11.8,1004.5,1002.1,1006.5,89,62,100,,,
21/11/17,0.3,-,,5.8,-,,9.4,-,,25.2,23.9,30.1,25.8,1004.6,1002.3,1007.3,97,75,100,,,
21/11/18,0.3,-,,6.8,-,,8.6,-,,25.4,24.0,27.5,9.8,1003.8,1001.3,1006.2,97,86,100,,,
21/11/19,0.3,-,,6.8,-,,13.3,-,,26.2,23.7,31.2,0.0,1003.0,1000.0,1005.5,92,66,100,,,
21/11/20,0.5,-,,13.3,-,,20.2,-,,26.8,23.5,33.8,0.0,1003.5,1000.3,1005.5,88,54,100,,,
21/11/21,0.7,-,,13.3,-,,21.2,-,,26.3,23.7,34.0,3.6,1004.8,1002.4,1006.8,91,55,100,,,
21/11/22,0.5,-,,10.1,-,,21.2,-,,25.7,23.7,31.0,0.6,1004.2,1002.0,1007.1,92,67,100,,,
21/11/23,0.2,-,,5.4,-,,7.6,-,,25.1,23.7,27.7,8.6,1004.9,1002.7,1007.1,98,84,100,,,
21/11/24,0.9,-,,7.9,-,,12.2,-,,25.9,23.7,29.5,32.0,1005.4,1002.9,1007.2,91,72,100,,,
21/11/25,0.1,-,,4.3,-,,10.8,-,,24.1,23.4,25.4,38.6,1006.5,1003.9,1008.7,100,94,100,,,
21/11/26,0.2,-,,5.4,-,,7.6,-,,24.6,23.6,28.0,21.0,1006.3,1004.5,1008.2,98,82,100,,,
21/11/27,0.9,-,,10.8,-,,20.5,-,,26.7,23.4,32.6,0.2,1005.5,1003.1,1007.5,86,56,100,,,
21/11/28,0.2,-,,6.8,-,,11.5,-,,25.4,23.6,29.6,3.4,1005.6,1003.6,1008.1,94,74,100,,,
21/11/29,0.3,-,,9.4,-,,15.1,-,,22.5,22.2,23.9,74.0,1004.7,1002.8,1007.1,100,100,100,,,
21/11/30,0.2,-,,5.8,-,,8.3,-,,25.1,22.5,30.0,0.0,1003.6,1001.0,1005.8,92,67,100,,,

