date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/01/01,7.8,15,NNE,16.9,37,NE,25.9,349,N,25.5,24.6,27.6,0.0,1008.5,1006.9,1010.5,73,62,79,,,
21/01/02,7.6,14,NNE,15.8,19,NNE,23.4,11,N,25.6,24.5,27.7,0.0,1008.1,1006.1,1010.4,73,60,79,,,
21/01/03,5.1,22,NNE,13.0,15,NNE,20.2,0,N,26.1,23.7,28.7,0.0,1007.4,1005.7,1008.9,76,65,89,,,
21/01/04,6.7,16,NNE,16.6,78,ENE,22.0,68,ENE,27.0,25.8,29.2,0.0,1007.1,1005.3,1008.8,77,67,86,,,
21/01/05,3.7,14,CALM,12.6,27,NNE,18.7,0,N,26.5,23.1,29.5,0.0,1007.3,1005.0,1009.6,83,69,98,,,
21/01/06,2.4,50,CALM,12.2,59,ENE,19.8,73,ENE,26.0,23.3,29.4,0.0,1006.1,1004.0,1008.8,88,71,99,,,
21/01/07,0.9,122,CALM,6.1,81,E,11.9,96,E,25.9,23.3,28.9,0.0,1005.4,1003.7,1008.0,91,71,100,,,
21/01/08,3.1,95,CALM,10.4,73,ENE,15.5,56,NE,26.4,23.4,28.6,0.0,1005.5,1003.6,1007.3,85,71,97,,,
21/01/09,6.0,54,NE,15.1,30,NNE,23.8,82,E,26.0,24.3,28.5,0.4,1006.5,1004.7,1008.3,81,71,95,,,
21/01/10,4.4,35,NE,13.0,71,ENE,20.5,20,NNE,25.6,22.7,28.4,0.2,1007.2,1005.1,1008.8,80,69,93,,,
21/01/11,5.6,20,NNE,15.5,66,ENE,27.4,70,ENE,26.4,23.2,29.0,0.0,1008.2,1006.6,1009.8,76,67,90,,,
21/01/12,6.5,23,NNE,15.1,61,ENE,22.7,76,ENE,24.7,23.1,26.7,0.0,1008.8,1007.1,1010.9,73,68,77,,,
21/01/13,5.8,28,NNE,15.8,11,N,25.9,59,ENE,23.6,20.2,26.5,0.0,1008.8,1007.1,1011.0,75,59,94,,,
21/01/14,2.5,58,CALM,10.4,77,ENE,15.1,90,E,24.3,21.0,27.8,0.0,1007.9,1005.6,1010.5,78,60,96,,,
21/01/15,1.7,102,CALM,10.1,93,E,15.8,84,E,24.2,21.5,27.8,0.0,1006.4,1004.2,1008.1,86,68,98,,,
21/01/16,2.6,156,CALM,10.8,82,E,16.2,101,E,25.5,21.9,27.9,0.0,1006.6,1004.4,1008.2,83,72,98,,,
21/01/17,2.7,185,CALM,10.1,109,ESE,17.6,82,E,26.0,24.4,27.9,0.0,1008.4,1006.1,1010.0,82,72,90,,,
21/01/18,4.7,62,ENE,17.6,79,E,25.9,82,E,24.9,21.0,28.2,0.0,1009.0,1007.4,1011.0,78,60,95,,,
21/01/19,4.5,34,NE,15.1,38,NE,19.4,34,NE,25.0,21.4,28.2,0.0,1009.0,1007.0,1011.0,75,63,93,,,
21/01/20,3.1,58,CALM,10.8,66,ENE,17.6,68,ENE,24.8,21.5,28.4,0.0,1008.7,1006.8,1011.1,78,62,96,,,
21/01/21,2.1,92,CALM,9.0,30,NNE,14.4,56,NE,24.8,20.9,28.4,0.0,1007.7,1005.6,1010.0,81,65,98,,,
21/01/22,1.8,92,CALM,8.6,298,WNW,11.9,309,NW,24.9,21.0,28.5,0.0,1007.3,1005.5,1009.8,82,64,98,,,
21/01/23,1.0,108,CALM,8.3,68,ENE,13.0,51,NE,24.9,21.5,28.7,0.0,1007.6,1005.8,1009.2,87,67,99,,,
21/01/24,1.3,155,CALM,11.5,71,ENE,18.0,90,E,25.5,22.2,29.3,2.4,1008.0,1006.1,1010.0,89,73,100,,,
21/01/25,1.5,133,CALM,9.4,77,ENE,13.0,98,E,25.8,23.2,29.0,0.0,1007.6,1006.1,1009.7,86,72,99,,,
21/01/26,1.0,138,CALM,12.6,84,E,19.4,87,E,24.8,23.2,28.6,11.2,1006.9,1005.1,1009.4,94,75,100,,,
21/01/27,1.2,166,CALM,9.7,95,E,14.4,107,ESE,26.3,23.3,29.4,0.0,1007.9,1005.6,1009.4,88,73,100,,,
21/01/28,1.2,148,CALM,10.1,94,E,15.8,93,E,25.9,23.6,29.0,0.0,1008.6,1006.8,1010.7,90,76,98,,,
21/01/29,1.5,164,CALM,6.1,167,SSE,14.0,138,SE,26.2,23.6,28.7,0.0,1009.0,1007.2,1010.7,85,73,99,,,
21/01/30,1.9,101,CALM,10.1,93,E,14.8,118,ESE,25.8,22.6,28.9,0.0,1009.1,1007.1,1011.0,86,71,98,,,
21/01/31,1.5,99,CALM,9.7,76,ENE,14.0,84,E,24.9,21.8,29.0,0.0,1009.9,1008.1,1011.6,86,69,99,,,

