date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/11/01,3.1,328,CALM,9.7,256,WSW,15.1,158,SSE,27.4,23.5,33.5,0.0,989.5,986.3,991.8,76,40,97,,,
21/11/02,3.3,338,CALM,15.1,33,NNE,26.3,34,NE,26.2,22.3,34.1,8.0,989.5,985.9,992.1,82,37,100,,,
21/11/03,2.6,237,CALM,10.4,268,W,13.7,160,SSE,26.9,22.5,33.6,0.0,988.3,984.9,991.7,79,36,100,,,
21/11/04,2.5,13,CALM,9.4,127,SE,12.2,135,SE,26.7,22.5,33.0,0.0,987.9,984.7,991.3,76,33,98,,,
21/11/05,2.3,255,CALM,7.9,286,WNW,10.8,281,W,26.6,22.0,33.7,0.0,985.8,983.0,989.9,77,31,99,,,
21/11/06,2.4,179,CALM,9.0,263,W,11.9,82,E,26.7,22.2,33.8,0.0,984.4,981.7,987.0,77,33,100,,,
21/11/07,2.2,264,CALM,9.7,326,NW,12.2,335,NNW,27.1,22.8,34.6,0.0,985.7,982.4,988.4,76,32,100,,,
21/11/08,2.7,216,CALM,10.4,264,W,18.4,188,S,27.3,22.7,34.2,0.0,987.7,984.5,990.4,73,35,99,,,
21/11/09,2.3,277,CALM,10.1,163,SSE,13.3,158,SSE,25.2,21.4,30.5,0.0,989.8,987.8,991.9,75,39,99,,,
21/11/10,2.9,204,CALM,10.1,177,S,14.4,158,SSE,25.8,20.8,32.2,0.0,989.5,986.7,992.6,64,37,98,,,
21/11/11,2.7,252,CALM,10.4,117,ESE,17.6,129,SE,25.9,21.1,31.7,0.0,988.8,985.1,991.7,67,37,95,,,
21/11/12,3.0,336,CALM,13.7,72,ENE,20.5,53,NE,26.3,0.0,31.9,0.0,989.6,986.5,991.5,66,0,98,,,
21/11/13,2.7,246,CALM,10.1,168,SSE,15.1,281,W,25.1,20.6,31.9,0.0,989.3,986.5,991.9,69,34,98,,,
21/11/14,2.5,253,CALM,9.7,265,W,14.4,174,S,25.1,20.5,30.6,0.0,988.8,986.5,991.5,67,36,99,,,
21/11/15,2.6,274,CALM,10.1,31,NNE,16.6,222,SW,26.3,20.6,32.6,0.0,987.2,984.3,989.7,63,33,96,,,
21/11/16,2.9,164,CALM,12.2,137,SE,15.8,135,SE,25.9,20.9,32.7,0.0,988.2,985.4,989.9,68,33,97,,,
21/11/17,2.4,309,CALM,10.8,259,W,14.4,278,W,26.8,21.1,33.8,0.0,988.4,985.9,991.1,68,33,97,,,
21/11/18,2.0,302,CALM,10.1,305,NW,13.0,295,WNW,26.6,21.4,33.6,0.0,986.4,983.3,990.2,69,32,97,,,
21/11/19,2.2,284,CALM,9.4,147,SSE,13.7,188,S,26.7,21.7,33.5,0.0,984.4,980.9,988.8,73,34,100,,,
21/11/20,1.7,195,CALM,8.3,134,SE,11.2,110,ESE,26.5,21.4,34.0,0.0,985.1,982.0,987.8,74,33,100,,,
21/11/21,2.2,2,CALM,10.1,124,SE,13.3,76,ENE,26.3,20.9,34.3,0.0,986.7,983.5,989.0,70,31,97,,,
21/11/22,2.1,235,CALM,8.6,153,SSE,12.6,141,SE,27.0,20.9,33.7,0.0,987.3,984.2,990.1,66,32,97,,,
21/11/23,2.3,219,CALM,9.7,184,S,15.8,160,SSE,26.5,21.5,32.9,0.0,988.9,986.2,991.1,55,32,96,,,
21/11/24,2.8,223,CALM,13.0,128,SE,17.3,118,ESE,25.1,19.6,32.1,0.0,990.1,987.5,992.6,56,30,91,,,
21/11/25,3.0,335,CALM,11.5,20,NNE,16.2,28,NNE,24.9,19.8,30.1,0.0,990.2,987.9,992.7,65,36,96,,,
21/11/26,3.4,345,CALM,11.5,30,NNE,16.9,39,NE,25.5,19.8,31.3,0.0,990.2,986.9,992.1,54,32,96,,,
21/11/27,3.8,6,CALM,13.0,323,NW,22.7,343,NNW,24.5,20.0,30.8,0.0,991.4,988.5,993.2,52,36,85,,,
21/11/28,3.4,349,CALM,14.0,43,NE,23.0,20,NNE,24.1,17.9,31.3,0.0,990.9,987.8,994.0,60,30,95,,,
21/11/29,3.1,355,CALM,13.3,32,NNE,20.5,23,NNE,23.3,16.8,31.6,0.0,990.1,986.2,993.7,64,29,97,,,
21/11/30,3.3,346,CALM,13.3,26,NNE,20.5,338,NNW,23.9,16.9,31.0,0.0,991.2,988.0,993.4,54,31,92,,,

