date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,6.2,37,NE,18.7,28,NNE,28.4,17,NNE,24.5,19.2,30.3,0.0,-,-,-,43,31,54,,,
21/12/02,4.7,44,NE,21.6,36,NE,26.6,14,NNE,23.5,17.8,30.6,0.0,-,-,-,44,30,54,,,
21/12/03,4.8,25,NNE,17.6,33,NNE,23.8,28,NNE,22.5,15.0,29.8,0.0,-,-,-,45,31,59,,,
21/12/04,4.3,35,NE,17.6,38,NE,25.9,17,NNE,20.2,12.9,29.2,0.0,-,-,-,45,26,60,,,
21/12/05,4.3,28,NNE,16.9,83,E,24.5,48,NE,20.5,13.1,30.4,0.0,0.0,0.0,0.0,44,27,64,,,
21/12/06,4.1,31,NNE,17.3,37,NE,22.7,37,NE,22.2,13.4,30.4,0.0,-,-,-,44,29,61,,,
21/12/07,3.3,17,CALM,15.5,41,NE,23.4,42,NE,21.9,14.2,30.5,0.0,-,-,-,44,27,63,,,
21/12/08,4.1,30,NNE,16.9,34,NE,22.3,31,NNE,23.0,14.2,30.6,0.0,-,-,-,43,28,64,,,
21/12/09,5.9,42,NE,18.0,55,NE,24.1,62,ENE,25.8,17.1,31.9,0.0,-,-,-,45,32,60,,,
21/12/10,3.7,23,CALM,16.9,27,NNE,23.4,51,NE,25.7,19.5,32.9,0.0,-,-,-,52,31,88,,,
21/12/11,4.9,40,NE,16.6,69,ENE,26.6,31,NNE,25.2,18.8,32.9,0.0,-,-,-,48,31,87,,,
21/12/12,6.1,32,NNE,18.0,33,NNE,25.6,59,ENE,25.2,18.8,32.0,0.0,-,-,-,44,30,77,,,
21/12/13,5.3,18,NNE,18.7,23,NNE,28.1,11,N,24.5,18.1,31.5,0.0,-,-,-,44,31,62,,,
21/12/14,3.7,11,CALM,17.3,34,NE,22.7,6,N,23.8,17.1,31.7,0.0,-,-,-,50,29,80,,,
21/12/15,2.9,24,CALM,13.3,27,NNE,20.9,23,NNE,23.8,17.1,32.6,0.0,-,-,-,48,29,80,,,
21/12/16,2.4,25,CALM,12.6,65,ENE,15.8,23,NNE,24.2,17.3,33.8,0.0,-,-,-,50,27,79,,,
21/12/17,4.3,33,NNE,17.3,38,NE,27.0,17,NNE,26.8,0.0,33.0,0.0,0.0,0.0,0.0,44,0,78,,,
21/12/18,7.6,12,NNE,19.4,38,NE,29.5,11,N,25.5,19.9,31.4,0.0,-,-,-,41,31,49,,,
21/12/19,4.9,23,NNE,18.0,29,NNE,26.6,11,N,23.3,17.1,29.4,0.0,-,-,-,43,31,57,,,
21/12/20,3.6,34,CALM,14.4,71,ENE,20.5,39,NE,22.2,15.7,30.3,0.0,-,-,-,48,30,69,,,
21/12/21,2.0,29,CALM,11.9,66,ENE,14.0,56,NE,22.6,15.7,31.3,0.0,-,-,-,50,29,75,,,
21/12/22,2.1,2,CALM,13.0,34,NE,16.9,31,NNE,23.3,16.3,32.2,0.0,-,-,-,51,28,85,,,
21/12/23,1.8,33,CALM,10.8,64,ENE,14.8,48,NE,23.9,16.3,33.5,0.0,-,-,-,49,27,89,,,
21/12/24,2.0,345,CALM,10.1,44,NE,14.0,250,WSW,25.0,17.4,33.4,0.0,0.0,0.0,0.0,48,29,76,,,
21/12/25,2.2,66,CALM,10.1,65,ENE,14.4,42,NE,25.7,20.2,33.0,0.0,-,-,-,54,33,86,,,
21/12/26,4.1,32,NNE,16.2,30,NNE,23.0,17,NNE,25.9,19.7,32.5,0.0,-,-,-,50,32,87,,,
21/12/27,4.0,35,NE,15.5,32,NNE,22.7,25,NNE,26.8,19.7,33.7,0.0,-,-,-,44,31,85,,,
21/12/28,4.0,24,NNE,18.0,37,NE,24.1,23,NNE,26.1,20.5,32.8,0.0,-,-,-,43,30,53,,,
21/12/29,3.9,33,CALM,18.0,31,NNE,25.6,28,NNE,25.7,20.6,30.7,0.0,-,-,-,45,36,57,,,
21/12/30,6.4,38,NE,18.7,73,ENE,28.4,23,NNE,26.5,21.5,32.9,0.0,-,-,-,42,31,52,,,
21/12/31,5.3,15,NNE,20.9,40,NE,27.7,37,NE,25.4,20.6,32.3,0.0,-,-,-,43,31,52,,,

