date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/08/01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/02,3.8,284,CALM,20.5,286,WNW,30.6,312,NW,27.4,23.9,32.4,8.8,985.0,982.8,986.7,84,61,97,,,
21/08/03,3.0,212,CALM,13.7,317,NW,21.2,118,ESE,27.6,24.7,32.5,5.6,986.1,983.3,987.6,85,62,97,,,
21/08/04,3.1,250,CALM,14.4,292,WNW,23.0,214,SW,27.9,25.3,32.8,2.6,986.1,983.9,988.4,84,59,97,,,
21/08/05,3.6,188,CALM,17.3,269,W,27.0,276,W,29.0,26.0,33.5,0.0,986.2,983.6,987.8,79,57,93,,,
21/08/06,2.5,148,CALM,21.6,282,WNW,41.0,262,W,27.5,24.4,33.2,13.0,987.3,985.3,989.3,86,61,97,,,
21/08/07,3.5,205,CALM,17.3,285,WNW,27.0,298,WNW,29.7,26.1,34.6,0.0,987.8,985.6,990.0,77,54,97,,,
21/08/08,3.1,169,CALM,14.4,276,W,18.7,304,NW,30.3,27.3,34.7,0.4,987.5,985.1,989.9,77,57,90,,,
21/08/09,4.1,134,SE,11.5,126,SE,15.8,124,SE,30.7,27.4,35.2,0.0,986.2,983.7,988.8,75,54,88,,,
21/08/10,5.4,118,ESE,13.3,108,ESE,19.4,135,SE,29.1,26.8,33.5,0.0,986.5,983.7,989.1,81,65,89,,,
21/08/11,4.4,111,ESE,16.2,308,NW,25.9,281,W,26.3,23.6,31.0,15.4,990.0,987.0,992.3,87,73,95,,,
21/08/12,4.2,108,ESE,20.5,265,W,31.7,267,W,26.1,23.0,31.7,68.2,990.7,988.2,993.0,88,65,98,,,
21/08/13,3.7,114,CALM,11.9,253,WSW,24.5,256,WSW,25.9,23.3,31.7,33.4,988.1,985.3,991.4,89,68,98,,,
21/08/14,4.5,138,SE,14.4,121,ESE,20.5,90,E,26.9,24.2,32.7,10.4,988.0,985.0,990.2,87,61,97,,,
21/08/15,3.8,112,CALM,12.2,128,SE,20.9,219,SW,25.5,23.2,30.8,31.6,991.8,988.5,994.9,90,69,97,,,
21/08/16,2.3,93,CALM,12.2,266,W,17.3,287,WNW,27.8,24.3,32.5,0.0,993.7,991.1,995.9,82,59,97,,,
21/08/17,2.9,317,CALM,13.3,271,W,18.7,284,WNW,28.9,24.7,34.1,0.0,991.5,989.2,994.5,79,53,97,,,
21/08/18,3.2,82,CALM,13.0,290,WNW,18.0,287,WNW,29.8,25.8,35.0,0.0,989.1,986.1,992.5,75,52,92,,,
21/08/19,4.5,143,SE,20.5,253,WSW,31.3,284,WNW,28.9,24.9,34.7,0.0,989.8,986.7,991.6,75,55,90,,,
21/08/20,3.1,74,CALM,13.3,6,N,18.0,14,NNE,29.3,25.8,34.9,0.0,990.6,988.0,992.5,78,54,96,,,
21/08/21,3.8,170,CALM,15.1,285,WNW,20.5,287,WNW,30.0,26.3,34.9,0.0,990.0,987.2,992.6,74,53,91,,,
21/08/22,4.5,141,SE,22.3,355,N,28.8,349,N,29.7,23.1,34.9,33.4,988.4,985.6,991.2,76,54,97,,,
21/08/23,4.2,108,ESE,12.6,319,NW,18.4,28,NNE,27.4,23.4,32.9,4.0,988.0,984.9,990.3,82,62,97,,,
21/08/24,4.7,127,SE,10.1,117,ESE,13.7,107,ESE,26.1,25.7,26.5,0.0,988.7,988.5,988.9,85,83,86,,,
21/08/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/30,3.6,142,CALM,16.9,123,ESE,22.0,118,ESE,28.3,24.9,34.1,0.2,990.3,987.8,992.1,79,53,95,,,
21/08/31,3.0,156,CALM,11.9,124,SE,17.3,101,E,28.0,24.8,33.5,0.0,990.9,987.9,992.8,81,58,97,,,

