date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,11.5,45,NE,24.1,69,ENE,37.4,59,ENE,21.2,17.5,26.7,0.0,994.8,992.5,996.7,62,54,70,,,
21/12/02,10.9,42,NE,24.1,78,ENE,37.4,28,NNE,20.7,15.9,26.9,0.0,996.4,993.5,998.2,66,50,80,,,
21/12/03,9.4,42,NE,23.8,50,NE,36.7,37,NE,20.2,16.0,26.1,0.0,997.0,993.7,999.2,63,46,78,,,
21/12/04,9.7,43,NE,21.6,44,NE,33.8,79,E,20.4,16.5,26.0,0.0,996.4,993.5,998.9,64,49,76,,,
21/12/05,10.1,47,NE,23.4,55,NE,38.2,70,ENE,21.0,16.9,26.8,0.0,995.4,992.6,998.6,59,46,77,,,
21/12/06,10.2,50,NE,23.8,57,ENE,34.6,70,ENE,21.3,16.8,27.1,0.0,995.3,993.1,997.2,57,43,72,,,
21/12/07,9.2,48,NE,20.2,44,NE,34.2,76,ENE,21.2,16.3,27.3,0.0,995.3,992.8,997.5,65,48,86,,,
21/12/08,9.1,45,NE,22.3,79,E,30.2,68,ENE,22.5,17.2,28.0,0.0,995.3,993.3,997.8,69,50,89,,,
21/12/09,8.5,32,NNE,23.0,56,NE,34.9,28,NNE,23.3,16.7,29.8,0.0,995.5,993.2,997.2,74,54,99,,,
21/12/10,9.0,37,NE,25.2,82,E,39.6,104,ESE,23.2,17.6,28.7,0.0,994.6,992.1,997.3,71,55,98,,,
21/12/11,8.7,40,NE,19.1,84,E,30.6,20,NNE,23.0,17.2,29.7,0.0,995.1,992.5,997.2,70,46,91,,,
21/12/12,10.6,41,NE,20.5,52,NE,36.4,34,NE,22.9,19.5,27.2,0.0,995.2,992.8,997.5,70,58,82,,,
21/12/13,11.4,42,NE,27.0,54,NE,42.5,39,NE,22.0,17.5,26.8,0.0,994.6,992.8,997.2,69,53,87,,,
21/12/14,6.3,29,NNE,19.8,51,NE,30.6,31,NNE,21.9,16.9,28.4,0.0,992.5,990.0,995.1,76,52,97,,,
21/12/15,3.8,19,CALM,13.3,45,NE,22.0,42,NE,23.7,17.5,31.0,0.0,991.0,988.1,993.5,78,49,100,,,
21/12/16,5.6,41,NE,13.7,49,NE,22.3,48,NE,25.3,18.7,31.7,0.0,991.4,988.6,993.4,74,47,100,,,
21/12/17,11.7,47,NE,23.4,45,NE,38.2,31,NNE,24.3,20.8,29.8,0.0,993.1,990.4,994.8,68,54,84,,,
21/12/18,10.7,39,NE,24.8,61,ENE,39.2,31,NNE,21.9,17.4,28.2,0.0,994.6,992.3,996.3,68,52,80,,,
21/12/19,8.4,33,NNE,25.9,45,NE,36.7,51,NE,19.3,14.7,25.4,0.0,994.8,993.0,996.4,69,53,87,,,
21/12/20,5.2,38,NE,16.9,81,E,27.4,6,N,20.5,15.1,27.4,0.0,993.2,990.4,995.9,72,50,91,,,
21/12/21,5.4,41,NE,15.1,44,NE,22.3,28,NNE,22.2,16.5,28.7,0.0,992.9,990.5,995.1,73,49,87,,,
21/12/22,5.6,44,NE,17.6,43,NE,27.4,42,NE,23.6,19.0,29.8,0.0,992.1,990.0,995.2,73,52,88,,,
21/12/23,4.6,58,ENE,15.8,86,E,23.4,65,ENE,24.1,19.5,30.7,0.0,991.9,989.6,994.1,74,46,91,,,
21/12/24,5.3,65,ENE,15.1,56,NE,22.3,28,NNE,24.5,19.9,30.2,0.0,992.1,989.7,994.0,76,54,91,,,
21/12/25,7.1,57,ENE,16.6,73,ENE,26.3,357,N,23.2,21.1,26.1,0.2,994.2,992.2,995.8,79,70,89,,,
21/12/26,8.8,46,NE,20.9,61,ENE,30.6,68,ENE,24.6,20.7,31.1,0.0,995.2,992.5,997.3,71,51,84,,,
21/12/27,12.3,46,NE,26.6,84,E,39.2,37,NE,22.3,17.5,28.8,0.0,996.5,993.9,998.3,68,54,83,,,
21/12/28,10.1,45,NE,22.7,78,ENE,32.0,62,ENE,21.9,16.4,27.9,0.0,995.9,993.3,999.0,70,52,92,,,
21/12/29,11.2,46,NE,22.0,83,E,33.8,98,E,23.1,17.3,29.7,0.0,996.1,993.1,998.1,70,52,89,,,
21/12/30,11.5,43,NE,27.4,83,E,39.6,96,E,22.4,16.9,28.7,0.0,997.4,994.6,999.4,71,54,90,,,
21/12/31,9.6,33,NNE,23.8,64,ENE,34.2,51,NE,21.9,16.4,28.7,0.0,996.8,994.0,998.6,72,51,93,,,

