date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/09/01,2.0,209,CALM,18.0,278,W,24.5,278,W,26.2,23.4,32.6,8.0,1007.0,1004.0,1008.8,89,49,99,,,
21/09/02,4.6,243,WSW,16.2,265,W,20.9,267,W,26.7,24.0,31.0,0.0,1007.2,1004.8,1009.2,79,40,99,,,
21/09/03,3.6,218,CALM,11.9,240,WSW,14.8,236,SW,26.9,23.6,31.2,0.0,1006.6,1003.4,1008.9,80,52,99,,,
21/09/04,2.3,208,CALM,10.8,242,WSW,12.6,143,SE,26.8,22.6,32.5,0.0,1007.0,1004.8,1009.2,81,36,100,,,
21/09/05,2.8,222,CALM,11.9,251,WSW,14.0,256,WSW,27.3,23.0,34.2,0.0,1007.5,1004.9,1009.3,75,31,100,,,
21/09/06,2.3,249,CALM,13.7,253,WSW,16.9,267,W,27.6,22.8,34.8,0.0,1007.6,1004.9,1010.0,72,28,98,,,
21/09/07,3.7,245,CALM,16.9,273,W,21.6,267,W,26.8,23.6,31.5,0.4,1007.2,1005.0,1009.5,83,52,99,,,
21/09/08,5.0,219,SW,19.1,262,W,22.3,248,WSW,27.1,23.3,33.2,20.6,1006.7,1004.2,1008.6,77,37,99,,,
21/09/09,3.9,225,CALM,20.5,287,WNW,26.3,284,WNW,25.3,23.4,31.1,5.4,1007.3,1005.9,1008.9,90,55,99,,,
21/09/10,3.2,217,CALM,14.8,241,WSW,21.6,228,SW,26.0,22.9,31.7,1.4,1007.0,1004.8,1008.8,91,65,100,,,
21/09/11,2.8,194,CALM,11.5,282,WNW,14.4,259,W,28.3,23.5,34.6,0.0,1006.2,1003.6,1008.4,76,31,100,,,
21/09/12,4.3,234,SW,13.7,254,WSW,18.0,262,W,27.3,23.6,33.3,0.0,1005.8,1003.5,1007.6,81,44,98,,,
21/09/13,3.9,200,CALM,15.8,224,SW,22.0,211,SSW,24.9,23.5,28.7,3.4,1007.1,1005.7,1008.6,93,79,99,,,
21/09/14,3.4,241,CALM,14.8,271,W,16.6,270,W,27.1,23.9,31.4,5.4,1007.6,1005.7,1009.4,85,53,99,,,
21/09/15,1.6,270,CALM,12.2,253,WSW,14.4,281,W,26.0,23.4,31.1,0.0,1007.4,1004.5,1010.3,90,56,99,,,
21/09/16,3.1,58,CALM,13.0,298,WNW,17.6,298,WNW,27.0,23.6,32.8,0.0,1006.8,1004.4,1009.0,83,46,99,,,
21/09/17,1.7,171,CALM,20.2,190,S,27.4,146,SE,25.5,22.5,33.2,35.0,1006.9,1004.5,1009.1,92,44,100,,,
21/09/18,3.0,169,CALM,12.2,237,WSW,16.2,222,SW,27.4,23.2,34.1,0.0,1007.4,1004.2,1010.2,78,32,100,,,
21/09/19,6.6,212,SSW,20.5,264,W,24.1,267,W,26.1,23.1,31.9,16.6,1008.0,1005.6,1009.9,87,52,98,,,
21/09/20,4.7,223,SW,14.8,292,WNW,18.7,245,WSW,26.1,23.0,31.1,0.0,1006.8,1004.2,1009.2,85,55,99,,,
21/09/21,3.4,223,CALM,20.9,288,WNW,24.1,301,WNW,25.9,23.5,31.4,6.2,1006.4,1004.5,1008.4,89,58,99,,,
21/09/22,2.8,246,CALM,14.0,263,W,15.1,276,W,27.1,23.1,32.3,0.0,1006.5,1003.8,1008.2,84,47,100,,,
21/09/23,1.9,232,CALM,11.5,243,WSW,13.0,262,W,26.9,22.5,34.2,0.0,1006.7,1004.2,1008.4,83,36,100,,,
21/09/24,2.4,248,CALM,11.9,274,W,14.4,250,WSW,27.5,23.1,34.6,0.0,1006.2,1003.8,1008.5,78,32,100,,,
21/09/25,2.4,126,CALM,27.0,284,WNW,32.0,284,WNW,24.4,22.8,31.5,44.8,1006.0,1004.4,1007.8,96,60,100,,,
21/09/26,2.9,137,CALM,16.6,310,NW,21.6,312,NW,25.9,23.4,31.6,7.6,1005.7,1002.8,1007.6,90,56,100,,,
21/09/27,3.3,221,CALM,27.4,254,WSW,30.6,256,WSW,25.8,23.7,32.6,82.2,1006.1,1003.4,1008.4,91,52,100,,,
21/09/28,3.3,57,CALM,12.2,257,WSW,14.8,28,NNE,27.5,24.4,33.5,0.2,1006.0,1002.5,1008.2,82,46,99,,,
21/09/29,3.4,189,CALM,17.3,47,NE,25.2,28,NNE,26.2,23.7,32.9,18.0,1005.8,1002.3,1007.8,90,49,100,,,
21/09/30,3.3,164,CALM,11.9,232,SW,15.8,228,SW,28.3,24.3,34.3,1.0,1006.0,1002.6,1008.4,79,38,100,,,

