date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/01/01,28.4,139,SE,37.4,145,SE,41.8,143,SE,27.5,26.2,28.1,0.0,1010.6,1008.7,1012.4,72,61,83,,,
21/01/02,24.0,118,ESE,40.7,131,SE,45.4,129,SE,27.1,25.0,28.1,15.6,1010.2,1008.5,1012.5,82,67,95,,,
21/01/03,23.3,139,SE,34.9,141,SE,40.0,138,SE,27.4,25.7,28.9,6.8,1009.8,1008.2,1011.3,81,67,91,,,
21/01/04,13.0,160,SSE,29.2,152,SSE,33.1,214,SW,27.4,25.3,28.3,6.4,1009.6,1007.7,1011.5,86,76,93,,,
21/01/05,18.0,114,ESE,34.9,128,SE,39.2,127,SE,27.1,25.7,28.7,3.0,1010.0,1008.1,1011.8,88,79,93,,,
21/01/06,10.9,139,SE,42.1,142,SE,46.4,138,SE,26.3,24.5,28.0,82.0,1009.1,1007.2,1011.2,91,80,98,,,
21/01/07,13.5,169,S,41.8,148,SSE,48.6,149,SSE,27.8,25.5,28.6,6.0,1008.2,1006.4,1010.2,80,71,94,,,
21/01/08,12.2,179,S,19.4,178,S,23.0,186,S,27.7,26.0,28.5,1.0,1008.3,1006.3,1010.0,79,70,87,,,
21/01/09,13.1,184,S,28.4,153,SSE,32.4,149,SSE,27.5,25.2,28.6,0.4,1009.0,1007.0,1010.9,76,62,90,,,
21/01/10,15.4,159,SSE,40.3,154,SSE,47.9,160,SSE,26.2,24.3,28.2,28.8,1009.9,1008.2,1011.6,84,61,96,,,
21/01/11,11.5,170,S,34.6,147,SSE,39.6,155,SSE,26.5,24.2,28.4,20.6,1010.7,1009.1,1012.1,83,66,96,,,
21/01/12,28.5,145,SE,40.3,155,SSE,44.6,149,SSE,27.2,26.3,28.4,1.2,1010.6,1008.6,1012.5,75,64,86,,,
21/01/13,22.4,146,SE,32.4,139,SE,37.1,135,SE,26.9,26.1,27.7,0.0,1011.1,1009.7,1012.8,69,60,76,,,
21/01/14,13.2,155,SSE,29.2,146,SE,32.4,146,SE,26.9,26.2,27.9,0.0,1010.4,1008.2,1012.7,72,64,78,,,
21/01/15,6.1,170,S,12.2,176,S,18.4,180,S,27.0,26.5,27.9,0.0,1009.2,1006.9,1011.1,75,70,80,,,
21/01/16,7.2,169,S,22.0,153,SSE,24.8,158,SSE,27.2,26.6,28.1,0.0,1009.6,1007.3,1010.9,77,73,80,,,
21/01/17,8.9,170,S,20.5,155,SSE,25.2,152,SSE,27.4,26.6,28.4,0.0,1011.2,1009.4,1012.6,73,68,79,,,
21/01/18,11.7,175,S,52.9,137,SE,57.6,138,SE,26.8,23.8,27.9,2.6,1011.3,1009.5,1013.8,71,57,90,,,
21/01/19,8.4,182,S,14.8,178,S,18.7,163,SSE,26.9,26.1,28.3,0.0,1011.0,1008.9,1012.5,67,57,81,,,
21/01/20,6.4,170,S,19.1,154,SSE,22.0,146,SE,27.1,24.3,29.0,0.0,1011.0,1009.1,1013.1,70,62,86,,,
21/01/21,4.0,169,S,11.5,159,SSE,17.6,155,SSE,27.2,24.1,28.9,0.0,1010.0,1008.0,1012.3,72,62,90,,,
21/01/22,6.2,177,S,17.3,152,SSE,19.8,146,SE,27.5,24.2,29.1,0.0,1009.7,1007.8,1012.1,73,61,90,,,
21/01/23,8.2,186,S,15.1,176,S,21.2,166,SSE,27.8,26.8,29.5,0.0,1010.0,1008.3,1011.7,78,67,84,,,
21/01/24,7.5,178,S,13.3,156,SSE,20.5,163,SSE,27.6,26.7,29.3,0.0,1010.4,1008.4,1012.3,77,70,83,,,
21/01/25,6.4,177,S,19.4,152,SSE,25.6,155,SSE,27.4,25.2,28.7,0.0,1010.1,1008.6,1012.0,72,57,86,,,
21/01/26,6.9,184,S,13.3,177,S,20.2,191,S,27.4,25.2,29.2,0.0,1009.5,1007.5,1012.0,74,65,88,,,
21/01/27,7.6,179,S,20.5,153,SSE,25.2,155,SSE,27.6,25.9,29.2,0.2,1010.3,1008.1,1011.8,80,75,86,,,
21/01/28,9.8,176,S,16.2,179,S,22.7,163,SSE,27.8,27.1,28.8,0.0,1011.1,1008.7,1012.9,77,68,81,,,
21/01/29,12.9,184,S,21.2,178,S,25.2,180,S,27.5,26.7,28.8,0.0,1011.5,1009.7,1013.4,70,63,78,,,
21/01/30,11.4,182,S,18.0,182,S,22.7,191,S,27.4,26.3,28.4,0.0,1011.5,1009.6,1013.5,71,62,79,,,
21/01/31,8.3,169,S,29.2,153,SSE,34.6,149,SSE,27.5,25.8,28.4,0.6,1012.2,1010.6,1014.0,73,60,82,,,

