date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/08/01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/02,9.1,213,SSW,32.8,197,SSW,38.9,191,S,29.1,27.3,31.8,0.0,1006.4,1004.4,1008.4,84,68,97,,,
21/08/03,9.4,256,WSW,27.7,272,W,34.6,273,W,29.2,27.3,32.9,0.0,1007.2,1005.2,1008.7,78,56,93,,,
21/08/04,9.7,226,SW,25.6,181,S,28.8,180,S,29.3,27.4,32.5,4.2,1007.1,1005.0,1009.2,82,61,98,,,
21/08/05,12.5,213,SSW,24.5,179,S,35.6,194,SSW,29.8,27.7,33.0,0.0,1006.8,1004.3,1008.8,80,54,91,,,
21/08/06,12.4,239,WSW,27.7,250,WSW,36.0,276,W,30.0,27.4,34.1,0.0,1007.7,1004.8,1009.3,76,46,93,,,
21/08/07,9.1,254,WSW,23.8,154,SSE,29.2,149,SSE,29.7,27.2,33.4,0.0,1008.5,1006.2,1010.6,83,55,92,,,
21/08/08,8.3,274,W,30.2,341,NNW,40.3,8,N,29.2,26.3,35.1,10.8,1008.2,1006.1,1010.5,85,45,100,,,
21/08/09,8.5,249,WSW,24.8,201,SSW,31.7,205,SSW,29.8,26.6,33.0,0.0,1006.3,1004.1,1008.8,82,64,96,,,
21/08/10,10.8,230,SW,32.4,229,SW,40.7,245,WSW,30.4,27.4,34.8,0.0,1005.1,1002.4,1006.7,85,54,100,,,
21/08/11,10.6,203,SSW,27.0,193,SSW,33.8,188,S,29.1,26.4,32.6,10.8,1007.8,1005.4,1010.1,91,70,100,,,
21/08/12,14.6,199,SSW,30.2,218,SW,37.1,217,SW,28.8,26.7,30.8,0.0,1008.9,1006.9,1010.6,89,79,100,,,
21/08/13,9.2,216,SW,28.8,187,S,33.8,177,S,28.6,26.6,31.1,1.4,1007.2,1005.1,1009.6,89,74,100,,,
21/08/14,10.8,216,SW,23.0,187,S,29.5,166,SSE,28.6,26.7,30.9,5.4,1006.6,1004.2,1008.2,86,71,100,,,
21/08/15,13.9,201,SSW,24.1,202,SSW,28.4,203,SSW,28.4,26.3,30.5,0.0,1009.5,1007.1,1011.8,84,71,94,,,
21/08/16,5.9,270,W,23.4,238,WSW,27.7,248,WSW,26.7,24.2,29.9,2.4,1011.9,1009.9,1013.6,93,76,100,,,
21/08/17,7.6,264,W,23.8,251,WSW,31.3,242,WSW,28.5,25.1,31.7,0.0,1010.3,1007.7,1013.0,86,70,100,,,
21/08/18,9.2,271,W,28.1,210,SSW,33.8,222,SW,30.1,26.1,34.7,0.0,1007.9,1005.2,1011.0,75,39,95,,,
21/08/19,12.0,225,SW,23.4,185,S,28.8,180,S,30.0,27.1,34.5,0.0,1007.7,1004.9,1010.0,79,39,98,,,
21/08/20,10.3,192,SSW,24.5,198,SSW,28.4,186,S,30.5,28.1,34.6,0.0,1008.6,1005.7,1010.5,80,51,92,,,
21/08/21,7.9,196,SSW,17.6,199,SSW,20.9,200,SSW,29.5,26.6,31.2,0.0,1008.9,1006.2,1011.1,84,66,100,,,
21/08/22,12.3,133,SE,30.2,193,SSW,34.9,191,S,30.3,25.5,33.0,0.0,1007.7,1004.9,1010.2,80,65,96,,,
21/08/23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/08/31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-

