date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/10/01,4.4,182,S,19.1,328,NNW,29.9,343,NNW,29.4,24.5,34.1,0.6,1006.1,1002.4,1009.3,78,42,98,,,
21/10/02,3.2,175,CALM,19.8,257,WSW,25.9,259,W,28.1,25.1,33.5,0.0,1006.4,1003.0,1009.1,80,53,97,,,
21/10/03,3.4,70,CALM,21.2,199,SSW,29.9,205,SSW,27.3,24.3,33.1,3.2,1006.0,1002.6,1008.3,84,56,99,,,
21/10/04,2.3,340,CALM,20.5,76,ENE,28.8,59,ENE,28.2,24.9,33.2,0.6,1005.6,1002.6,1008.4,82,52,99,,,
21/10/05,2.7,321,CALM,14.4,272,W,18.4,278,W,29.2,26.2,33.2,4.0,1004.6,1002.0,1007.2,79,35,98,,,
21/10/06,4.4,281,W,16.6,309,NW,27.4,307,NW,26.8,23.4,31.8,43.2,1003.2,999.9,1005.7,90,65,100,,,
21/10/07,0.7,301,CALM,9.4,344,NNW,13.0,354,N,28.3,24.6,32.9,0.0,1002.3,1000.0,1005.1,80,43,99,,,
21/10/08,1.8,206,CALM,12.2,273,W,16.2,273,W,29.2,25.8,33.8,0.0,1002.4,1000.2,1004.3,74,31,95,,,
21/10/09,3.7,187,CALM,14.8,213,SSW,21.2,219,SW,29.0,25.6,33.6,0.0,1002.4,1000.3,1005.0,80,50,97,,,
21/10/10,2.9,188,CALM,11.5,210,SSW,16.9,197,SSW,29.6,26.1,34.6,0.0,1001.1,998.2,1004.2,74,35,93,,,
21/10/11,2.6,208,CALM,12.2,91,E,17.6,211,SSW,28.3,26.0,32.4,0.0,1001.5,999.0,1003.6,83,57,96,,,
21/10/12,2.9,157,CALM,20.5,208,SSW,25.6,203,SSW,28.2,25.3,33.1,9.4,1001.9,999.0,1004.0,82,51,98,,,
21/10/13,1.7,280,CALM,10.8,347,NNW,15.5,354,N,28.1,25.6,31.0,0.0,1001.0,998.7,1003.9,85,66,98,,,
21/10/14,4.1,200,SSW,15.8,64,ENE,22.3,48,NE,27.5,23.8,33.0,78.6,1001.1,998.1,1003.0,85,54,100,,,
21/10/15,2.1,136,CALM,21.6,250,WSW,26.3,256,WSW,25.3,23.9,28.5,19.4,1003.3,1000.7,1005.5,95,79,100,,,
21/10/16,5.8,114,ESE,20.9,69,ENE,30.2,90,E,26.8,23.9,31.6,8.4,1006.4,1002.7,1009.1,84,50,98,,,
21/10/17,3.2,333,CALM,17.3,68,ENE,23.8,82,E,24.7,22.7,27.7,24.6,1008.8,1007.1,1011.1,94,75,100,,,
21/10/18,4.8,29,NNE,18.7,59,ENE,25.9,73,ENE,24.1,22.9,26.3,1.6,1010.1,1007.2,1012.2,93,80,99,,,
21/10/19,0.9,330,CALM,7.9,298,WNW,10.4,298,WNW,25.6,23.7,28.6,2.2,1011.3,1009.2,1013.3,92,75,99,,,
21/10/20,1.1,161,CALM,9.0,53,NE,12.6,349,N,28.2,25.4,32.5,0.0,1010.1,1007.7,1013.9,84,50,99,,,
21/10/21,3.0,183,CALM,19.4,258,WSW,26.6,267,W,27.7,22.7,31.7,21.4,1008.9,1005.8,1011.9,86,66,100,,,
21/10/22,2.4,88,CALM,17.3,75,ENE,21.6,79,E,26.6,23.9,30.9,19.8,1010.3,1007.4,1012.1,88,69,99,,,
21/10/23,6.5,83,E,18.4,72,ENE,24.8,62,ENE,26.8,24.1,29.7,0.0,1011.6,1008.7,1013.6,71,48,98,,,
21/10/24,4.9,76,ENE,19.4,78,ENE,25.6,65,ENE,26.9,23.7,30.7,0.0,1011.0,1009.0,1013.3,68,40,90,,,
21/10/25,3.9,65,CALM,18.4,72,ENE,23.0,68,ENE,26.9,23.3,30.9,0.0,1009.4,1007.2,1012.5,72,37,93,,,
21/10/26,2.9,9,CALM,13.0,78,ENE,18.7,93,E,27.4,24.8,31.3,0.0,1009.0,1006.6,1011.6,70,36,96,,,
21/10/27,1.9,353,CALM,11.9,293,WNW,18.7,321,NW,27.2,24.6,30.9,0.0,1008.5,1006.9,1011.2,79,47,95,,,
21/10/28,2.1,9,CALM,10.1,4,N,23.4,56,NE,25.9,24.0,29.1,22.0,1008.9,1007.0,1010.5,89,67,99,,,
21/10/29,1.3,22,CALM,10.8,157,SSE,15.8,172,S,26.1,24.1,29.2,1.8,1010.3,1007.8,1011.9,92,72,99,,,
21/10/30,2.4,11,CALM,10.8,2,N,17.3,352,N,27.6,25.1,32.1,0.0,1010.4,1007.7,1013.4,85,59,98,,,
21/10/31,2.4,354,CALM,19.4,99,E,26.6,124,SE,26.6,24.6,31.5,2.6,1010.2,1007.6,1012.6,90,67,99,,,

