date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/12/01,9.4,46,NE,25.9,72,ENE,36.0,62,ENE,25.3,21.5,29.4,0.0,1012.9,1010.5,1015.8,57,46,84,,,
21/12/02,7.1,40,NE,21.6,54,NE,28.8,53,NE,23.7,20.8,28.2,0.0,1015.0,1012.5,1017.0,61,47,96,,,
21/12/03,7.0,39,NE,22.0,55,NE,33.1,65,ENE,23.8,19.4,28.8,0.0,1015.9,1013.1,1018.3,55,45,79,,,
21/12/04,5.8,32,NNE,23.0,47,NE,31.7,68,ENE,22.1,16.6,27.7,0.0,1015.8,1012.6,1018.5,57,44,82,,,
21/12/05,5.9,25,NNE,23.8,56,NE,29.5,70,ENE,21.5,16.9,27.2,0.0,1015.0,1012.0,1018.9,62,44,98,,,
21/12/06,6.2,18,NNE,19.8,41,NE,28.4,65,ENE,23.1,17.6,29.4,0.0,1014.2,1011.7,1016.9,65,44,100,,,
21/12/07,5.6,13,NNE,19.1,50,NE,23.0,39,NE,23.4,18.2,29.5,0.0,1014.4,1012.0,1017.1,59,43,92,,,
21/12/08,7.2,28,NNE,23.0,47,NE,28.1,45,NE,24.0,19.0,28.9,0.0,1014.7,1012.5,1017.4,58,44,93,,,
21/12/09,6.8,16,NNE,24.5,53,NE,31.0,56,NE,25.1,21.1,29.4,0.0,1014.8,1012.8,1017.1,70,50,100,,,
21/12/10,6.1,19,NNE,22.7,40,NE,33.8,51,NE,25.8,21.2,30.9,0.0,1013.9,1011.5,1016.4,71,46,100,,,
21/12/11,5.2,41,NE,19.4,58,ENE,24.8,56,NE,25.8,20.9,31.7,0.0,1014.0,1011.3,1016.5,63,44,96,,,
21/12/12,7.0,25,NNE,20.5,60,ENE,27.7,84,E,25.3,21.2,30.5,0.0,1013.9,1011.0,1016.9,66,45,94,,,
21/12/13,6.4,43,NE,23.0,48,NE,30.6,42,NE,25.2,20.6,30.9,0.0,1013.4,1010.9,1016.5,62,45,90,,,
21/12/14,6.2,20,NNE,24.1,55,NE,31.0,56,NE,24.5,19.6,30.0,0.0,1012.2,1009.6,1015.0,70,46,100,,,
21/12/15,3.8,6,CALM,17.6,21,NNE,22.7,37,NE,25.3,19.7,31.1,0.0,1011.1,1008.3,1013.9,73,45,100,,,
21/12/16,3.9,5,N,17.3,44,NE,21.6,45,NE,25.9,20.4,32.6,0.0,1011.1,1008.6,1013.2,69,43,100,,,
21/12/17,7.6,19,NNE,21.2,47,NE,26.3,51,NE,27.8,20.9,32.6,0.0,1011.2,1008.4,1013.7,61,45,97,,,
21/12/18,9.6,53,NE,22.3,56,NE,32.0,87,E,26.6,22.4,31.6,0.0,1012.5,1009.0,1015.1,52,44,66,,,
21/12/19,6.0,24,NNE,21.2,60,ENE,28.1,42,NE,23.8,19.2,28.8,0.0,1013.9,1011.2,1016.3,66,45,100,,,
21/12/20,4.2,17,NNE,20.5,43,NE,27.7,48,NE,23.7,18.8,28.6,0.0,1013.1,1010.5,1016.4,65,45,100,,,
21/12/21,3.5,358,CALM,15.5,18,NNE,22.0,20,NNE,24.0,18.8,30.0,0.0,1012.7,1010.5,1015.2,72,45,100,,,
21/12/22,2.8,355,CALM,13.7,10,N,19.1,0,N,24.9,19.0,31.6,0.0,1011.5,1009.6,1014.6,70,42,100,,,
21/12/23,2.3,53,CALM,13.0,130,SE,19.1,135,SE,26.1,19.8,31.4,0.0,1011.1,1009.2,1013.8,73,45,100,,,
21/12/24,1.8,27,CALM,11.9,158,SSE,15.1,158,SSE,27.0,22.5,32.3,0.6,1011.1,1008.9,1013.1,82,45,100,,,
21/12/25,3.1,53,CALM,15.8,52,NE,19.4,48,NE,27.4,22.8,32.3,14.2,1012.5,1009.9,1014.6,84,48,100,,,
21/12/26,4.2,29,NNE,18.0,64,ENE,23.0,59,ENE,26.7,23.1,31.2,0.0,1014.2,1012.0,1016.3,82,48,100,,,
21/12/27,7.0,34,NE,21.2,51,NE,27.4,82,E,27.0,22.2,31.7,0.0,1014.5,1012.1,1017.5,67,47,100,,,
21/12/28,5.7,29,NNE,19.1,72,ENE,24.8,20,NNE,26.2,22.1,30.4,0.0,1014.3,1012.2,1017.8,65,46,95,,,
21/12/29,7.3,29,NNE,23.0,55,NE,31.3,56,NE,26.5,22.6,30.0,0.0,1014.5,1012.5,1016.8,65,48,93,,,
21/12/30,7.0,44,NE,22.0,46,NE,28.4,53,NE,25.6,21.8,30.1,0.0,1015.8,1013.2,1018.6,69,48,96,,,
21/12/31,7.4,39,NE,22.7,50,NE,31.0,53,NE,25.1,20.5,29.9,0.0,1015.7,1013.5,1017.8,70,48,97,,,

