date,windSpeedAvg,windDegAvg,windDirAvg,windSpeedMax,windDegMax,windDirMax,windSpeedGust,windDegGust,windDirGust,tmpAvg,tempMin,tempMax,prec,pressAvg,pressMin,pressMax,humidityAvg,humidityMin,humidityMax,visAvg,visMin,visMax
21/10/01,1.8,198,CALM,10.4,194,SSW,15.5,323,NW,29.0,26.1,33.6,0.0,-,-,-,86,51,100,,,
21/10/02,2.0,167,CALM,18.4,62,ENE,24.5,82,E,27.7,25.4,32.3,0.2,-,-,-,89,52,100,,,
21/10/03,3.1,73,CALM,11.9,104,ESE,16.6,82,E,28.0,24.6,33.0,0.0,-,-,-,82,46,100,,,
21/10/04,5.9,53,NE,16.9,51,NE,22.7,59,ENE,28.5,24.6,33.1,0.0,-,-,-,73,45,97,,,
21/10/05,6.9,56,NE,18.7,66,ENE,29.5,59,ENE,28.5,24.9,32.8,1.6,-,-,-,76,46,99,,,
21/10/06,3.9,48,CALM,16.9,29,NNE,24.5,96,E,27.2,24.6,30.5,0.0,-,-,-,86,58,100,,,
21/10/07,1.9,302,CALM,9.4,302,WNW,13.3,298,WNW,26.3,24.6,28.2,0.0,-,-,-,95,78,100,,,
21/10/08,3.4,269,CALM,27.0,13,NNE,38.9,352,N,26.7,23.0,31.9,29.0,-,-,-,93,67,100,,,
21/10/09,4.6,237,WSW,17.6,64,ENE,23.4,56,NE,28.2,25.4,32.5,0.0,-,-,-,90,69,100,,,
21/10/10,4.9,214,SW,16.9,239,WSW,28.1,233,SW,28.5,26.0,32.1,0.0,-,-,-,86,60,100,,,
21/10/11,2.0,61,CALM,13.7,256,WSW,17.6,242,WSW,28.0,25.4,31.4,0.0,0.0,0.0,0.0,91,68,100,,,
21/10/12,5.4,81,E,16.6,57,ENE,27.7,101,E,27.6,22.0,33.3,0.0,-,-,-,75,49,100,,,
21/10/13,1.4,330,CALM,9.4,8,N,12.2,14,NNE,26.1,23.6,29.3,1.6,0.0,0.0,0.0,85,53,100,,,
21/10/14,3.0,77,CALM,16.6,313,NW,26.3,298,WNW,24.5,22.6,26.3,57.2,-,-,-,98,85,100,,,
21/10/15,2.4,134,CALM,14.0,226,SW,21.2,248,WSW,25.7,24.2,28.9,44.0,-,-,-,97,79,100,,,
21/10/16,8.2,59,ENE,21.6,55,NE,27.7,98,E,25.8,21.1,29.6,3.4,-,-,-,79,64,100,,,
21/10/17,6.9,34,NE,22.7,48,NE,34.6,39,NE,21.6,20.8,23.2,7.0,-,-,-,92,74,100,,,
21/10/18,5.8,72,ENE,18.0,108,ESE,25.2,101,E,24.5,21.8,28.0,0.4,-,-,-,87,70,100,,,
21/10/19,3.4,72,CALM,13.7,75,ENE,20.5,79,E,26.7,23.1,31.6,0.0,-,-,-,91,61,100,,,
21/10/20,2.5,64,CALM,11.9,97,E,16.9,96,E,28.1,24.5,32.9,0.0,-,-,-,85,52,100,,,
21/10/21,2.5,221,CALM,20.9,108,ESE,33.5,110,ESE,27.2,22.4,32.3,2.6,-,-,-,88,55,100,,,
21/10/22,7.3,70,ENE,19.8,94,E,27.0,82,E,25.3,20.9,31.1,0.6,-,-,-,75,47,100,,,
21/10/23,10.0,73,ENE,22.7,102,ESE,30.2,82,E,24.1,20.9,28.5,0.0,1000.4,1000.0,1001.1,64,47,79,,,
21/10/24,8.9,69,ENE,22.7,68,ENE,29.5,79,E,24.1,20.5,28.3,0.0,1000.0,1000.0,1000.1,62,48,78,,,
21/10/25,9.1,69,ENE,21.6,69,ENE,32.8,59,ENE,24.5,19.9,29.5,0.0,-,-,-,58,45,84,,,
21/10/26,7.5,55,NE,19.8,73,ENE,30.2,84,E,24.9,20.5,30.4,0.0,-,-,-,63,44,97,,,
21/10/27,7.9,49,NE,22.3,48,NE,31.0,62,ENE,25.7,21.8,30.9,0.0,-,-,-,65,45,94,,,
21/10/28,7.0,78,ENE,23.4,133,SE,41.8,146,SE,25.0,22.5,29.5,7.6,-,-,-,92,67,100,,,
21/10/29,4.8,71,ENE,15.1,98,E,20.9,98,E,27.6,23.6,32.7,0.0,-,-,-,81,49,99,,,
21/10/30,4.8,71,ENE,17.6,106,ESE,23.8,113,ESE,27.6,23.0,32.7,0.0,-,-,-,78,47,100,,,
21/10/31,3.3,71,CALM,19.4,108,ESE,25.2,96,E,26.7,23.6,32.1,0.6,-,-,-,86,51,100,,,

